node_id_1,node_id_2,edge_id
0,438,0
0,840,1
1,437,2
2,195,3
2,28,4
2,173,5
3,806,6
3,624,7
4,666,8
4,529,9
5,617,10
5,421,11
5,315,12
5,139,13
6,8,14
7,432,15
7,201,16
8,427,17
8,824,18
9,457,19
9,455,20
10,3,21
10,538,22
10,176,23
11,352,24
11,916,25
12,610,26
12,940,27
12,966,28
13,194,29
13,193,30
13,639,31
14,238,32
14,656,33
14,172,34
14,24,35
15,189,36
15,316,37
15,184,38
15,80,39
16,880,40
16,879,41
17,390,42
17,463,43
17,365,44
17,19,45
18,404,46
18,80,47
18,718,48
19,319,49
19,463,50
19,17,51
20,451,52
21,9,53
21,883,54
21,454,55
22,461,56
22,351,57
23,576,58
23,553,59
24,685,60
24,176,61
24,14,62
25,850,63
25,26,64
25,765,65
25,133,66
26,25,67
26,200,68
26,419,69
27,28,70
27,517,71
28,2,72
28,27,73
29,219,74
29,211,75
29,111,76
30,38,77
30,41,78
30,98,79
31,202,80
31,684,81
32,33,82
32,202,83
32,237,84
33,48,85
33,32,86
33,221,87
33,128,88
34,223,89
34,68,90
34,70,91
34,231,92
35,45,93
35,828,94
35,66,95
36,828,96
36,132,97
36,37,98
37,226,99
37,850,100
37,36,101
38,213,102
38,30,103
38,230,104
39,101,105
39,196,106
40,98,107
40,101,108
40,210,109
41,901,110
41,65,111
41,30,112
42,240,113
42,130,114
42,66,115
43,75,116
43,92,117
43,76,118
44,830,119
44,214,120
44,831,121
45,35,122
45,46,123
45,130,124
46,830,125
46,45,126
46,47,127
47,222,128
47,46,129
47,827,130
48,207,131
48,33,132
48,49,133
49,48,134
49,128,135
49,51,136
50,222,137
50,207,138
50,51,139
51,49,140
51,69,141
51,50,142
51,68,143
52,128,144
52,237,145
52,224,146
53,54,147
53,127,148
53,238,149
54,53,150
54,126,151
54,684,152
55,250,153
55,679,154
55,720,155
56,155,156
56,290,157
56,720,158
56,57,159
57,271,160
57,249,161
57,251,162
57,56,163
58,680,164
58,820,165
59,260,166
59,290,167
59,308,168
60,279,169
60,260,170
60,307,171
61,244,172
61,277,173
61,279,174
62,39,175
62,102,176
63,117,177
63,206,178
63,102,179
64,118,180
64,117,181
64,234,182
65,118,183
65,41,184
65,67,185
66,35,186
66,131,187
66,42,188
67,217,189
67,65,190
67,131,191
67,116,192
68,51,193
68,34,194
68,128,195
69,51,196
69,827,197
69,70,198
70,226,199
70,34,200
70,69,201
70,520,202
71,129,203
71,520,204
71,419,205
72,185,206
72,368,207
72,187,208
73,74,209
73,92,210
73,635,211
74,75,212
74,73,213
74,403,214
75,74,215
75,151,216
75,43,217
75,188,218
76,324,219
76,43,220
76,188,221
77,119,222
77,402,223
77,152,224
78,179,225
78,85,226
78,171,227
79,84,228
79,171,229
79,83,230
80,81,231
80,532,232
80,18,233
80,15,234
81,180,235
81,80,236
81,89,237
82,87,238
82,180,239
82,191,240
82,321,241
83,191,242
83,170,243
83,79,244
84,370,245
84,79,246
84,534,247
85,86,248
85,78,249
85,971,250
86,619,251
86,85,252
86,972,253
87,82,254
87,970,255
87,970,256
87,191,257
88,321,258
88,415,259
88,533,260
88,461,261
89,90,262
89,81,263
89,184,264
90,182,265
90,182,266
90,89,267
90,183,268
91,171,269
91,179,270
91,370,271
92,94,272
92,73,273
92,43,274
93,362,275
93,95,276
93,373,277
94,501,278
94,92,279
94,634,280
95,634,281
95,93,282
95,186,283
96,373,284
96,120,285
96,97,286
97,186,287
97,969,288
97,96,289
97,718,290
98,216,291
98,40,292
98,30,293
99,100,294
100,99,295
100,216,296
100,196,297
100,101,298
101,40,299
101,39,300
101,100,301
101,210,302
102,210,303
102,63,304
102,62,305
103,278,306
103,721,307
103,293,308
104,310,309
104,105,310
104,106,311
105,268,312
105,104,313
105,275,314
106,288,315
106,104,316
106,721,317
107,269,318
107,302,319
107,259,320
107,294,321
108,206,322
108,227,323
108,212,324
109,215,325
109,112,326
109,142,327
109,111,328
110,147,329
110,146,330
110,112,331
111,203,332
111,215,333
111,29,334
111,109,335
112,109,336
112,133,337
112,110,338
113,135,339
113,136,340
113,144,341
114,147,342
114,137,343
114,138,344
115,902,345
115,232,346
115,212,347
116,233,348
116,118,349
116,117,350
116,67,351
117,63,352
117,64,353
117,116,354
118,65,355
118,64,356
118,116,357
119,77,358
119,189,359
119,120,360
120,190,361
120,96,362
120,119,363
121,496,364
121,967,365
121,494,366
122,123,367
122,361,368
122,521,369
122,315,370
123,393,371
123,122,372
123,378,373
124,662,374
124,518,375
124,496,376
124,393,377
125,412,378
125,349,379
125,459,380
125,968,381
126,127,382
126,54,383
126,237,384
127,53,385
127,224,386
127,126,387
128,52,388
128,49,389
128,33,390
128,68,391
129,727,392
129,150,393
129,71,394
130,42,395
130,220,396
130,45,397
131,67,398
131,66,399
131,132,400
132,211,401
132,36,402
132,131,403
