FID,label,node_start,node_end
0,0,0,1
1,0,0,275
2,1,0,346
3,1,1,2
4,1,2,31
5,0,3,4
6,0,4,31
7,0,4,103
8,0,4,104
9,1,5,6
10,0,5,28
11,0,5,30
12,1,7,8
13,1,7,9
14,1,7,10
15,1,8,20
16,0,8,23
17,1,9,17
18,1,9,18
19,0,10,111
20,0,10,17
21,0,11,12
22,1,13,14
23,0,15,16
24,0,15,21
25,0,15,172
26,1,17,117
27,1,18,18
28,1,19,20
29,1,19,24
30,1,19,25
31,0,21,22
32,0,21,161
33,0,23,88
34,0,23,128
35,1,24,26
36,1,24,32
37,1,25,87
38,1,25,88
39,0,26,27
40,0,27,121
41,0,27,122
42,0,28,29
43,1,29,62
44,0,30,74
45,0,30,75
46,1,31,99
47,1,32,87
48,1,32,122
49,0,33,34
50,0,33,35
51,1,33,36
52,0,34,76
53,0,34,77
54,1,35,37
55,1,36,44
56,1,36,94
57,1,36,115
58,0,36,116
59,1,37,44
60,1,37,45
61,1,38,39
62,0,38,74
63,1,38,101
64,0,39,40
65,0,40,41
66,1,41,48
67,0,41,66
68,0,42,43
69,0,43,46
70,1,43,60
71,0,43,58
72,1,44,80
73,0,44,107
74,1,45,46
75,1,47,48
76,0,47,109
77,1,47,112
78,0,49,50
79,1,49,51
80,1,49,52
81,1,49,53
82,1,50,61
83,0,50,54
84,0,51,58
85,1,51,59
86,0,51,52
87,1,51,60
88,1,52,60
89,1,53,54
90,0,53,55
91,1,54,63
92,1,54,55
93,1,55,64
94,1,55,65
95,0,56,57
96,0,56,189
97,0,56,190
98,1,58,60
99,1,59,171
100,1,59,253
101,1,59,254
102,0,59,193
103,1,60,68
104,1,61,193
105,1,61,149
106,1,62,78
107,1,62,79
108,1,63,67
109,1,63,149
110,0,65,67
111,1,66,112
112,1,66,125
113,0,66,126
114,0,67,148
115,0,68,170
116,1,68,171
117,0,68,169
118,0,69,70
119,0,69,80
120,0,69,81
121,1,71,72
122,1,71,73
123,0,71,105
124,1,72,73
125,1,73,98
126,0,74,100
127,1,75,78
128,1,75,124
129,0,76,94
130,0,76,95
131,1,77,84
132,1,78,118
133,1,79,85
134,1,79,91
135,0,80,81
136,0,81,119
137,0,82,83
138,0,83,84
139,0,84,113
140,0,85,86
141,0,86,98
142,0,86,106
143,1,87,88
144,0,89,90
145,1,91,123
146,1,91,118
147,0,92,93
148,0,94,108
149,0,95,199
150,0,95,113
151,0,95,202
152,0,96,97
153,0,99,104
154,1,99,159
155,1,100,124
156,0,100,132
157,1,101,126
158,1,101,132
159,0,102,103
160,0,102,105
161,0,102,151
162,0,104,151
163,0,104,152
164,1,105,106
165,0,106,140
166,1,107,178
167,1,107,238
168,0,107,241
169,0,108,202
170,1,108,212
171,1,108,213
172,0,109,110
173,0,110,139
174,1,110,150
175,0,111,142
176,0,111,128
177,0,111,162
178,0,111,117
179,1,112,114
180,0,113,202
181,1,114,182
182,1,114,183
183,1,115,227
184,1,115,212
