source,bd_uid,name,address,province,city,area,tel,poi_type,tag
baidu,d6ee8724ccb1d8f9a9f0cd91,力力餐厅(前门店),鲜鱼口大街78号（近南晓顺胡同）,北京市,北京市,东城区,(010)67019791,unknown,
baidu,5320fd16db8e0e2922022064,护国寺小吃(前门店),前门大街2号一层109号,北京市,北京市,东城区,13910898126,unknown,
baidu,f9558838d9abd9f86b49f394,河沿肉饼Beijing Pie(前门店),煤市街与排子胡同交叉口北8米,北京市,北京市,西城区,(010)87856100,unknown,
baidu,6fddd7fd40aa1e663517dc43,诺亚餐厅,大栅栏街道粮食店街11号,北京市,北京市,西城区,13691518177,unknown,
baidu,cde9e2c7b39ecfade81e9742,鲜鱼口老字号美食街,前门大街近大栅栏商业街,北京市,北京市,东城区,,unknown,
baidu,8d960e6f898074dd97ec8422,老北京炸酱面(金诚店),粮食店街37号,北京市,北京市,西城区,"(010)63162588,15011589310",unknown,
baidu,c5e0d6862966e5686f3e1b0a,人民咖啡馆(前门店),前门大街81号,北京市,北京市,西城区,"(010)83168321,13466616884",unknown,
baidu,0fdfca017a09864602294f85,品馥阁,前门大街鲜鱼口新潮胡同,北京市,北京市,东城区,13717578170,unknown,
baidu,3f826ed38637195fd0f49eef,京城九门轩烤鸭店(前门店),粮食店街17号1层,北京市,北京市,西城区,13552874970,unknown,
baidu,3a2b152b54024c5f2efaa76e,京城壹号·铜锅涮肉(前门店),前门大街91号二层（前门盛世烤鸭楼上）,北京市,北京市,东城区,13261038682,unknown,
baidu,92b806d20f8c0ae779b55c4a,都一处烧麦馆(前门店),前门街道前门大街38号(大栅栏东口),北京市,北京市,东城区,15711355878,unknown,
baidu,e57bc9cdc92c3d7f3617dccf,百年前门铜锅涮肉(大栅栏2店),大栅栏街16号,北京市,北京市,西城区,"13611267430,13611294186,17813716330",unknown,
baidu,251374c946afc826a01de9a4,鸿益楼(粮食店街店),粮食店街8号(前门地铁站I西南口步行400米),北京市,北京市,西城区,(010)63031103,unknown,
baidu,2a579ed8d230f7cb306212a3,聚盈烤鸭家常菜(粮食店街店),粮食店街23号,北京市,北京市,西城区,15501175381,unknown,
baidu,bbd36ef15ddccb96cbfa5f4e,红螺食品(前门大街店),前门大街109号(珠市口地铁站A西北口步行340米),北京市,北京市,东城区,18601270233,unknown,
baidu,c01e339445e60656b21e3648,蟹黄灌汤包(鲜鱼口老字号美食街店),前门大街21号(美食街店),北京市,北京市,东城区,,unknown,
baidu,09185c56d2017e44f1193721,全聚德(前门店),前门大街30号,北京市,北京市,东城区,"(010)65112418,(010)67011379,4007001864",unknown,
baidu,716aae1600ab00078f1a89ee,邂逅前门·北京特产,大栅栏街道前门大街48号,北京市,北京市,东城区,18618481243,unknown,
baidu,5a746632dab9996646e274d3,京都老北京涮肉(前门店),粮食店街12号,北京市,北京市,西城区,"13811597869,18518657626",unknown,
baidu,8a4e84804595970ff4eafcc2,蜀盛缘家常菜,北京市西城区粮食店街21号,北京市,北京市,西城区,"13520669145,15956666545",unknown,
baidu,e9aacc7df244f4d672455b07,馄饨侯(前门店),前门大街40号,北京市,北京市,东城区,15530091024,unknown,
baidu,d82d6697d9b4cdbfd518b754,锦芳小吃外卖(鲜鱼口店),鲜鱼口街鲜鱼口85号,北京市,北京市,东城区,(010)67022283,unknown,
baidu,a13342c98c94d52608ccdd53,东来顺(前门大街店),前门大街32号,北京市,北京市,东城区,(010)83172726,unknown,
baidu,eef2d528a9e05abe3ae4a6e3,康师傅私房牛肉面(前门店),北京市西城区大栅栏街1号2号楼一、二层2,北京市,北京市,西城区,(010)83150275,unknown,
baidu,91fc768129cf5bed1229356e,峨嵋酒家(前门鲜鱼口店),鲜鱼口74号,北京市,北京市,东城区,(010)65113266,unknown,
baidu,6deee308fe6fcd7328fc4890,天兴居(鲜鱼口街店),鲜鱼口街81-83号,北京市,北京市,东城区,(010)67116865,unknown,
baidu,00f1c7fba77cbd06c056ac3b,德克士(前门店),大栅栏街道前门大街大栅栏1号(近康师傅私房牛肉面),北京市,北京市,西城区,4006639797,unknown,
baidu,b952084f4a7acdc03ce231e1,多美奇(粮食店街店),粮食店街2号（六必居对面),北京市,北京市,西城区,15910710513,unknown,
