degree,closeness,betweenness,straightness,information,avg_neighbor_deg,clustering,local_efficiency,redundancy,node_id
3,0.0004100457738156971,0.0047683284264975695,0.009366225995487693,9.240121727193303e-05,2.0,0.0,0.0,0.0,0
1,0.0003849234459867616,0.0,0.00925334169734148,8.144404693656214e-05,3.0,0.0,0.0,0.0,1
2,0.00040303516746119594,0.0028633602142596913,0.009686748297481434,8.14838651910093e-05,2.5,0.0,0.0,0.0,2
2,0.0003916852422631722,0.0019102196752626551,0.009881724865772944,7.286309882069437e-05,2.0,0.0,0.0,0.0,3
3,0.00041934698605750867,0.007113106667060526,0.00907995170930323,0.00010665110130195251,3.0,0.0,0.0,0.0,6
2,0.00036940582295660055,0.0009557662705094247,0.009761410212781083,6.588323484946621e-05,1.5,0.0,0.0,0.0,7
2,0.00045197818601617123,9.583920020218132e-05,0.009973488611808114,0.0001370450064185564,3.5,0.0,0.0,0.0,12
3,0.00045646191519966873,0.0009807107198771157,0.009573856092891577,0.0001457260441904775,2.6666666666666665,0.0,0.0,0.0,13
4,0.0004280959632346216,0.0058061488067691356,0.008952147517185387,0.0001381095041793177,2.5,0.0,0.0,0.0,14
4,0.0004714388475418837,0.0028141277484024065,0.009348624425220064,0.00015297977499003325,2.75,0.0,0.0,0.0,15
2,0.0004580109927513507,0.0,0.009622921533264429,0.0001418805084331965,3.5,0.0,0.0,0.0,16
4,0.0004732325432478106,0.004576650026093206,0.009385361053270374,0.00015693892415352654,3.5,0.0,0.0,0.0,17
2,0.0004589211053496195,0.0009557662705094247,0.009331021742374284,0.00012375860087365253,2.0,0.0,0.0,0.0,18
3,0.00047455646302315026,0.007228638853605622,0.009081412819813716,0.00015091500171254807,3.3333333333333335,0.0,0.0,0.0,19
1,0.0004561834557599363,0.0,0.009821651942843334,0.00010486306130162755,2.0,0.0,0.0,0.0,20
1,0.0003614332826904505,0.0,0.009983566136272362,6.0116500068607574e-05,2.0,0.0,0.0,0.0,21
1,0.0003935793333584019,0.0,0.009173968984454585,0.00010317747521015465,3.0,0.0,0.0,0.0,29
3,0.00039974271736697336,0.000966925629437076,0.008838927729249336,0.00012141760544739191,2.0,0.0,0.0,0.0,30
3,0.00044580475298254774,0.013217932433363857,0.009129233029584318,0.00011668742277185388,5.0,0.0,0.0,0.0,33
3,0.0004151172690074292,0.002688092635807757,0.009449291752587498,0.00010477074733358004,2.6666666666666665,0.0,0.0,0.0,34
