node_id_1,node_id_2,edge_id
0,19,0
0,152,1
0,21,2
1,1137,3
1,1028,4
1,11,5
1,1204,6
2,183,7
2,188,8
2,123,9
2,1204,10
3,18,11
3,199,12
3,152,13
3,221,14
4,310,15
4,333,16
4,5,17
4,273,18
5,4,19
5,282,20
5,1194,21
6,336,22
6,234,23
7,1078,24
7,1084,25
7,1198,26
8,1233,27
8,364,28
8,964,29
9,1238,30
9,702,31
10,1219,32
10,1093,33
10,1154,34
10,1092,35
11,1202,36
11,1,37
11,1203,38
12,132,39
12,129,40
12,636,41
13,198,42
13,212,43
13,409,44
13,166,45
14,1242,46
14,363,47
15,254,48
15,336,49
16,1212,50
16,1174,51
17,38,52
17,43,53
17,230,54
18,3,55
18,264,56
18,26,57
19,275,58
19,0,59
19,301,60
20,295,61
20,19,62
20,255,63
21,678,64
21,20,65
21,0,66
22,1184,67
22,1183,68
22,356,69
23,323,70
23,1180,71
23,321,72
24,1161,73
24,324,74
24,340,75
25,324,76
25,1182,77
25,325,78
26,294,79
26,18,80
26,1113,81
27,1158,82
27,275,83
27,287,84
27,255,85
28,29,86
28,1048,87
28,258,88
29,28,89
29,30,90
29,274,91
29,250,92
30,268,93
30,29,94
30,380,95
31,216,96
31,209,97
31,164,98
32,371,99
32,155,100
32,372,101
33,216,102
33,35,103
33,157,104
34,1231,105
34,368,106
34,1099,107
34,1101,108
35,33,109
35,1224,110
35,151,111
36,1088,112
37,307,113
37,36,114
38,40,115
38,17,116
38,39,117
38,292,118
39,44,119
39,41,120
39,38,121
40,311,122
40,38,123
40,41,124
41,39,125
41,42,126
41,40,127
42,930,128
42,1151,129
42,41,130
43,48,131
43,37,132
44,46,133
44,39,134
44,45,135
45,44,136
46,47,137
46,48,138
46,44,139
47,46,140
48,43,141
48,46,142
48,49,143
49,48,144
50,1144,145
50,277,146
51,234,147
51,444,148
52,53,149
52,377,150
52,379,151
53,52,152
53,378,153
53,376,154
54,465,155
54,472,156
54,470,157
54,469,158
55,72,159
55,352,160
55,920,161
56,1066,162
57,72,163
58,635,164
58,515,165
58,134,166
