node_id_1,node_id_2,edge_id
0,32,0
0,9,1
0,59,2
1,3,3
1,129,4
2,1,5
2,3,6
3,61,7
4,28,8
4,7,9
4,82,10
5,34,11
5,39,12
6,146,13
7,132,14
7,26,15
7,32,16
8,40,17
8,141,18
8,26,19
9,0,20
9,173,21
9,55,22
10,149,23
10,40,24
10,179,25
11,152,26
12,135,27
12,168,28
13,11,29
13,33,30
14,23,31
14,46,32
15,136,33
15,166,34
16,17,35
16,123,36
17,16,37
17,36,38
18,62,39
19,178,40
19,154,41
19,60,42
20,176,43
20,2,44
21,136,45
21,161,46
21,177,47
22,154,48
22,172,49
22,173,50
23,12,51
23,14,52
23,167,53
24,31,54
24,13,55
25,24,56
25,27,57
25,170,58
26,8,59
26,7,60
26,28,61
27,26,62
27,132,63
28,38,64
28,42,65
29,31,66
29,32,67
29,132,68
29,133,69
30,32,70
30,50,71
30,82,72
30,87,73
31,126,74
31,33,75
31,29,76
32,29,77
32,30,78
32,7,79
32,0,80
33,122,81
33,35,82
33,31,83
34,5,84
34,43,85
35,153,86
35,33,87
35,11,88
36,37,89
36,54,90
37,36,91
37,16,92
38,40,93
38,41,94
39,108,95
39,52,96
40,38,97
40,10,98
40,8,99
41,42,100
41,179,101
42,39,102
42,118,103
43,109,104
43,50,105
43,34,106
44,78,107
44,130,108
44,180,109
45,23,110
45,46,111
46,45,112
47,91,113
47,48,114
47,83,115
48,90,116
48,49,117
48,47,118
49,69,119
49,73,120
49,48,121
50,30,122
50,43,123
50,68,124
50,77,125
51,130,126
51,111,127
52,4,128
52,94,129
53,78,130
54,56,131
54,18,132
54,58,133
55,128,134
55,134,135
56,37,136
56,54,137
57,125,138
57,126,139
58,63,140
58,54,141
59,61,142
59,129,143
60,63,144
60,19,145
60,134,146
61,59,147
61,9,148
62,18,149
62,178,150
62,63,151
63,62,152
63,60,153
63,58,154
64,92,155
64,107,156
64,79,157
65,107,158
65,111,159
65,106,160
66,102,161
66,114,162
66,99,163
66,75,164
67,87,165
67,80,166
67,72,167
68,104,168
68,99,169
68,50,170
69,49,171
69,97,172
69,71,173
69,108,174
70,78,175
71,90,176
71,69,177
71,94,178
72,103,179
72,106,180
72,98,181
72,67,182
73,97,183
73,83,184
73,49,185
74,86,186
74,89,187
74,100,188
75,66,189
75,85,190
75,89,191
76,113,192
76,101,193
77,112,194
77,97,195
77,50,196
78,53,197
78,44,198
78,70,199
79,95,200
79,64,201
79,88,202
80,67,203
80,129,204
80,106,205
81,100,206
81,84,207
81,101,208
81,109,209
82,4,210
82,30,211
82,91,212
83,112,213
83,47,214
83,73,215
84,102,216
84,81,217
84,104,218
85,102,219
85,100,220
85,75,221
86,74,222
86,110,223
86,103,224
87,30,225
87,67,226
87,98,227
88,105,228
88,79,229
88,93,230
89,98,231
89,75,232
89,74,233
90,71,234
90,96,235
90,94,236
90,48,237
91,47,238
91,82,239
91,96,240
91,112,241
92,64,242
92,111,243
92,95,244
93,106,245
93,88,246
93,107,247
94,90,248
94,96,249
94,71,250
94,52,251
95,79,252
95,101,253
95,113,254
95,92,255
96,90,256
96,94,257
96,91,258
97,73,259
97,77,260
97,69,261
98,89,262
98,72,263
98,114,264
98,87,265
99,66,266
99,68,267
99,114,268
100,81,269
100,74,270
100,85,271
101,81,272
101,95,273
101,110,274
101,76,275
102,85,276
102,104,277
102,84,278
102,66,279
103,72,280
103,86,281
103,105,282
104,102,283
104,68,284
104,84,285
105,88,286
105,103,287
105,110,288
106,93,289
106,72,290
106,80,291
106,65,292
107,65,293
107,93,294
107,64,295
108,43,296
108,69,297
109,76,298
109,81,299
110,101,300
110,105,301
110,86,302
111,92,303
111,65,304
111,51,305
112,77,306
112,83,307
112,91,308
113,130,309
113,95,310
114,66,311
114,98,312
114,99,313
115,119,314
116,148,315
116,120,316
116,119,317
117,148,318
117,179,319
117,118,320
118,163,321
118,117,322
119,149,323
119,116,324
119,115,325
120,165,326
120,116,327
121,122,328
121,35,329
122,57,330
122,124,331
123,121,332
124,17,333
124,123,334
125,57,335
125,124,336
126,127,337
126,133,338
127,58,339
127,125,340
128,55,341
128,0,342
129,51,343
129,80,344
129,1,345
