source,bd_uid,name,address,province,city,area,tel,poi_type,tag
baidu,d991e1163bfc824c1f389410,农夫大盘鸡(锦程大街店),锦程大街130栋（近文明路）,吉林省,长春市,绿园区,(0431)85738933,unknown,
baidu,2311691380219de4724b87fa,车之谷·汽车文化主题餐厅(汽开店),锦程大街2403号门市,吉林省,长春市,绿园区,(0431)85735855,unknown,
baidu,418070633d6e3122fea77811,迎春商场美食城,长春市汽车产业开发区迎春路848号,吉林省,长春市,绿园区,13214433456,unknown,
baidu,1a8d277e063993c8b817e7f7,知青屯灶台鱼(天茂城中央总店),城西镇创业大街天茂、泊林丽郡33\\34号楼107号,吉林省,长春市,绿园区,(0431)81702878,unknown,
baidu,fbbce8d1a59e25e52afc486b,清真食府(天茂城中央店),锦程大街与文明路交叉口西20米路北,吉林省,长春市,绿园区,(0431)85759885,unknown,
baidu,e02478f43ee66116e607381a,花园酒店-大江南北中餐厅,创业大街1447号(花园酒店1楼),吉林省,长春市,绿园区,(0431)85988888,unknown,
baidu,856ecba5323b4ba1882fb539,一家人家常菜馆(一汽8B街区店),长春市绿园区东风街道锦程大街130栋1门1中门,吉林省,长春市,绿园区,13039205220,unknown,
baidu,0670d1ec8afbddb9901fc95b,签羊客炉边烧烤·烤羊腿(天茂城店),汽车产业开发区汽车厂锦程大街文明路682号,吉林省,长春市,绿园区,15044162496,unknown,
baidu,2636ab83500338170c0a70f3,上鲸斑鱼坊(汽车厂店),汽车经济技术开发区锦程大街天茂成中央25栋113号门市（锦程大街与文明路交汇处）,吉林省,长春市,绿园区,(0431)88110999,unknown,
baidu,6f5c7f107da01c53102935d0,蜀城老妈火锅(汽车厂店),文明路天茂泊林丽郡36幢117号房,吉林省,长春市,绿园区,,unknown,
baidu,06d2dffd9957b8ef89f15de6,老昌春饼(汽车厂分店),锦程街道迎春南路与车百路交汇东行50米(近欧亚车百),吉林省,长春市,绿园区,15688980339,unknown,
baidu,d075e356edd16991ad31e547,高记酱骨头家常菜(一汽8B街区店),锦城大街文光路130栋1门1楼3中,吉林省,长春市,绿园区,13630587732,unknown,
baidu,dc8b733dd503a3900869d918,沈老头包子(文明路店),文明路536号,吉林省,长春市,绿园区,13846758991,unknown,
baidu,89c5e9adfafbc1f271455b09,清真满记菜馆,汽车产业开发区东风大街欧亚车百52栋,吉林省,长春市,绿园区,15584405609,unknown,
baidu,c9044e033fdd536df32d83b5,南万包子铺(一汽3街区店),迎春南路一汽3街区,吉林省,长春市,绿园区,13610786238,unknown,
baidu,70c2aae9efc0ec67a3acc406,烧货集装箱主题餐厅,一汽东风大街890号万沅大厦东侧,吉林省,长春市,绿园区,18143077678,unknown,
baidu,a98f71bafb36ea2f276e9840,小贱烧烤,革新路318号（创业大街与革新路交叉口北行150米路东）,吉林省,长春市,绿园区,17743167991,unknown,
baidu,f921d4dc20b2ca7528201a4d,后山民谣啤酒坊,创业大街和昆仑二路交叉口,吉林省,长春市,绿园区,(0431)85988888,unknown,
baidu,2504f2688cbd3ba7b21e364c,伴糖生日蛋糕·甜心对白(天茂城中央店),锦程街道13、14B街区天茂柏林丽郡8/9幢105号房(盛鑫宾馆附近),吉林省,长春市,绿园区,18946670795,unknown,
baidu,87248d9606fba3b32806ce39,老四海回族(车百店),车百路与迎春南路交汇东行200米,吉林省,长春市,绿园区,(0431)85986999,unknown,
baidu,fb0c7b160956be0f14b54b4c,伟大航路烤鱼(欧亚车百店),东风大街1038号欧亚车百一层1一25号商铺,吉林省,长春市,绿园区,17649981548,unknown,
baidu,c2421005ba547ed2ab0dd87f,北冰洋狗肉冷面城(总店),创业大街2538号天茂·城中央A区底商,吉林省,长春市,绿园区,"13234375500,13804332525",unknown,
baidu,9692acc0919f32bcb35c6aca,大集体泉水铁锅炖(天茂·城中央店),创业大街2280号,吉林省,长春市,绿园区,13756501081,unknown,
baidu,acb798bb282f33192afc4819,米粒儿餐馆(一汽43街区店),杨柳大街43街区806栋1门1-1室,吉林省,长春市,绿园区,15044091811,unknown,
baidu,285bef50fdc591be88fc0619,霸王居烧烤串城(振兴路店),创业大街与振兴路交汇处北50米,吉林省,长春市,绿园区,13756111077,unknown,
baidu,a06653fa9256b8b2a3acc4ac,泰鲸龙虾海鲜烧烤,创业大街与越野路交汇东行100米路南,吉林省,长春市,绿园区,15044475858,unknown,
baidu,0a44b27c559cbccfcb213d5b,老长春肉馆(创业大街店),创业大街356号路东（近湖西路）,吉林省,长春市,绿园区,(0431)89618755,unknown,
baidu,2faf9b616e6fcb624d2fdf07,御品香碳烤牛肉(天茂城中央店),创业大街2460号,吉林省,长春市,绿园区,15843137695,unknown,
baidu,dcdb004b067f2de5c27da2fd,麦当劳(东风大街欧亚车百店),东风大街1038号一层,吉林省,长春市,绿园区,(0431)87645661,unknown,
baidu,8583cd7e6bb3b081ad080f2b,如家早餐,长春市绿园区锦程大街九物业小区,吉林省,长春市,绿园区,,unknown,
baidu,04f6eb8cee1e8daf0bccddcd,鑫枫林砂锅麻辣烫(迎春美食城店),欧亚车百南门斜对面300米美食城内,吉林省,长春市,绿园区,15500004368,unknown,
baidu,0e7f237bfdac1301ad31e568,李记熏肉大饼(车百美食城店),车百B座地下,吉林省,长春市,绿园区,13154394290,unknown,
baidu,14f976ad968810b2cb2915bf,luckincoffee瑞幸咖啡(长春欧亚车百店),汽车产业开发区东风大街1038号欧亚车百一层,吉林省,长春市,绿园区,18043441129,unknown,
baidu,0c41928fb3d2ed724e55473f,强子烧烤(香苑路店),汽车开发区文明路五站减震器招待所1楼,吉林省,长春市,绿园区,13844197877,unknown,
baidu,ce1eed779e2c4a5104026fea,华莱士·全鸡汉堡(车百店),汽车开发区迎春路848号迎春商场门市-2号,吉林省,长春市,绿园区,18088610703,unknown,
baidu,f85dff97c4810a4888fc0666,恩燕烤鸭(车百店),迎春路848号,吉林省,长春市,绿园区,13353115366,unknown,
baidu,bd0358262594cee67adbd295,辣小鸭(天茂中央店),创业大街汽车开发区一汽13、14B街区天茂泊林丽郡30-31栋101号,吉林省,长春市,绿园区,15144190655,unknown,
baidu,92311fb34f531feac26c14b8,融合菜主题餐厅,长春市绿园区东风大街万沅大厦,吉林省,长春市,绿园区,,unknown,
baidu,9a593a5cbcbd3fee08f5eb28,米村拌饭(锦城大街店),锦程大街天茂城中央A区南门24幢128号房,吉林省,长春市,绿园区,17790008037,unknown,
baidu,f08aeb4259e25a4a373a71ea,南方包子馄饨(一汽22街区店),一汽集团公司一生活区195栋4单元102室,吉林省,长春市,绿园区,15171528070,unknown,
