node_id_1,node_id_2,edge_id
1,92,0
1,106,1
2,1,2
3,77,3
4,2,4
5,204,5
6,12,6
6,46,7
6,87,8
7,75,9
7,148,10
8,205,11
8,132,12
9,87,13
9,58,14
9,85,15
11,8,16
11,205,17
12,6,18
12,170,19
13,7,20
14,202,21
14,45,22
15,202,23
15,161,24
16,162,25
17,16,26
17,164,27
18,19,28
19,186,29
20,74,30
21,22,31
22,21,32
22,23,33
22,24,34
23,22,35
23,26,36
23,28,37
24,29,38
24,22,39
25,31,40
26,31,41
26,27,42
26,23,43
27,28,44
27,26,45
27,32,46
28,29,47
28,23,48
28,27,49
29,28,50
29,24,51
30,32,52
31,26,53
31,25,54
31,32,55
32,30,56
32,31,57
32,27,58
33,127,59
33,160,60
34,64,61
34,35,62
35,179,63
35,34,64
35,41,65
36,37,66
38,134,67
38,41,68
39,128,69
39,38,70
40,12,71
40,166,72
41,38,73
41,63,74
41,35,75
42,3,76
42,65,77
43,103,78
43,94,79
44,45,80
44,14,81
45,104,82
46,112,83
46,6,84
46,171,85
47,54,86
47,51,87
47,52,88
48,177,89
48,196,90
48,125,91
49,50,92
49,114,93
49,114,94
50,49,95
50,146,96
50,51,97
51,47,98
51,50,99
51,52,100
52,156,101
52,51,102
52,47,103
53,147,104
53,156,105
54,196,106
54,47,107
54,55,108
55,123,109
55,54,110
55,122,111
56,61,112
57,110,113
57,82,114
57,83,115
58,9,116
58,145,117
58,83,118
59,84,119
59,146,120
59,110,121
60,145,122
60,84,123
60,148,124
61,56,125
61,125,126
61,62,127
62,61,128
63,73,129
63,128,130
63,41,131
63,74,132
64,67,133
64,65,134
65,40,135
66,67,136
66,3,137
67,33,138
68,185,139
69,108,140
69,105,141
70,76,142
70,142,143
71,141,144
71,157,145
72,73,146
73,63,147
73,186,148
73,72,149
74,34,150
74,63,151
75,71,152
75,101,153
76,80,154
77,36,155
78,108,156
79,187,157
79,105,158
81,82,159
82,86,160
82,57,161
82,81,162
82,85,163
83,58,164
83,57,165
83,84,166
83,85,167
84,59,168
84,60,169
84,83,170
85,111,171
85,83,172
85,9,173
85,82,174
86,82,175
86,112,176
86,111,177
87,9,178
87,111,179
87,6,180
88,89,181
88,13,182
89,131,183
89,133,184
90,131,185
90,76,186
91,0,187
91,159,188
93,92,189
94,43,190
94,97,191
94,95,192
95,99,193
95,96,194
95,94,195
96,100,196
96,98,197
96,95,198
97,94,199
97,99,200
97,98,201
98,100,202
98,97,203
98,96,204
99,97,205
99,95,206
99,100,207
100,98,208
100,96,209
100,99,210
101,13,211
101,89,212
102,93,213
102,5,214
103,44,215
103,107,216
104,103,217
104,21,218
105,106,219
105,93,220
106,107,221
106,44,222
107,79,223
108,159,224
108,0,225
109,69,226
110,114,227
110,57,228
110,59,229
111,85,230
111,87,231
111,86,232
112,86,233
112,46,234
112,113,235
113,112,236
114,110,237
114,49,238
114,49,239
115,116,240
116,115,241
116,117,242
116,120,243
117,116,244
117,199,245
117,118,246
118,119,247
118,117,248
118,199,249
119,118,250
119,120,251
119,198,252
120,119,253
120,198,254
120,116,255
121,173,256
121,122,257
121,198,258
122,172,259
122,121,260
122,55,261
123,125,262
123,55,263
123,196,264
123,124,265
124,125,266
124,197,267
124,123,268
125,61,269
125,123,270
125,124,271
125,48,272
126,197,273
127,197,274
128,63,275
128,129,276
128,72,277
129,128,278
129,137,279
130,102,280
130,133,281
131,132,282
131,5,283
132,88,284
133,138,285
134,38,286
134,162,287
134,135,288
135,134,289
135,136,290
136,39,291
137,39,292
137,90,293
138,136,294
138,135,295
139,144,296
139,140,297
140,71,298
140,143,299
141,139,300
141,150,301
142,140,302
142,143,303
143,101,304
144,109,305
145,58,306
145,60,307
145,153,308
146,50,309
146,147,310
146,59,311
147,151,312
147,146,313
148,60,314
148,75,315
149,139,316
149,144,317
150,154,318
150,152,319
151,153,320
151,141,321
152,17,322
153,154,323
153,145,324
154,152,325
154,155,326
155,154,327
156,52,328
156,53,329
156,196,330
157,158,331
157,53,332
158,157,333
159,70,334
159,109,335
160,172,336
160,194,337
160,33,338
161,162,339
161,149,340
162,161,341
162,15,342
162,134,343
163,164,344
164,163,345
164,16,346
165,178,347
166,183,348
166,182,349
166,40,350
167,182,351
167,66,352
167,168,353
168,169,354
168,176,355
168,195,356
168,167,357
169,168,358
169,171,359
169,175,360
170,167,361
170,171,362
171,46,363
171,169,364
171,170,365
172,122,366
172,160,367
172,173,368
173,121,369
173,199,370
173,174,371
173,172,372
174,175,373
174,173,374
174,200,375
175,174,376
175,176,377
175,169,378
176,168,379
176,201,380
176,175,381
177,48,382
178,180,383
178,165,384
178,179,385
179,35,386
179,183,387
179,178,388
180,182,389
180,178,390
180,181,391
181,183,392
181,182,393
181,180,394
182,166,395
182,167,396
182,180,397
182,181,398
183,179,399
183,166,400
183,181,401
184,185,402
185,42,403
185,184,404
186,73,405
186,20,406
187,193,407
187,189,408
188,192,409
189,192,410
189,187,411
189,190,412
190,192,413
190,191,414
190,189,415
191,190,416
192,190,417
192,188,418
192,189,419
193,78,420
193,78,421
194,160,422
195,168,423
196,48,424
196,54,425
196,156,426
196,123,427
197,127,428
197,124,429
197,126,430
198,119,431
198,121,432
198,120,433
199,173,434
199,117,435
199,118,436
200,201,437
200,201,438
200,174,439
201,176,440
201,200,441
201,200,442
202,14,443
202,15,444
202,203,445
203,202,446
204,10,447
204,10,448
205,80,449
