node_id_1,node_id_2,edge_id
0,135,0
0,134,1
0,182,2
1,6,3
1,187,4
1,36,5
2,4,6
2,10,7
2,6,8
3,168,9
3,170,10
3,4,11
4,187,12
4,2,13
4,3,14
5,218,15
5,36,16
5,134,17
5,84,18
6,1,19
6,195,20
6,2,21
7,35,22
7,33,23
7,32,24
8,230,25
8,27,26
8,9,27
9,8,28
9,27,29
10,2,30
10,192,31
10,11,32
11,44,33
11,12,34
11,10,35
12,195,36
12,85,37
12,11,38
13,14,39
13,39,40
13,86,41
14,13,42
14,17,43
14,20,44
14,19,45
15,55,46
15,49,47
15,53,48
16,49,49
16,20,50
16,239,51
16,139,52
17,14,53
18,19,54
19,24,55
19,14,56
19,18,57
20,16,58
20,14,59
20,46,60
20,39,61
21,22,62
22,97,63
22,208,64
22,21,65
23,236,66
23,42,67
23,240,68
24,19,69
25,39,70
25,236,71
25,184,72
25,239,73
26,182,74
26,28,75
26,136,76
27,29,77
27,8,78
27,86,79
27,9,80
28,185,81
28,26,82
28,29,83
29,211,84
29,27,85
29,28,86
30,211,87
30,35,88
30,31,89
31,30,90
31,173,91
31,203,92
32,167,93
32,7,94
32,173,95
33,7,96
33,187,97
33,167,98
34,182,99
34,36,100
34,35,101
35,7,102
35,30,103
35,34,104
36,1,105
36,5,106
36,34,107
36,193,108
37,106,109
37,74,110
37,233,111
38,163,112
38,71,113
38,85,114
39,20,115
39,13,116
39,25,117
39,185,118
40,104,119
40,129,120
40,41,121
41,130,122
41,42,123
41,40,124
42,238,125
42,23,126
42,56,127
42,41,128
43,129,129
43,85,130
43,84,131
44,217,132
44,11,133
44,85,134
45,46,135
46,20,136
46,47,137
46,45,138
47,139,139
47,50,140
47,46,141
48,50,142
49,16,143
49,138,144
49,240,145
49,15,146
50,48,147
50,47,148
50,152,149
50,138,150
51,204,151
51,233,152
52,53,153
52,55,154
53,54,155
54,109,156
54,52,157
54,107,158
55,15,159
55,225,160
55,57,161
56,57,162
56,42,163
56,241,164
57,56,165
57,196,166
58,142,167
58,91,168
58,90,169
59,61,170
59,124,171
60,65,172
60,96,173
61,60,174
62,63,175
63,64,176
63,103,177
64,59,178
65,66,179
66,62,180
66,69,181
67,68,182
68,197,183
68,73,184
69,72,185
69,132,186
69,94,187
70,71,188
70,156,189
70,81,190
71,70,191
71,163,192
71,38,193
72,104,194
72,69,195
72,62,196
73,74,197
73,106,198
74,67,199
74,51,200
75,76,201
76,80,202
76,157,203
77,78,204
77,159,205
78,79,206
78,158,207
79,159,208
79,78,209
80,81,210
80,71,211
81,75,212
82,83,213
82,202,214
82,159,215
83,82,216
84,43,217
84,5,218
84,193,219
85,12,220
85,44,221
85,43,222
85,38,223
86,185,224
86,13,225
86,153,226
86,27,227
87,177,228
87,179,229
88,235,230
88,126,231
88,234,232
89,90,233
89,234,234
89,156,235
90,89,236
90,58,237
91,143,238
91,92,239
91,58,240
92,121,241
92,91,242
93,121,243
93,208,244
94,140,245
94,146,246
94,69,247
94,132,248
95,96,249
95,146,250
95,65,251
96,119,252
96,117,253
96,95,254
97,98,255
97,22,256
97,229,257
97,122,258
98,123,259
98,99,260
98,97,261
99,98,262
99,37,263
99,101,264
100,225,265
100,233,266
100,101,267
