FID,label,node_start,node_end
0,0,0,1
1,0,0,3
2,0,0,4
3,0,2,3
4,0,2,11
5,1,2,9
6,0,2,12
7,0,4,9
8,0,4,10
9,0,5,6
10,0,5,16
11,1,5,23
12,0,5,24
13,0,7,8
14,1,7,21
15,0,7,32
16,0,7,33
17,0,7,15
18,0,9,25
19,0,11,17
20,0,11,12
21,0,12,18
22,0,12,19
23,1,13,14
24,1,14,15
25,1,14,16
26,1,15,34
27,0,15,29
28,0,16,20
29,1,17,31
30,0,17,38
31,0,17,39
32,1,17,18
33,1,18,40
34,1,18,41
35,0,19,25
36,1,19,42
37,0,20,29
38,0,20,23
39,1,21,22
40,0,21,26
41,1,23,31
42,0,25,30
43,0,25,37
44,0,27,28
45,0,27,43
46,0,27,33
47,0,29,35
48,0,29,31
49,0,31,36
50,0,32,44
51,1,32,34
52,0,33,44
53,1,34,51
54,0,34,45
55,0,35,45
56,1,35,36
57,0,36,48
58,0,36,39
59,0,37,49
60,0,39,50
61,0,40,50
62,0,40,70
63,0,41,81
64,0,41,46
65,1,42,46
66,1,42,47
67,1,44,68
68,1,44,73
69,0,44,51
70,1,45,55
71,0,45,56
72,1,46,53
73,1,46,54
74,0,46,82
75,1,47,52
76,0,47,53
77,0,47,54
78,1,48,56
79,0,48,69
80,0,49,57
81,0,49,52
82,0,50,69
83,1,50,72
84,0,51,86
85,0,52,62
86,1,52,59
87,0,54,62
88,0,55,74
89,0,55,79
90,1,56,60
91,0,57,58
92,0,57,59
93,0,58,61
94,1,59,63
95,1,60,79
96,0,60,83
97,0,60,84
98,0,62,100
99,0,62,63
100,0,63,101
101,1,64,65
102,0,64,66
103,0,64,67
104,1,65,68
105,1,65,71
106,0,66,68
107,0,66,71
108,0,67,68
109,0,67,75
110,0,69,83
111,0,69,87
112,0,70,89
113,0,70,112
114,1,72,121
115,0,72,122
116,1,73,75
117,1,73,76
118,1,73,85
119,1,75,76
120,0,77,78
121,0,77,90
122,1,77,91
123,1,79,80
124,1,80,86
125,1,80,94
126,0,81,89
127,0,81,104
128,0,82,120
129,0,82,100
130,0,83,99
131,1,85,86
132,1,85,93
133,1,87,108
134,1,87,109
135,1,88,89
136,0,90,103
137,0,90,132
138,0,92,93
139,0,93,102
140,0,93,95
141,0,93,106
142,1,93,107
143,1,94,97
144,1,94,98
145,0,95,96
146,1,95,105
147,1,97,107
148,1,97,113
149,0,98,99
150,0,98,114
151,0,99,108
152,0,100,123
153,0,100,126
154,0,101,126
155,0,101,127
156,0,102,103
157,0,104,110
158,0,104,112
159,0,104,130
160,0,105,116
161,1,105,119
162,0,107,117
163,1,108,124
164,1,109,136
165,1,109,137
166,0,110,111
167,0,110,118
168,0,112,143
169,0,113,128
170,0,113,141
171,1,113,142
172,1,114,128
173,0,114,129
174,0,115,116
175,0,117,119
176,0,117,131
177,0,118,120
178,1,118,130
179,0,119,133
180,0,120,123
181,1,121,121
182,0,122,143
183,1,122,137
184,1,122,169
185,0,123,161
186,0,123,159
187,0,124,129
188,1,124,136
189,0,125,126
190,0,125,127
191,0,126,159
192,0,126,160
193,0,127,135
194,1,128,129
195,1,128,138
196,0,130,143
197,0,131,133
198,1,131,139
199,0,132,134
200,0,132,140
201,1,133,144
202,1,135,180
203,1,136,147
204,1,136,177
205,1,136,178
206,0,137,191
207,1,137,192
208,0,138,142
209,0,138,147
210,0,139,141
211,0,139,149
212,0,141,148
213,1,142,158
214,0,143,163
215,1,144,145
216,1,144,146
217,0,146,149
218,0,146,157
219,1,147,182
220,1,148,154
221,1,148,155
222,0,149,154
223,1,150,151
224,1,151,165
225,1,151,174
226,0,152,153
227,1,154,162
228,1,155,158
229,1,155,179
230,0,156,157
231,0,157,164
232,1,158,170
233,1,159,167
234,0,159,168
235,0,160,180
236,1,161,163
237,0,161,188
238,1,162,171
239,1,162,172
240,0,163,169
241,1,164,165
242,0,164,166
243,1,165,173
244,0,167,188
245,0,167,189
246,0,168,193
247,0,168,189
248,0,168,219
249,0,169,200
250,0,169,201
251,1,171,179
252,1,171,185
253,0,172,195
254,0,172,196
255,1,173,194
256,1,174,175
257,1,174,176
258,1,176,181
259,0,177,191
260,1,178,190
261,1,179,182
262,0,180,193
263,1,181,210
264,1,181,199
265,1,182,185
266,1,182,214
267,0,183,184
268,1,184,197
269,1,184,202
270,1,185,222
271,0,186,187
272,1,188,205
273,0,189,232
274,0,190,191
275,0,190,226
276,0,190,227
277,1,191,211
278,1,192,207
279,0,192,211
280,1,192,212
281,0,193,215
282,0,195,202
283,0,195,203
284,0,196,222
285,0,196,203
286,0,196,225
287,1,197,198
288,1,197,199
289,1,199,204
290,1,202,204
291,0,203,221
292,1,204,216
293,0,205,208
294,0,205,209
295,0,206,207
296,1,206,212
297,0,208,208
298,0,208,213
299,0,209,232
300,0,209,213
301,0,209,237
302,1,211,227
303,1,211,230
304,1,212,230
305,1,212,231
306,1,213,240
307,0,213,241
308,1,214,244
309,1,214,256
310,1,215,234
311,1,215,235
312,0,216,220
313,0,216,221
314,0,217,218
315,0,217,228
316,0,217,263
317,1,219,239
318,0,219,233
319,0,219,242
320,0,220,261
321,1,221,224
322,1,222,223
323,1,224,267
324,1,224,260
325,1,225,260
326,1,227,244
327,0,227,236
328,0,228,229
329,1,228,257
330,1,230,236
331,1,230,231
332,1,231,240
333,0,231,255
334,0,232,233
335,1,233,237
336,1,234,234
337,1,235,238
338,1,236,245
339,0,236,246
340,1,237,249
341,1,238,239
342,1,238,242
343,1,240,243
344,0,240,247
345,0,241,247
346,0,241,248
347,0,242,249
348,1,244,256
349,1,245,254
350,0,245,246
351,0,246,268
352,1,247,252
353,0,247,253
354,0,248,253
355,1,248,262
356,0,249,262
357,0,250,251
358,1,252,258
359,1,252,259
360,1,253,259
361,1,254,256
362,0,254,271
363,1,254,272
364,0,255,258
365,0,255,269
366,0,256,270
367,0,257,279
368,0,257,264
369,1,258,266
370,1,259,266
371,1,260,274
372,0,261,267
373,0,261,275
374,1,262,273
375,0,263,264
376,0,263,265
377,0,264,270
378,0,265,265
379,1,266,269
380,0,267,274
381,1,268,272
382,1,268,278
383,1,269,273
384,0,270,276
385,0,270,280
386,0,270,271
387,0,271,281
388,1,273,278
389,1,274,275
390,0,274,276
391,1,275,277
392,0,276,277
393,1,277,280
394,1,280,281
