source,bd_uid,name,address,province,city,area,tel,poi_type,tag
baidu,b4b251775cc40efffd0eb09e,石屏禧家餐饮文化,云南省红河哈尼族彝族自治州石屏县观音寺巷66号,云南省,红河哈尼族彝族自治州,石屏县,13008610227,unknown,
baidu,d61742da8dc60ae921022058,大嬢二嬢烧烤店,州衙老街屏门东楼B1-6号,云南省,红河哈尼族彝族自治州,石屏县,,unknown,
baidu,49649042241f2787364aaeb9,阿牛烧烤,丁家寨段与环城南路交叉口东南100米,云南省,红河哈尼族彝族自治州,石屏县,,unknown,
baidu,105b509ccc48392efe0eb06e,小点点豆腐店,异龙镇下仁和村87号(仁和园与房管小区之间),云南省,红河哈尼族彝族自治州,石屏县,13529665922,unknown,
baidu,a8491818acb0310ad92f2822,马丽小吃,文成街5号（中国邮政局银行，南正街邮政局）,云南省,红河哈尼族彝族自治州,石屏县,13466289034,unknown,
baidu,a8fa69989c7a3fd59fec2b18,绿草地餐厅(粮贸大楼店),喜燕街71号1单元301室,云南省,红河哈尼族彝族自治州,石屏县,18087307063,unknown,
baidu,f53e35943755b6ed49fc8d1c,杨记过桥园,宝塔路3号,云南省,红河哈尼族彝族自治州,石屏县,"13529473929,13708637271",unknown,
baidu,eb393f74a45a63612806ce29,大东园餐厅,红河哈尼族彝族自治州石屏县白马庙段与屏阳路交叉路口往东南约140米,云南省,红河哈尼族彝族自治州,石屏县,13529472038,unknown,
baidu,a9059c68cd86b3b12bd7ab43,养生素食,烟草小区北(钟秀街北)顺丰速递旁边,云南省,红河哈尼族彝族自治州,石屏县,13649620607,unknown,
baidu,9cfa0a4e2a84ad167c29bd34,老街小卷粉,正北街州衙老街屏门东楼B1-10号商铺,云南省,红河哈尼族彝族自治州,石屏县,13649624551,unknown,
baidu,4e4bd2c044d56f7b0b69d9ef,再上一碗,钟秀街85号,云南省,红河哈尼族彝族自治州,石屏县,13987301755,unknown,
baidu,366a5a3667a745cd3617dc58,食尚苑酸菜牛肉火锅,异龙镇异龙镇湖滨路丰秀苑A幢1-1-4号,云南省,红河哈尼族彝族自治州,石屏县,13769308611,unknown,
baidu,ab6981a7ff60a256af080f59,段氏花椒鸡,红河哈尼族彝族自治州石屏县云泉路华隆佳园东北侧约220米,云南省,红河哈尼族彝族自治州,石屏县,15126220279,unknown,
baidu,a31fa53c3e62ceb626d2bb84,胖三烧烤(石屏店),下仁和村134号,云南省,红河哈尼族彝族自治州,石屏县,13887327513,unknown,
baidu,1c875895b0c87807f50e77d8,屋顶清吧·茶餐厅,云南省红河哈尼族彝族自治州石屏县环城南路9号,云南省,红河哈尼族彝族自治州,石屏县,"15925266551,18314017835",unknown,
baidu,7e0c3035fb8bd5d5cd04ef52,川哥小面,云泉路与宝塔路交叉路口,云南省,红河哈尼族彝族自治州,石屏县,15187368878,unknown,
baidu,3b14a3d88c8a198c7dc8769b,重庆老火锅,清荷路与湖滨路交叉口西100米,云南省,红河哈尼族彝族自治州,石屏县,13529844238,unknown,
baidu,d0f53ba7a9dcf0f99d9d68a9,小胡一刀牛菜馆,宝塔路与钟秀街交叉口东北80米,云南省,红河哈尼族彝族自治州,石屏县,13987306251,unknown,
baidu,707f745bd5a684bcab059ddd,永毅小吃,异龙镇东正街7号,云南省,红河哈尼族彝族自治州,石屏县,13769385677,unknown,
baidu,659dd6277216b272a3d23015,名品鲜饺坊,云南省红河哈尼族彝族自治州石屏县云泉路华隆佳园东北侧约270米,云南省,红河哈尼族彝族自治州,石屏县,13887359547,unknown,
baidu,3eb1cd9b8e3caf1cb2077d64,南门花香米线,异龙镇环城南路6号(友佳商店旁),云南省,红河哈尼族彝族自治州,石屏县,13408959235,unknown,
baidu,915c7d689433f3f540e19240,米兮家糯米饭·卷饼,异龙镇环城南路5号,云南省,红河哈尼族彝族自治州,石屏县,13368735827,unknown,
baidu,82945cdb576fac464302459b,云小厨,异龙镇云泉路15号启蒙幼儿园对面,云南省,红河哈尼族彝族自治州,石屏县,19987314523,unknown,
baidu,90581cdf99b044b30682c287,西贡,红河哈尼族彝族自治州石屏县云泉路华隆佳园东北侧约230米,云南省,红河哈尼族彝族自治州,石屏县,,unknown,
baidu,5accbfe5cd2a25b9c4f50dd8,古茗(石屏钟秀街店),异龙镇钟秀街73号17号铺面、18号铺面,云南省,红河哈尼族彝族自治州,石屏县,13388730213,unknown,
baidu,b0603baee2725d7021f017e4,鸭头王烧烤(异龙生活广场店),云泉路异龙生活广场7号商铺,云南省,红河哈尼族彝族自治州,石屏县,"13577304177,15912887088",unknown,
baidu,c67c537df7de248635b06cd1,茶百道(石屏店),钟秀街73号,云南省,红河哈尼族彝族自治州,石屏县,4000287770,unknown,
baidu,2d1156202bfbd03b4657260c,泽日·韩式料理,云泉路3号,云南省,红河哈尼族彝族自治州,石屏县,18487132194,unknown,
baidu,56fb0c9439ba6f99bca82260,青青牧场鲜奶吧,钟秀街20号商铺,云南省,红河哈尼族彝族自治州,石屏县,13988026038,unknown,
baidu,e5ff8b622da04c9fe5e96527,家园居食府,"云泉路7号（糕点厂对面,近城门）",云南省,红河哈尼族彝族自治州,石屏县,13769358038,unknown,
baidu,b4bc3ce90a8598ae3913fdd8,蟹小虾麻辣工坊(石屏店),湖滨路恒丰E号楼四区C幢22-35号商铺,云南省,红河哈尼族彝族自治州,石屏县,19018735889,unknown,
baidu,f41fb24942e524d06c476014,李玲烧烤,珠泉街112号,云南省,红河哈尼族彝族自治州,石屏县,13769494538,unknown,
baidu,07c39217e9743aeb21f0178a,北杨豆腐,红河哈尼族彝族自治州石屏县宝塔路糖厂集资房东侧,云南省,红河哈尼族彝族自治州,石屏县,,unknown,
baidu,7ffef5c5c02da173ae31e5c7,隆江猪脚饭(人民医院店),异龙镇湖滨路青少年宫南面,云南省,红河哈尼族彝族自治州,石屏县,18788288701,unknown,
baidu,aeaa26c5ff486820f90cad60,小螺香·螺蛳粉(石屏店),钟秀街延长线创意广告斜对面,云南省,红河哈尼族彝族自治州,石屏县,15277023325,unknown,
baidu,6c0d3afd647cedbcf02d8321,老四娘凉品店,喜燕街与云泉路交叉口西南60米,云南省,红河哈尼族彝族自治州,石屏县,,unknown,
baidu,9733eb398136d7998a36eef3,不晚小食堂,清荷路与丁家寨段交叉口西南80米,云南省,红河哈尼族彝族自治州,石屏县,,unknown,
baidu,418294a7f2d57c3d90114c6e,丁月阁美食坊,云南省红河哈尼族彝族自治州石屏县湖滨路嘉林路15号,云南省,红河哈尼族彝族自治州,石屏县,13466268766,unknown,
baidu,134003c34bd29d2709b93a05,异龙源餐厅,云南省红河哈尼族彝族自治州石屏县异龙镇冒合吴家营村4组154号,云南省,红河哈尼族彝族自治州,石屏县,15808686429,unknown,
baidu,e650f1b4374da5d7c7f50da9,源丰圆美食店,中左所村36号,云南省,红河哈尼族彝族自治州,石屏县,18213626721,unknown,
baidu,87cfe95907b6b2f8c33644b2,吴燕烧烤,珠泉街饮服出租商铺,云南省,红河哈尼族彝族自治州,石屏县,15096879998,unknown,
baidu,fd241d60402a391815c905f8,西门食堂,异龙镇西正街54号(中医院旁),云南省,红河哈尼族彝族自治州,石屏县,13988080591,unknown,
baidu,f67b2a3c9ddbe022d12dd64c,火辣辣二中鸡脚(石屏店),钟秀街77号,云南省,红河哈尼族彝族自治州,石屏县,15752648823,unknown,
baidu,05d85944d280c1395e17c3be,茶里茶气(钟秀街店),异龙镇钟秀街73号2号商铺,云南省,红河哈尼族彝族自治州,石屏县,,unknown,
baidu,af4327e20357edbf626858be,玖拾烧烤,云南省红河哈尼族彝族自治州石屏县钟秀街66号,云南省,红河哈尼族彝族自治州,石屏县,15187330560,unknown,
baidu,b3bc13e5422b5c63f8dc856b,大方咖啡,北正街4号石屏县博物馆(玉屏书院),云南省,红河哈尼族彝族自治州,石屏县,13987309381,unknown,
baidu,cb06a2884cb7864dafee7abc,兴源餐厅(史家巷店),史家巷与湖滨路交叉路口西北侧(恒丰小区西北侧),云南省,红河哈尼族彝族自治州,石屏县,18087389869,unknown,
baidu,05b79a40f3b871f2e215f965,西贡码头,云南省红河哈尼族彝族自治州石屏县异龙镇上仁和村34号,云南省,红河哈尼族彝族自治州,石屏县,15287305115,unknown,
baidu,bce67643e665296c7069d385,特色香锅(恒丰小区店),云南省红河哈尼族彝族自治州石屏县异龙镇清荷路湖滨路集贸市场,云南省,红河哈尼族彝族自治州,石屏县,13108608728,unknown,
baidu,397094d873ae47430869d97b,9块9披萨(钟秀街店),钟秀街与祥和街交叉口东20米,云南省,红河哈尼族彝族自治州,石屏县,,unknown,
baidu,8d959cdf35d813f4932ca38f,乐尚餐吧(钟秀花园店),钟秀街花园巷钟秀花园一楼,云南省,红河哈尼族彝族自治州,石屏县,13769354543,unknown,
baidu,d8af19f49c883e7a4351c035,王涛小吃,环城东路与030乡道交叉口南150米,云南省,红河哈尼族彝族自治州,石屏县,13466281502,unknown,
baidu,0cb56c732c0c4f79c9fa5f0d,和家小院,红河哈尼族彝族自治州石屏县白马庙段东兴小区东南侧约100米,云南省,红河哈尼族彝族自治州,石屏县,,unknown,
baidu,98b85711ca33f747d813180d,双庆脆皮烤鸭,云泉路12号,云南省,红河哈尼族彝族自治州,石屏县,18388252574,unknown,
baidu,b017c80d0cf1150681288a19,丽波馄饨,花园巷银丰盛景,云南省,红河哈尼族彝族自治州,石屏县,13466263583,unknown,
baidu,c82f08340fa3798782a12e26,LEHE咖啡店,云南省红河哈尼族彝族自治州石屏县北正街B2-08号,云南省,红河哈尼族彝族自治州,石屏县,15187340503,unknown,
baidu,828fcbf04a60c8b7c17da231,陈记饭庄,湖滨路丹林电脑东北50米,云南省,红河哈尼族彝族自治州,石屏县,13649626952,unknown,
baidu,7247f008ac09b94af6c59c07,恒兴小吃店,异龙镇北正街州衙老街文正楼1幢B2-07号商铺（老街小卷粉旁）,云南省,红河哈尼族彝族自治州,石屏县,18987393206,unknown,
baidu,a2d22b211c43b06c57bfff76,俊江食府,红河哈尼族彝族自治州石屏县屏阳路冒合中学北侧约60米,云南省,红河哈尼族彝族自治州,石屏县,13908739036,unknown,
baidu,c7dff9b50507a518f7eafc81,辣妹包子铺,红河哈尼族彝族自治州石屏县白马庙段东兴小区西南侧约70米,云南省,红河哈尼族彝族自治州,石屏县,,unknown,
baidu,592a7bc44c9862288bb988b5,LEHE Coffee,正北街石屏古建筑博物馆斜对面,云南省,红河哈尼族彝族自治州,石屏县,15187340503,unknown,
baidu,ff192779eda0a3a39fec2b0e,然物·咖啡,云泉社区钟秀花园17号商铺,云南省,红河哈尼族彝族自治州,石屏县,18387316797,unknown,
baidu,2e901c8cc9bd4e997ec87668,歪枪小吃,红河哈尼族彝族自治州异龙镇城东社区观音寺巷2号,云南省,红河哈尼族彝族自治州,石屏县,13887325944,unknown,
baidu,15f75334661c0f4fd42ce2aa,泰枫,宝塔路24号,云南省,红河哈尼族彝族自治州,石屏县,,unknown,
baidu,ed9aec24ad9e0ef3213bf276,武汉黑鸭(石屏店),钟秀花园东门东南70米,云南省,红河哈尼族彝族自治州,石屏县,"13544261598,15752535189",unknown,
baidu,53374e94f4e4e9dc5abbbccd,炭烧牛蛙烤鱼,红河哈尼族彝族自治州石屏县清荷路恒丰小区(湖滨路),云南省,红河哈尼族彝族自治州,石屏县,,unknown,
baidu,18b81d7ee85e67dd59bbbcea,蓝朋友club,焕文路与湖滨路交叉口红绿灯旁,云南省,红河哈尼族彝族自治州,石屏县,13577339117,unknown,
baidu,6c01166adac0fdfdeb12e4e2,鱼么家,红河哈尼族彝族自治州石屏县钟秀街钟秀花园,云南省,红河哈尼族彝族自治州,石屏县,,unknown,
baidu,ae43804bc8e4223932f71d1b,麒麟大口茶(石屏店),钟秀街钟秀花园40号,云南省,红河哈尼族彝族自治州,石屏县,17874018451,unknown,
baidu,9782c24ef2c73e2c2811d113,思源饼屋,云南省红河哈尼族彝族自治州石屏县异龙镇中左所25号,云南省,红河哈尼族彝族自治州,石屏县,15752277833,unknown,
baidu,d603637f474ed3b9a11de9eb,周记卤鸭(石屏店),钟秀街20号,云南省,红河哈尼族彝族自治州,石屏县,13529848983,unknown,
baidu,a04a8cc2c97459b7be48429a,五里香饭店(湖滨路店),湖畔晟景商5-2601,云南省,红河哈尼族彝族自治州,石屏县,13887382777,unknown,
