degree,closeness,betweenness,straightness,information,avg_neighbor_deg,clustering,local_efficiency,redundancy,node_id
2,0.0004528745492496393,0.002388752388752389,0.009401943595954207,0.0007226690844125048,2.5,0.0,0.0,0.0,0
2,0.0004528456975492396,0.002434252434252434,0.009133904335283247,0.0007372448803302621,2.5,0.0,0.0,0.0,1
3,0.0004893601071031345,0.024638274638274636,0.009236359245754486,0.0007995828040452266,2.6666666666666665,0.0,0.0,0.0,2
3,0.00048621077652225036,0.009919009919009918,0.009493363079941381,0.0007503420150652506,2.3333333333333335,0.0,0.0,0.0,3
3,0.00048173397931924904,0.014946764946764945,0.0086656693997156,0.0007745172738625119,2.6666666666666665,0.0,0.0,0.3333333333333333,4
1,0.00040811660775240594,0.0,0.007884938069209101,0.0006613202067318511,3.0,0.0,0.0,0.0,5
1,0.0004812025744857331,0.0,0.01003644807153744,0.0006436142974621975,3.0,0.0,0.0,0.0,6
4,0.0005083217222333601,0.03348803348803349,0.009266474784869461,0.000829668588198414,2.5,0.0,0.0,0.0,7
4,0.0003878658562907392,0.0,0.006093587925958471,0.0008157774132344747,2.75,0.0,0.6111111111111112,1.3333333333333333,8
3,0.00041455963954732883,0.0050277550277550275,0.006020804991453444,0.0008944161574966333,2.6666666666666665,0.0,0.0,0.3333333333333333,9
4,0.0004475992384868876,0.004982254982254982,0.007549926746040604,0.0007791089257044867,2.75,0.0,0.6111111111111112,1.3333333333333333,10
3,0.0004949789934087128,0.02939302939302939,0.009190284732805708,0.0008262546314619419,3.3333333333333335,0.0,0.0,0.0,11
1,0.00048463501023248307,0.0,0.009480119252389172,0.0007011145054905988,4.0,0.0,0.0,0.0,12
3,0.0005370239852290748,0.024433524433524433,0.009352808157650999,0.0008187339778723524,2.3333333333333335,0.0,0.0,0.0,13
3,0.0005692985210581046,0.037947037947037944,0.009702194152524936,0.0008831740995352088,3.3333333333333335,0.0,0.0,0.0,14
1,0.00045188925192318617,0.0,0.008471933212233393,0.0006932899494458954,3.0,0.0,0.0,0.0,17
3,0.0005592631227063816,0.029415779415779414,0.009062697538275415,0.000884996673180547,3.0,0.0,0.0,0.0,18
3,0.0005724057161735773,0.04622804622804623,0.009358457151808655,0.0008909122307997189,2.3333333333333335,0.0,0.0,0.0,19
1,0.0005374545704960997,0.0,0.00950281709725591,0.0007443549846633039,3.0,0.0,0.0,0.0,20
4,0.00033164438924661034,4.55000455000455e-05,0.006321532086408317,0.0006868849552168763,2.5,0.0,0.2777777777777778,1.0,21
4,0.00033758913249308644,0.009782509782509783,0.005993378430006004,0.0007552066928282541,3.25,0.0007086785404888012,0.0,0.3333333333333333,22
2,0.0003252599907349323,2.275002275002275e-05,0.0062213991872823735,0.000666007821951216,3.0,0.0,0.0,1.0,23
3,0.0005499099706623994,0.010032760032760032,0.009003922183995872,0.000762353915335868,1.6666666666666667,0.0,0.0,0.0,24
1,0.0005252681478745895,0.0,0.009300008767171832,0.0006524320269703211,3.0,0.0,0.0,0.0,25
2,0.00032967133345934956,0.004959504959504959,0.005882610483256652,0.0006844398379989663,2.5,0.0,0.0,0.0,26
3,0.0003378785190006119,0.0006597506597506598,0.0060005522007539275,0.0007503246295789216,3.6666666666666665,0.0014173570809776024,0.0,0.3333333333333333,27
3,0.00033466621751600684,0.009919009919009918,0.005534093376280031,0.0007493203741987358,2.6666666666666665,0.0,0.0,0.0,28
3,0.0003515833837450267,0.03744653744653745,0.005364664209678496,0.000809290050413119,3.6666666666666665,0.0,0.0,0.0,29
2,0.0003335853969203929,0.0,0.005918277662821404,0.0007373540342080539,3.5,0.0,0.0,0.0,30
3,0.0003470805754459291,0.0013195013195013195,0.0057142798319764765,0.0007964746782658588,3.0,0.0,0.0,0.0,31
3,0.0005851531648940002,0.04984529984529985,0.008910976547420667,0.0009650031270964168,3.3333333333333335,0.0031167655983238784,0.0,0.3333333333333333,32
4,0.0003423716247533877,0.01986076986076986,0.005640878876643562,0.0007844623222875907,3.25,0.0007086785404888012,0.0,0.16666666666666666,33
3,0.0005669874672198524,0.04695604695604695,0.008542086567866656,0.0009134699854678932,3.0,0.0,0.0,0.0,34
