FID,label,node_start,node_end
0,1,0,1
1,1,0,3
2,0,1,2
3,0,2,4
4,0,2,11
5,1,3,6
6,1,3,7
7,0,4,5
8,0,4,10
9,1,7,12
10,1,7,11
11,1,7,14
12,1,8,8
13,0,8,9
14,1,8,10
15,1,9,50
16,1,9,60
17,0,10,10
18,0,11,13
19,0,13,17
20,0,13,18
21,1,14,18
22,0,14,19
23,0,15,16
24,0,15,46
25,0,18,34
26,0,19,20
27,0,19,32
28,0,21,21
29,1,21,22
30,1,21,23
31,1,22,30
32,1,22,33
33,1,22,27
34,1,23,26
35,1,24,25
36,1,24,34
37,1,24,41
38,1,26,28
39,1,27,28
40,1,27,33
41,1,28,29
42,0,29,33
43,1,29,51
44,0,30,31
45,0,31,33
46,1,31,47
47,0,32,39
48,0,32,40
49,1,34,38
50,1,35,36
51,0,36,37
52,1,37,64
53,1,37,91
54,1,38,40
55,1,38,50
56,0,39,42
57,1,39,40
58,0,40,45
59,1,43,44
60,1,43,64
61,1,43,51
62,0,45,61
63,0,45,55
64,0,45,62
65,0,46,57
66,1,47,51
67,0,47,66
68,0,48,49
69,0,48,59
70,0,48,52
71,0,50,54
72,0,51,65
73,1,52,53
74,0,52,59
75,0,54,55
76,0,54,63
77,0,55,56
78,0,57,58
79,0,58,59
80,0,58,76
81,0,58,77
82,0,58,78
83,1,61,72
84,0,61,74
85,1,62,67
86,0,62,68
87,0,63,69
88,1,63,70
89,0,64,110
90,0,65,86
91,0,65,66
92,0,66,87
93,1,67,74
94,1,67,68
95,1,67,79
96,1,68,82
97,0,69,88
98,0,69,89
99,0,70,71
100,0,71,72
101,1,71,80
102,0,71,81
103,1,72,73
104,1,74,75
105,1,75,83
106,1,75,85
107,0,77,96
108,0,77,97
109,0,78,97
110,0,78,130
111,1,79,113
112,0,79,82
113,1,80,89
114,0,80,100
115,1,81,84
116,0,82,115
117,1,84,100
118,0,84,108
119,0,84,94
120,0,85,94
121,1,85,95
122,0,86,125
123,1,86,110
124,0,86,87
125,0,87,126
126,1,88,104
127,1,88,92
128,1,89,90
129,1,90,92
130,0,90,93
131,0,91,134
132,0,91,171
133,0,92,112
134,0,93,98
135,0,93,99
136,0,94,109
137,0,94,95
138,0,95,111
139,0,96,149
140,0,96,140
141,0,97,140
142,0,98,101
143,0,99,101
144,0,99,102
145,0,100,102
146,1,100,106
147,0,100,107
148,0,101,105
149,0,102,105
150,0,102,106
151,0,103,104
152,1,104,122
153,0,105,107
154,0,106,107
155,1,107,108
156,0,108,118
157,0,108,116
158,1,109,116
159,0,109,114
160,1,110,131
161,1,110,129
162,0,111,114
163,0,111,113
164,0,113,117
165,0,114,120
166,1,115,117
167,0,115,124
168,0,116,121
169,0,117,120
170,1,118,119
171,0,118,122
172,0,120,121
173,1,121,123
174,0,122,139
175,0,122,123
176,0,123,131
177,1,123,143
178,1,123,144
179,1,124,144
180,0,124,135
181,0,124,147
182,0,125,126
183,0,125,128
184,1,125,129
185,1,126,127
186,0,127,128
187,1,127,189
188,1,128,159
189,0,128,190
190,0,129,131
191,1,129,134
192,0,132,133
193,1,134,159
194,0,135,136
195,0,135,170
196,0,137,138
197,0,139,154
198,0,139,143
199,0,140,150
200,0,141,142
201,0,141,150
202,0,141,166
203,0,143,157
204,0,143,158
205,1,144,148
206,0,145,146
207,1,147,158
208,1,147,160
209,0,149,153
210,0,149,150
211,0,151,152
212,0,153,172
213,0,153,166
214,1,154,169
215,1,154,182
216,0,155,156
217,0,155,277
218,0,155,278
219,1,157,203
220,0,157,206
221,1,157,207
222,1,158,165
223,1,159,196
224,1,160,180
225,1,160,181
226,0,161,162
227,0,161,192
228,0,161,185
229,0,163,164
230,0,163,185
231,0,165,183
232,1,165,180
233,0,166,178
234,0,167,168
235,1,167,179
236,0,168,169
237,0,169,175
238,0,171,196
239,0,171,195
240,0,171,283
241,0,172,176
242,0,172,177
243,0,173,174
244,0,173,186
245,1,175,179
246,0,176,213
247,0,176,214
248,0,177,216
249,0,177,225
250,1,180,184
251,1,181,184
252,1,181,199
253,1,182,200
254,1,182,201
255,1,183,207
256,1,184,208
257,0,186,187
258,0,186,188
259,0,187,188
260,1,188,200
261,1,189,191
262,0,189,190
263,0,190,195
264,0,190,196
265,0,191,195
266,1,191,279
267,0,193,194
268,0,193,204
269,0,193,221
270,0,195,276
271,1,197,198
272,1,199,215
273,1,199,282
274,0,200,217
275,0,201,202
276,1,201,203
277,0,202,224
278,0,202,226
279,1,203,205
280,0,205,211
281,1,205,212
282,0,206,273
283,0,206,209
284,0,207,209
285,1,207,210
286,0,208,210
287,0,208,215
288,1,209,238
289,0,211,243
290,1,211,273
291,1,212,219
292,1,212,220
293,1,214,227
294,0,214,225
295,1,215,238
296,0,217,218
297,0,217,231
298,1,217,232
299,1,217,233
300,0,219,252
301,0,219,253
302,1,220,229
303,1,220,230
304,0,222,223
305,0,225,228
306,0,226,234
307,1,226,235
308,0,230,245
309,1,231,264
310,0,231,266
311,1,232,242
312,1,232,234
313,1,233,233
314,1,233,239
315,1,234,241
316,0,234,256
317,1,235,235
318,1,236,237
319,1,237,263
320,1,237,264
321,1,238,282
322,1,239,240
323,1,239,241
324,1,241,242
325,0,243,244
326,1,243,262
327,0,244,245
328,1,246,247
329,0,248,249
330,0,248,254
331,0,248,255
332,0,250,251
333,1,250,257
334,1,250,265
335,1,253,261
336,1,253,262
337,1,254,258
338,1,255,258
339,0,256,266
340,0,256,273
341,1,258,270
342,0,258,284
343,0,259,260
344,1,259,265
345,1,259,263
346,1,262,269
347,1,263,285
348,1,265,270
349,0,267,268
350,0,267,290
351,0,267,291
352,1,270,284
353,1,271,272
354,0,274,275
355,0,276,283
356,1,276,279
357,0,280,281
358,0,280,292
359,1,280,293
360,1,284,286
361,1,284,287
362,1,285,288
363,0,285,287
364,0,287,289
365,0,288,289
366,1,288,294
367,1,294,297
368,1,295,296
