source,bd_uid,name,address,province,city,area,tel,poi_type,tag
baidu,f8531c88bd073934bda24019,农家小馆,新安北路6号21,安徽省,黄山市,屯溪区,,unknown,
baidu,e5cadd198729b4de02897283,今晚火锅鸡,滨江中路1号（原黄山市屯溪区滨江东路1号）,安徽省,黄山市,屯溪区,15155999986,unknown,
baidu,0b2d6bbc9de728aad13ce3e4,疆小妞新疆炒米粉(新安广场店),新安北路新安广场6-30号,安徽省,黄山市,屯溪区,18655917650,unknown,
baidu,10cf994bccf7e7099fec2bf9,印象徽州·正宗徽菜体验店,滨江西路25-1号（千禧亭对面）,安徽省,黄山市,屯溪区,13515798850,unknown,
baidu,638f55201c103eeb17948e34,云家里,滨江西路新华书店四楼,安徽省,黄山市,屯溪区,(0559)2521777,unknown,
baidu,287486fa19bd88e5eb12e49d,休宁饭店,新民路10号,安徽省,黄山市,屯溪区,13685596223,unknown,
baidu,24f610eea7697ac85cd4fe94,田园碗碗香,黄山市屯溪区新安北路新安广场,安徽省,黄山市,屯溪区,,unknown,
baidu,1acaafb5b590374fe5e96539,火夫家(新安广场店),新民路22号,安徽省,黄山市,屯溪区,15862363180,unknown,
baidu,fc4d9eb589d87c585b109383,云进碳烤烧饼(新安广场店),安徽省黄山市屯溪区新安北路8号新安广场,安徽省,黄山市,屯溪区,15955903204,unknown,
baidu,88f72b6000a0f25db320a8e4,至上馄饨(新安广场店),新安北路8-12号,安徽省,黄山市,屯溪区,"13855923041,18755939918",unknown,
baidu,308d314057ea2bd3f03cba3c,成路烧饼,栗里商场底层44号,安徽省,黄山市,屯溪区,15056695831,unknown,
baidu,6b26a93a321847f7e507381b,北京饺子馆(新安广场店),新安北路6-27号(市医院对面),安徽省,黄山市,屯溪区,"15755970342,18205598074",unknown,
baidu,f39f3243c7511090b5f42f9e,蜜雪冰城(黄山百大店),黄山西路50号黄山银街30号,安徽省,黄山市,屯溪区,"13395593638,18255984464",unknown,
baidu,a552d44ab2ef2320b6f42f90,韦记柳州高汤螺蛳粉,百大后门往新华书店方向康乐一路45号,安徽省,黄山市,屯溪区,13877804925,unknown,
baidu,8d535a22b9db5072bb17e73c,本草淮南牛肉汤(新安广场店),新安北路6号-36号,安徽省,黄山市,屯溪区,17681294986,unknown,
baidu,80c4bcf0cb144e7731169bd5,兰州拉面馆市医院店(栗园路店),栗园路15号,安徽省,黄山市,屯溪区,18655981616,unknown,
baidu,8ddd9f187fe67e07a8059d4b,新安北路8-10许姐家常菜,安徽省黄山市屯溪区新安北路8号、10号,安徽省,黄山市,屯溪区,15056690441,unknown,
baidu,335f6761ee5186e0be4842ec,牛比达人披萨(商贸城店),惠中商城12号,安徽省,黄山市,屯溪区,"15212325010,18955994450",unknown,
