FID,label,node_start,node_end
0,1,0,1
1,1,0,2
2,0,2,13
3,0,2,14
4,0,3,4
5,1,3,6
6,0,3,7
7,0,4,5
8,0,5,7
9,0,5,19
10,0,5,20
11,1,6,8
12,1,6,9
13,1,7,9
14,0,7,22
15,1,8,12
16,1,9,12
17,1,9,27
18,1,10,11
19,1,11,15
20,1,11,16
21,1,12,28
22,1,13,17
23,1,13,18
24,0,14,42
25,0,14,43
26,0,15,19
27,1,15,21
28,0,16,23
29,1,16,24
30,1,17,25
31,0,17,26
32,0,18,42
33,0,18,50
34,0,18,51
35,0,19,35
36,1,20,35
37,1,20,22
38,0,20,44
39,0,21,24
40,0,21,35
41,1,21,40
42,0,22,27
43,0,23,25
44,0,23,36
45,0,23,37
46,0,23,33
47,0,24,36
48,0,24,39
49,0,25,33
50,1,25,34
51,0,26,34
52,0,26,47
53,1,27,28
54,1,27,46
55,0,28,48
56,0,29,30
57,1,31,32
58,1,34,49
59,0,35,41
60,1,36,38
61,1,37,49
62,1,37,38
63,1,37,58
64,0,38,39
65,1,38,62
66,1,39,40
67,1,39,63
68,1,40,64
69,1,41,52
70,1,41,60
71,0,42,45
72,1,43,68
73,1,43,84
74,1,44,46
75,0,44,52
76,0,45,53
77,0,45,68
78,0,46,48
79,1,46,57
80,0,48,59
81,1,49,51
82,1,49,56
83,1,51,53
84,1,52,57
85,1,52,66
86,1,52,67
87,0,53,72
88,0,54,55
89,0,55,60
90,1,55,61
91,1,57,59
92,1,57,69
93,0,59,70
94,0,60,65
95,1,61,64
96,1,61,65
97,0,61,82
98,1,62,71
99,1,62,75
100,1,63,64
101,0,63,78
102,0,65,85
103,1,67,76
104,1,67,77
105,0,68,74
106,0,68,86
107,1,69,77
108,1,69,81
109,1,69,102
110,1,70,81
111,1,72,73
112,0,72,74
113,1,73,79
114,1,73,80
115,0,74,92
116,0,75,79
117,0,75,78
118,1,76,113
119,1,76,95
120,1,76,117
121,0,77,95
122,0,78,91
123,1,79,83
124,0,81,103
125,0,82,87
126,0,82,90
127,1,83,92
128,1,83,105
129,1,83,106
130,0,84,86
131,0,84,97
132,0,85,90
133,1,85,98
134,1,86,99
135,1,86,100
136,0,87,88
137,0,87,89
138,0,88,91
139,1,88,101
140,0,89,90
141,1,89,94
142,0,90,96
143,0,91,105
144,0,92,93
145,1,93,99
146,1,93,109
147,1,94,96
148,1,94,101
149,0,95,120
150,0,95,102
151,1,96,98
152,1,96,104
153,1,97,100
154,1,97,127
155,1,97,128
156,1,98,107
157,1,99,108
158,1,100,125
159,1,100,129
160,1,101,104
161,1,101,110
162,0,102,121
163,0,103,121
164,1,104,111
165,1,105,110
166,0,105,114
167,1,106,119
168,1,106,114
169,1,107,111
170,0,107,113
171,1,108,109
172,0,108,118
173,1,109,119
174,1,110,115
175,1,111,112
176,1,112,115
177,0,112,113
178,1,114,124
179,1,115,116
180,0,116,137
181,1,116,117
182,0,117,120
183,1,117,144
184,1,118,125
185,1,118,126
186,1,119,122
187,1,120,143
188,1,120,148
189,1,120,144
190,0,121,123
191,1,122,131
192,1,122,132
193,1,123,140
194,0,123,142
195,1,123,143
196,0,124,137
197,1,124,141
198,1,125,130
199,1,127,168
200,1,127,197
201,1,127,128
202,1,129,130
203,1,129,136
204,0,130,133
205,0,132,146
206,0,132,133
207,1,133,149
208,1,134,135
209,1,135,150
210,0,135,146
211,0,136,153
212,1,136,158
213,1,137,138
214,1,139,140
215,0,139,142
216,1,141,152
217,0,141,150
218,1,142,145
219,0,143,144
220,0,144,163
221,1,145,147
222,0,145,148
223,0,146,149
224,1,147,156
225,0,148,157
226,1,148,156
227,0,149,153
228,1,149,154
229,1,150,155
230,0,151,151
231,1,152,163
232,1,152,165
233,1,152,170
234,0,153,159
235,0,155,171
236,1,155,172
237,1,156,164
238,0,157,161
239,0,157,162
240,0,159,160
241,1,160,181
242,0,160,182
243,1,160,168
244,0,162,199
245,0,162,204
246,0,163,164
247,1,164,165
248,1,165,175
249,0,165,176
250,0,166,166
251,0,166,167
252,1,167,173
253,0,167,174
254,1,168,169
255,0,168,188
256,0,168,182
257,1,168,196
258,1,170,178
259,1,170,179
260,1,171,179
261,1,171,181
262,0,175,198
263,0,175,199
264,1,176,177
265,1,176,178
266,0,177,200
267,1,177,203
268,0,178,180
269,1,179,180
270,1,180,183
271,1,181,183
272,1,181,186
273,1,181,190
274,0,181,182
275,1,181,191
276,1,181,188
277,1,181,192
278,0,182,183
279,0,182,185
280,0,182,189
281,0,182,188
282,0,182,195
283,0,182,193
284,1,183,184
285,0,184,203
286,1,184,191
287,0,187,188
288,0,188,193
289,1,188,190
290,1,188,191
291,0,188,194
292,0,190,212
293,0,190,214
294,1,191,212
295,0,193,196
296,0,193,197
297,1,196,197
298,1,199,205
299,0,200,201
300,0,200,202
301,0,202,209
302,0,202,207
303,0,203,207
304,0,204,208
305,0,204,210
306,1,205,206
307,0,205,209
308,0,207,217
309,0,207,218
310,0,209,211
311,0,210,213
312,0,210,215
313,1,211,231
314,0,211,232
315,1,212,216
316,0,214,220
317,1,215,221
318,1,215,222
319,1,215,223
320,1,216,218
321,1,216,219
322,0,217,232
323,0,217,239
324,1,217,224
325,1,218,224
