node_id_1,node_id_2,edge_id
0,68,0
0,294,1
0,295,2
1,215,3
2,214,4
2,113,5
4,192,6
4,182,7
4,215,8
4,207,9
5,230,10
5,149,11
6,281,12
6,280,13
6,282,14
6,119,15
7,120,16
7,9,17
7,27,18
8,313,19
8,156,20
8,27,21
9,7,22
10,223,23
10,64,24
10,136,25
11,51,26
11,63,27
11,87,28
11,137,29
12,59,30
12,52,31
12,15,32
13,83,33
13,60,34
14,115,35
14,85,36
14,142,37
15,16,38
15,65,39
15,60,40
15,12,41
16,15,42
16,61,43
17,31,44
17,33,45
17,178,46
17,177,47
18,298,48
18,183,49
18,36,50
19,159,51
19,164,52
19,20,53
19,177,54
20,32,55
20,19,56
21,32,57
21,35,58
21,44,59
22,92,60
22,226,61
22,34,62
23,34,63
23,184,64
23,88,65
24,92,66
24,36,67
24,89,68
25,313,69
25,26,70
25,312,71
25,306,72
26,27,73
26,25,74
26,138,75
27,26,76
27,8,77
27,7,78
28,139,79
28,141,80
29,98,81
29,292,82
30,31,83
30,233,84
31,17,85
31,30,86
31,234,87
32,20,88
32,21,89
32,176,90
33,17,91
33,98,92
33,176,93
34,23,94
34,35,95
34,22,96
35,37,97
35,34,98
36,37,99
36,24,100
36,18,101
37,35,102
37,36,103
37,38,104
38,37,105
38,39,106
38,183,107
39,38,108
39,41,109
39,41,110
40,298,111
41,44,112
41,39,113
41,39,114
42,43,115
43,284,116
43,42,117
43,46,118
44,41,119
44,183,120
44,21,121
45,298,122
46,43,123
47,61,124
48,137,125
48,49,126
48,64,127
49,224,128
49,86,129
49,48,130
50,51,131
50,52,132
50,65,133
51,64,134
51,11,135
51,50,136
52,50,137
52,87,138
52,12,139
53,80,140
54,316,141
54,78,142
54,304,143
54,303,144
55,125,145
55,121,146
55,305,147
55,307,148
56,63,149
56,103,150
56,57,151
57,62,152
57,56,153
57,58,154
58,59,155
58,83,156
58,57,157
59,12,158
59,58,159
59,62,160
60,15,161
60,13,162
60,61,163
61,16,164
61,47,165
61,60,166
62,59,167
62,63,168
62,57,169
62,87,170
63,11,171
63,56,172
63,62,173
64,10,174
64,51,175
64,48,176
65,136,177
65,15,178
65,50,179
66,72,180
66,86,181
67,291,182
67,296,183
68,118,184
68,117,185
69,70,186
69,218,187
70,297,188
71,219,189
71,72,190
72,82,191
73,142,192
73,74,193
74,314,194
75,140,195
75,76,196
77,181,197
77,96,198
78,54,199
78,305,200
78,301,201
78,300,202
79,73,203
80,81,204
81,308,205
82,79,206
83,13,207
83,58,208
83,235,209
84,103,210
84,105,211
84,90,212
85,104,213
85,14,214
