node_id_1,node_id_2,edge_id
0,400,0
0,427,1
1,42,2
1,367,3
1,365,4
2,421,5
2,369,6
3,106,7
3,355,8
3,111,9
4,47,10
4,56,11
5,46,12
5,47,13
5,6,14
6,66,15
6,8,16
6,5,17
7,50,18
7,405,19
8,405,20
8,6,21
8,48,22
9,464,23
9,46,24
9,382,25
9,398,26
10,424,27
10,104,28
11,10,29
12,52,30
12,13,31
12,413,32
13,446,33
13,12,34
13,73,35
14,74,36
14,75,37
14,16,38
15,229,39
15,19,40
16,79,41
16,14,42
17,403,43
17,91,44
17,93,45
18,112,46
18,467,47
18,297,48
19,270,49
19,15,50
19,164,51
20,159,52
20,156,53
20,25,54
20,152,55
21,287,56
21,276,57
21,34,58
22,278,59
22,130,60
22,276,61
22,200,62
23,127,63
23,161,64
23,124,65
24,127,66
24,94,67
24,467,68
25,162,69
25,196,70
25,20,71
25,362,72
26,287,73
26,159,74
26,274,75
27,29,76
27,461,77
27,238,78
28,134,79
28,331,80
28,114,81
28,327,82
29,225,83
29,318,84
29,27,85
30,209,86
30,36,87
30,211,88
31,131,89
31,280,90
31,199,91
32,213,92
32,206,93
32,132,94
33,200,95
33,199,96
33,130,97
33,131,98
34,341,99
34,196,100
34,21,101
34,130,102
35,210,103
35,37,104
35,100,105
36,217,106
36,30,107
36,214,108
36,209,109
37,202,110
37,35,111
37,205,112
38,213,113
38,218,114
38,214,115
39,198,116
39,197,117
39,199,118
40,206,119
40,131,120
40,200,121
41,132,122
41,280,123
41,209,124
42,90,125
42,1,126
42,44,127
42,373,128
43,385,129
43,408,130
43,17,131
44,42,132
44,385,133
44,368,134
45,43,135
45,402,136
45,384,137
46,9,138
46,47,139
46,5,140
47,4,141
47,46,142
47,5,143
48,56,144
48,8,145
48,59,146
49,59,147
49,50,148
49,55,149
50,7,150
50,71,151
50,49,152
51,57,153
51,54,154
51,52,155
52,447,156
52,51,157
52,12,158
53,359,159
53,59,160
53,55,161
53,63,162
54,359,163
54,62,164
54,411,165
54,51,166
55,57,167
55,447,168
55,53,169
55,49,170
56,409,171
57,51,172
57,359,173
57,55,174
58,60,175
58,61,176
58,64,177
58,62,178
59,53,179
59,48,180
59,49,181
60,58,182
60,63,183
60,409,184
61,63,185
61,62,186
61,359,187
61,58,188
62,61,189
62,54,190
62,58,191
63,61,192
63,53,193
63,60,194
64,410,195
64,58,196
64,392,197
65,381,198
65,365,199
65,380,200
65,382,201
66,6,202
66,69,203
66,401,204
67,404,205
67,70,206
68,69,207
68,381,208
68,9,209
69,404,210
69,66,211
69,68,212
70,401,213
70,7,214
71,72,215
71,446,216
71,50,217
72,71,218
72,73,219
72,458,220
73,443,221
73,72,222
73,468,223
73,13,224
74,453,225
74,14,226
74,82,227
74,452,228
75,14,229
75,78,230
75,80,231
76,78,232
76,86,233
76,81,234
76,84,235
76,77,236
77,81,237
77,78,238
77,79,239
77,76,240
78,75,241
78,76,242
78,77,243
78,80,244
79,426,245
79,16,246
79,77,247
80,75,248
80,82,249
80,78,250
81,83,251
81,426,252
81,77,253
81,76,254
82,74,255
82,80,256
82,86,257
83,81,258
83,84,259
83,396,260
84,83,261
84,85,262
84,76,263
85,84,264
85,86,265
85,393,266
86,454,267
86,76,268
86,82,269
86,85,270
87,376,271
87,374,272
88,89,273
88,373,274
88,422,275
89,88,276
89,109,277
89,374,278
90,42,279
90,375,280
90,91,281
91,17,282
91,90,283
91,92,284
92,376,285
92,93,286
93,92,287
94,292,288
94,99,289
94,24,290
94,108,291
95,143,292
95,141,293
95,305,294
96,97,295
96,98,296
96,432,297
97,96,298
98,96,299
98,137,300
98,140,301
99,129,302
99,94,303
99,202,304
100,35,305
100,216,306
100,215,307
101,338,308
101,218,309
101,213,310
101,192,311
102,195,312
102,103,313
103,11,314
104,449,315
104,412,316
105,347,317
105,399,318
106,347,319
106,3,320
107,408,321
108,205,322
108,215,323
108,94,324
109,448,325
109,89,326
110,126,327
110,125,328
110,467,329
111,187,330
111,136,331
111,3,332
112,315,333
112,236,334
113,189,335
113,316,336
113,315,337
114,227,338
114,394,339
114,28,340
115,147,341
115,149,342
115,277,343
115,219,344
116,281,345
116,271,346
116,147,347
117,271,348
118,222,349
119,222,350
119,120,351
119,125,352
120,121,353
120,119,354
120,126,355
121,120,356
122,125,357
123,124,358
124,123,359
124,23,360
124,155,361
125,122,362
125,110,363
125,119,364
126,110,365
126,127,366
126,120,367
127,24,368
127,23,369
127,126,370
128,188,371
128,189,372
128,317,373
129,203,374
129,362,375
129,197,376
129,99,377
130,22,378
130,198,379
130,33,380
130,34,381
131,132,382
131,40,383
131,31,384
131,33,385
132,32,386
132,41,387
132,212,388
132,131,389
133,214,390
134,345,391
134,135,392
134,28,393
135,134,394
135,136,395
135,325,396
135,329,397
136,135,398
136,398,399
136,111,400
137,138,401
137,98,402
138,139,403
138,140,404
138,137,405
139,142,406
139,336,407
139,138,408
140,145,409
140,98,410
140,138,411
141,336,412
141,305,413
141,163,414
141,95,415
142,143,416
142,139,417
142,240,418
143,142,419
143,95,420
143,268,421
144,146,422
144,240,423
144,240,424
145,140,425
145,146,426
145,219,427
146,269,428
146,145,429
146,144,430
147,115,431
147,150,432
147,116,433
148,221,434
149,150,435
149,221,436
149,152,437
149,115,438
150,151,439
150,149,440
150,153,441
150,147,442
151,150,443
152,153,444
152,20,445
152,149,446
152,224,447
153,152,448
153,150,449
153,286,450
154,284,451
154,159,452
154,286,453
155,156,454
155,157,455
155,124,456
156,20,457
156,155,458
156,158,459
157,155,460
157,160,461
157,160,462
158,156,463
158,162,464
158,160,465
159,154,466
159,341,467
159,26,468
159,20,469
160,157,470
160,157,471
160,161,472
160,158,473
161,23,474
161,162,475
161,160,476
161,292,477
162,161,478
162,25,479
162,158,480
163,304,481
163,141,482
164,354,483
164,187,484
165,169,485
166,170,486
167,172,487
168,171,488
169,174,489
169,170,490
169,165,491
170,169,492
170,171,493
170,166,494
171,170,495
171,172,496
171,168,497
172,171,498
172,167,499
172,311,500
173,176,501
173,174,502
173,311,503
174,177,504
174,169,505
174,173,506
175,176,507
176,173,508
176,183,509
176,175,510
177,185,511
177,174,512
177,178,513
178,428,514
178,179,515
178,177,516
179,429,517
179,180,518
179,178,519
180,179,520
181,189,521
182,184,522
183,188,523
