FID,label,node_start,node_end
0,1,0,1
1,1,0,2
2,0,1,5
3,1,1,6
4,1,2,18
5,0,2,6
6,1,2,20
7,0,3,4
8,0,3,7
9,1,3,8
10,1,3,9
11,0,5,10
12,0,5,11
13,0,6,11
14,1,6,21
15,0,7,22
16,0,7,23
17,1,8,12
18,1,9,26
19,1,9,24
20,1,9,36
21,0,11,35
22,0,12,13
23,1,12,17
24,0,13,14
25,1,13,18
26,0,15,16
27,1,17,44
28,0,17,43
29,1,18,19
30,1,19,20
31,1,19,44
32,0,20,46
33,0,22,22
34,0,23,37
35,0,23,38
36,1,24,25
37,0,24,31
38,1,24,34
39,1,24,29
40,1,25,26
41,0,25,27
42,1,26,28
43,1,26,29
44,1,26,30
45,1,27,27
46,1,27,29
47,1,29,36
48,1,29,63
49,1,32,33
50,1,35,46
51,1,35,61
52,1,36,63
53,0,37,48
54,0,37,40
55,0,38,39
56,0,38,40
57,0,40,53
58,1,41,42
59,1,41,51
60,1,41,64
61,0,42,43
62,1,42,44
63,0,43,47
64,0,43,50
65,0,44,45
66,0,45,46
67,1,45,51
68,1,46,52
69,1,48,49
70,0,48,60
71,1,51,52
72,1,51,65
73,1,52,66
74,0,53,56
75,0,53,57
76,0,54,55
77,0,54,56
78,0,54,58
79,0,56,59
80,0,57,60
81,0,57,59
82,0,58,59
83,0,58,62
84,0,60,62
85,0,61,73
86,0,61,77
87,0,62,67
88,1,63,69
89,1,63,70
90,0,64,65
91,1,64,68
92,1,65,66
93,1,65,71
94,1,66,73
95,1,67,69
96,0,67,72
97,1,68,71
98,1,68,74
99,0,69,72
100,1,70,75
101,1,71,73
102,1,71,74
103,0,72,76
104,0,74,78
105,1,75,78
106,0,76,79
107,0,76,80
108,0,77,82
109,1,78,81
110,1,81,82
