source,bd_uid,name,address,province,city,area,tel,poi_type,tag
baidu,627aa318cabd7a2d38221cf9,五湖烧烤店,兴盛路友好委（陶然居小区2号楼1层3室）,黑龙江省,齐齐哈尔市,昂昂溪区,15845603360,unknown,
baidu,b1c0fe6e6e2b0d4a07fef53c,原小俭烧烤,文化小区西南门东130米,黑龙江省,齐齐哈尔市,昂昂溪区,"(0452)6324442,13079663433",unknown,
baidu,c846528dfff467668936eecc,老关东农家院(宏顺嘉园店),宏顺嘉园18号楼,黑龙江省,齐齐哈尔市,昂昂溪区,"13144520077,15645257000",unknown,
baidu,4afd88f47e80183096f08ca8,喜年来(兴盛路店),黑龙江省齐齐哈尔市昂昂溪区兴盛路217号老店喜年来春饼锅烙老店,黑龙江省,齐齐哈尔市,昂昂溪区,13359522887,unknown,
baidu,6fddd7fd3fb9ab023517dc76,韩城烧烤(区府路店),长兴街40号,黑龙江省,齐齐哈尔市,昂昂溪区,(0452)6304678,unknown,
baidu,7e559c4433a75e8aebe58209,牧羊人烧烤(兴盛路店),兴盛路342号,黑龙江省,齐齐哈尔市,昂昂溪区,13766516111,unknown,
baidu,45dcbf2a255f23aef603b862,东来顺餐馆(丰源路店),黑龙江省齐齐哈尔市昂昂溪区丰源路庆华小区18号,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,b098ee6711fc5a142dfaa718,添柴铁锅居(兴盛路店),兴盛路飞跃通讯西行50米,黑龙江省,齐齐哈尔市,昂昂溪区,(0452)6328789,unknown,
baidu,7ee1d3bc1ed7c4666ca3cc16,鑫鑫锅烙馆,长兴街兴盛小区东南门南40米,黑龙江省,齐齐哈尔市,昂昂溪区,13069730866,unknown,
baidu,80d472f9ae285e6af8dc854f,丁氏清真火锅府(文化小区店),区府路文化小区9号楼,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,82ac6dc7d5384eb325e0a056,海运私房菜小馅饼,黑龙江省齐齐哈尔市昂昂溪区新兴街道兴盛路140号,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,f8034a8b3e55c35e79b55c87,沣果快餐,陶然居西南门西150米,黑龙江省,齐齐哈尔市,昂昂溪区,13763520924,unknown,
baidu,bf0da5a1325124fe5fbe86f7,蔡家金福源烧烤城(文化小区店),文化小区十号楼一层10门,黑龙江省,齐齐哈尔市,昂昂溪区,15764528775,unknown,
baidu,790056019ea55cfe6ec02c8d,食韵佳麻辣香锅,黑龙江省齐齐哈尔市昂昂溪区府路宏顺嘉园北门斜对面友好委10组,黑龙江省,齐齐哈尔市,昂昂溪区,15846221133,unknown,
baidu,5dc44c6675fd706609b93ac6,一味源老菜馆(飞鹤茗苑店),黑龙江省齐齐哈尔市昂昂溪区新兴街道区府路83号,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,43bc502d473d9c1226d2bb96,汁道火锅(昂昂溪店),139号,黑龙江省,齐齐哈尔市,昂昂溪区,(0452)6332567,unknown,
baidu,59dcadbfd3d436b10bf5eb3b,马兰花拉面(兴盛路店),黑龙江省齐齐哈尔市昂昂溪区兴盛路兴盛小区,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,fea6868fb28d88493fe231f2,鑫福源烧烤城(庆华家园店),区府路庆华家园小区4号楼1层2室,黑龙江省,齐齐哈尔市,昂昂溪区,15764528775,unknown,
baidu,fecbdccb5fa82ffd8505bf19,营信刘罗锅铁锅炖(昂昂溪店),区府路225号宏顺小区1期北门东10米,黑龙江省,齐齐哈尔市,昂昂溪区,(0452)6215666,unknown,
baidu,d12da7acfea71701d42ce264,聚味兰州拉面馆,福田商服楼1-2层24室,黑龙江省,齐齐哈尔市,昂昂溪区,15663325959,unknown,
baidu,c9169ceae767645bdb1318cb,罗西亚大街肉枣·红肠,齐齐哈尔市昂昂溪区振兴路陶然居东北侧,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,b7b56f288e9b54a0c909f0a5,金火手拉面(庆华家园店),庆华家园小区3号楼1单元3室,黑龙江省,齐齐哈尔市,昂昂溪区,15344611988,unknown,
baidu,b249852007c68bbc21026273,乡情小农庄小吃,黑龙江省齐齐哈尔市昂昂溪区齐齐哈尔市第十一中学西南门西140米,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,2c212d654df50ade9868b49c,鑫福隆砂锅居,区府路115号,黑龙江省,齐齐哈尔市,昂昂溪区,13904623348,unknown,
baidu,00eb6cd46099ee0db64f54ea,君味包子铺,长兴街兴盛小区对面,黑龙江省,齐齐哈尔市,昂昂溪区,13945287093,unknown,
baidu,72200a91b75df88d1f3894fb,驴肉蒸饺(区府路店),区府路325号,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,fbcb8ed9f316bb5c882fb568,小颖面馆,铁南街庆华小区16号楼10门,黑龙江省,齐齐哈尔市,昂昂溪区,13846271321,unknown,
baidu,48e6aadd6c19825f21f01702,金梦缘烧烤,齐齐哈尔市昂昂溪区铁北街齐齐哈尔农商银行(桥头分理处)南侧约60米,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,c3bc7ef1f3397c58451a3292,锦阳川天椒麻辣烫(昂昂溪店),兴盛路235号川天椒麻辣烫,黑龙江省,齐齐哈尔市,昂昂溪区,15636229832,unknown,
baidu,c98d9a5684d9d7043517dc93,米乐披萨小屋,友好委9组2楼,黑龙江省,齐齐哈尔市,昂昂溪区,15002431772,unknown,
baidu,56adf6403fc9173db64f5434,大尧手工炸串,新兴街道市场委(交通局住宅楼1层5室),黑龙江省,齐齐哈尔市,昂昂溪区,17745203321,unknown,
baidu,d4fabbf405336aaf3fe231c4,老渔村铁锅炖,齐齐哈尔市昂昂溪区兴盛路陶然居,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,f2391f420075a992fbdc850a,小盘菜手拉面烧烤串,齐齐哈尔市昂昂溪区兴盛路陶然居西侧约50米,黑龙江省,齐齐哈尔市,昂昂溪区,13763598809,unknown,
baidu,c6c9afdf435c7f086140a972,老汇宾包子铺(宏顺嘉园店),宏顺嘉园7号楼3单元3室,黑龙江省,齐齐哈尔市,昂昂溪区,18745250909,unknown,
baidu,260efd9ea524d4dbd1f49e44,辣嘟嘟小渔馆,黑龙江省齐齐哈尔市昂昂溪区区府路70号,黑龙江省,齐齐哈尔市,昂昂溪区,16646250111,unknown,
baidu,775ae2441d14f21814948e7b,金夜醉美海鲜烧烤(文化小区店),区府路文化小区10号楼1层1室,黑龙江省,齐齐哈尔市,昂昂溪区,13069737779,unknown,
baidu,ceb04d157936225a3617dc89,杨国福麻辣烫(昂昂溪店),农贸市场,黑龙江省,齐齐哈尔市,昂昂溪区,"15845209630,15845210799",unknown,
baidu,e885c36c01ed1bafad080fdb,敬和轩素食坊,齐齐哈尔市昂昂溪区兴盛路陶然居南侧约30米,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,df3bf74a69f32183901fc976,红星馒头店,黑龙江省齐齐哈尔市昂昂溪区新兴街道陶然居二期15号楼,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,2d8208f0dd99c168a3acc424,艾米林那(昂昂溪店),新立委铁南商服2号楼15室,黑龙江省,齐齐哈尔市,昂昂溪区,(0452)6328757,unknown,
baidu,9b14e76c7f34e31f931fc998,馋猫快餐,农行住宅楼2单元101室,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,51ffe353fba31eb058109303,华悦过桥米线,庆华小区24号楼一层十室,黑龙江省,齐齐哈尔市,昂昂溪区,13199628989,unknown,
baidu,0168b74fd336343982288a9d,小巷鸡柳饭(区府路店),市场委1组1门,黑龙江省,齐齐哈尔市,昂昂溪区,13766510835,unknown,
baidu,cca245d29e436165ddee8b32,百顺家常菜馆,长兴街67号,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,6e46c6ced0ffd354b05c6a14,友家粥铺,新兴街道市场委(园丁2号楼1层5室),黑龙江省,齐齐哈尔市,昂昂溪区,15164640300,unknown,
baidu,8cc542c753b218f0fda77887,老财源熏鸡店(昂昂溪总店),黑龙江省齐齐哈尔市昂昂溪区新建街道铁南街124号,黑龙江省,齐齐哈尔市,昂昂溪区,15164672000,unknown,
baidu,79601535446ab6928bdb73bb,小螺号烧烤店(庆华家园店),庆华家园21号楼1层16室,黑龙江省,齐齐哈尔市,昂昂溪区,15164634118,unknown,
baidu,900486905dcdb9241811d514,旺德福蛋糕西饼屋,长兴街110号,黑龙江省,齐齐哈尔市,昂昂溪区,(0452)6328989,unknown,
baidu,17313091113b764e9c09f7e3,德洲刘老四扒鸡店,长兴街园丁2号楼,黑龙江省,齐齐哈尔市,昂昂溪区,(0452)6320477,unknown,
baidu,7b6ab2524602cd063ce231dd,沈膳坊原汁臭豆腐,长兴街122号,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,31654f9f32fc4a529cec2b8c,万玲烧烤(庆华家园店),丰源路204号附近,黑龙江省,齐齐哈尔市,昂昂溪区,13766576229,unknown,
baidu,953582e99d6c6e759868b45a,汤火功夫骨汤麻辣烫(铁南街店),铁南商服4号楼1-2层13室,黑龙江省,齐齐哈尔市,昂昂溪区,13634843969,unknown,
baidu,cbfb9b2dfa2338a975e5b63b,孙记熏酱手擀面(兴盛小区店),齐齐哈尔市昂昂溪区兴盛路兴盛小区(兴盛路),黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,9ce843a655eb3548ad31e531,飞飞蛋糕店,黑龙江省齐齐哈尔市昂昂溪区庆华购物中心市场飞飞蛋糕店,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,9a73242aed15635b8bdb733d,玉春小吃(同德路店),黑龙江省齐齐哈尔市昂昂溪区长兴街159号,黑龙江省,齐齐哈尔市,昂昂溪区,(0452)6323850,unknown,
baidu,e11c916804de6f5e8a2fb576,奇舰火锅店,新建街道中心委(铁南商服3号楼1-2层21室),黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,8e89d9df9053775f15a190fe,文哥麻辣鸭脖,政府3号楼1层10室,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,52364eebcb945bc000ff2d3b,特色大片肉,黑龙江省齐齐哈尔市昂昂溪区长兴街40,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,73a91a28c8871a5cd42ce2eb,依面缘拉面馆,黑龙江省齐齐哈尔市昂昂溪区区府路240号新兴委兴盛小区2单元101室,黑龙江省,齐齐哈尔市,昂昂溪区,13384523669,unknown,
baidu,6c3d90a9d27e49a46c3e1bd6,铜锅涮肉,齐齐哈尔市昂昂溪区区府路庆华家园,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,05cdf6ab2ed2b40e16c90590,万利达(长兴街店),长兴街市场委2组,黑龙江省,齐齐哈尔市,昂昂溪区,15946232347,unknown,
baidu,8086d57a7c1aefcdb11e36d7,惠客真槽子糕,黑龙江省齐齐哈尔市昂昂溪区铁南街铁南商服13号,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,19a9b0143505d26c08ccdd3b,特色大肉串,齐齐哈尔市昂昂溪区铁南街文化小区东南侧,黑龙江省,齐齐哈尔市,昂昂溪区,(0452)6324442,unknown,
baidu,febb062aa023e3ec2cb96ddb,马小浩烧饼店,新立委(铁男商服2楼1-2层9室),黑龙江省,齐齐哈尔市,昂昂溪区,15304825805,unknown,
baidu,4b11cd1e1a09d0739ee321b9,骨里香香吧佬熟食城,黑龙江省齐齐哈尔市昂昂溪区新建街道铁南商服一号楼21室,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,1da998fbff80dfbf715e8002,柏亿面馆,庆华小区23号楼1层3室,黑龙江省,齐齐哈尔市,昂昂溪区,13634849226,unknown,
baidu,9fc81f2c517492e26240a9f3,小鲜羊木炭铜锅(文化小区店),区府路文化小区10号楼,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,ba704f0e88fb0d55f4231089,李记狗肉馆,黑龙江省齐齐哈尔市昂昂溪区G232(区府路),黑龙江省,齐齐哈尔市,昂昂溪区,15084586026,unknown,
baidu,44582e7cb2cf58b35abbbc13,人和轩熟食店,齐齐哈尔市昂昂溪区长兴街庆华购物中心,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,096e7cba7a0eeb41daeced5c,胖胖现炒现卖,齐齐哈尔市昂昂溪区铁南街庆华家园东侧,黑龙江省,齐齐哈尔市,昂昂溪区,15845601653,unknown,
baidu,75684076c06e1ea2c5f50d7a,西安开花大馒头(富区分店),黑龙江省齐齐哈尔市昂昂溪区庆华家园13号楼1单元7门市,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,e852c505e4c4bcb1f5c59c95,红艳小锅炖,齐齐哈尔市昂昂溪区丰源路昂昂溪客运站西北侧约120米,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,977f72d71c83c6a45b1093db,孙记粗粮小馆,齐齐哈尔市昂昂溪区区府路庆华家园,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,e77e306a81b9d64646572698,嘉味私厨,齐齐哈尔市昂昂溪区丰源路宏顺嘉园西南侧约40米,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,9d46b4f3c18e8069cd04efd5,玉荣主食店,齐齐哈尔市昂昂溪区丰源路齐齐哈尔市昂昂溪区第一小学校东南侧约90米,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,dc0d7c3d8c289090eaf853a9,鑫隆家常菜馆,黑龙江省齐齐哈尔市昂昂溪区铁南街149号,黑龙江省,齐齐哈尔市,昂昂溪区,(0452)6321904,unknown,
baidu,80bb022f72f76f61d5851f32,卤家熏鸡鸡骨架,齐齐哈尔市昂昂溪区铁南街齐齐哈尔市昂昂溪区第一小学校西北侧,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,b90dda1e93500c5f5cbe86f7,全来顺馅饼,齐齐哈尔市昂昂溪区丰源路庆华家园东南侧约90米,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,603e166a78728dbb5d17c3ae,馨月斋小吃,黑龙江省齐齐哈尔市昂昂溪区长兴街38号宏顺二期1号楼,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,18ab5da339e250d7db13184f,添添好卤熟食店,黑龙江省齐齐哈尔市昂昂溪区新建街道铁南街8号铁南商服1号楼1-2层8室,黑龙江省,齐齐哈尔市,昂昂溪区,13136638281,unknown,
baidu,3c9f14165219ee5e16a19041,鑫乐园饺子馆(庆华家园店),区府路文化小区,黑龙江省,齐齐哈尔市,昂昂溪区,13298713818,unknown,
baidu,e50e5b1fdd941a5e0f0a703c,龙安小吃,齐齐哈尔市昂昂溪区庆华家园3号楼,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,53a604761765ad571e580029,惠龙小吃(庆华家园店),黑龙江省齐齐哈尔市昂昂溪区新建街道G232(区府路),黑龙江省,齐齐哈尔市,昂昂溪区,13763599477,unknown,
baidu,5fef25f66afdb0e0593ac8fd,超越食堂,齐齐哈尔市昂昂溪区长兴街昂昂溪客运站西侧约80米,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,3dcac8261ecfdbe88a36ee5d,不一样(浩源·欧洲假日店),齐齐哈尔市昂昂溪区铁南街庆华家园南侧约90米,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,e430ca5dd2f4789bc909f088,大菊烧饼,铁南街齐齐哈尔市昂昂溪区第一小学校南侧约60米,黑龙江省,齐齐哈尔市,昂昂溪区,18204650727,unknown,
baidu,259eea5403d590ea9f09f730,旺福园小吃,黑龙江省齐齐哈尔市昂昂溪区庆华家园15号楼1层8室,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,1995d77eb8bb1c7973210ba5,利源烧饼店,铁南街147号附近,黑龙江省,齐齐哈尔市,昂昂溪区,15164636431,unknown,
baidu,613d94f4edeb220c9e9d6827,森哥快餐,铁南街与丰源路交叉口东北20米,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,01308275c2c5d027d92f2810,娜娜牛肉板面馆,区府路宏顺嘉园北门嘉华超市东走80米,黑龙江省,齐齐哈尔市,昂昂溪区,15146658606,unknown,
baidu,f664005c3670231102897206,琉璃猫蛋糕店,政府3号楼1层7室,黑龙江省,齐齐哈尔市,昂昂溪区,18946204630,unknown,
baidu,5ce2637dea60922cae31e576,庆华购物中心,长兴街5号,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,273924cf2da4c15fda2f2878,荣金园超市(陶然居店),齐齐哈尔市昂昂溪区振兴路陶然居,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,d5a1059135c8bd2ad8eced3b,蕊瑞食品超市,齐齐哈尔市昂昂溪区兴盛路陶然居南侧,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,9cfc608a978f67b97adbd27e,鑫乐佳仓卖超市,齐齐哈尔市昂昂溪区长兴街第十一中学南侧约100米,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,194f0bb7100e583671210bbf,可可超市,黑龙江省齐齐哈尔市昂昂溪区东胜街飞鹤名苑3号楼,黑龙江省,齐齐哈尔市,昂昂溪区,,unknown,
baidu,6ca524e1457de96e96f08cfb,金帝超市(昂昂溪店),齐齐哈尔市昂昂溪区丰源路庆华家园东南侧约40米,黑龙江省,齐齐哈尔市,昂昂溪区,0452-6323789,unknown,
