FID,label,node_start,node_end
0,0,0,1
1,0,0,2
2,1,1,3
3,1,3,4
4,1,4,10
5,1,5,6
6,0,5,12
7,0,5,21
8,1,6,7
9,1,6,8
10,1,7,12
11,1,8,9
12,0,8,15
13,1,10,11
14,1,10,18
15,0,10,19
16,1,12,13
17,1,13,14
18,0,13,16
19,1,13,17
20,1,15,25
21,1,15,33
22,0,16,19
23,0,16,29
24,0,17,35
25,0,17,39
26,0,18,28
27,0,19,28
28,1,20,21
29,0,20,22
30,1,21,23
31,1,22,23
32,0,22,25
33,1,23,24
34,1,24,26
35,1,24,27
36,0,25,30
37,1,26,36
38,0,27,31
39,0,27,32
40,0,28,29
41,0,29,34
42,0,30,32
43,0,30,57
44,0,31,36
45,0,31,43
46,1,32,45
47,1,33,46
48,1,33,47
49,1,34,37
50,0,34,38
51,1,35,36
52,1,36,44
53,1,38,40
54,1,38,39
55,1,38,53
56,1,39,42
57,0,40,41
58,0,41,53
59,0,41,56
60,1,42,44
61,0,42,48
62,0,43,45
63,0,43,52
64,0,43,54
65,1,44,52
66,1,45,51
67,0,46,60
68,0,46,61
69,1,47,62
70,0,48,63
71,0,48,64
72,0,49,50
73,0,49,58
74,0,49,59
75,0,51,94
76,1,51,97
77,0,52,54
78,1,53,55
79,0,54,71
80,1,55,63
81,1,55,88
82,1,55,83
83,0,56,80
84,0,57,82
85,0,57,72
86,0,58,76
87,0,58,79
88,0,59,78
89,0,59,79
90,0,60,72
91,1,60,73
92,0,61,70
93,1,62,81
94,1,62,73
95,1,63,83
96,0,65,66
97,0,65,67
98,1,67,90
99,0,67,91
100,1,67,92
101,0,68,69
102,1,68,97
103,0,68,90
104,1,68,98
105,1,70,114
106,1,70,115
107,0,71,74
108,0,71,127
109,0,71,131
110,0,72,86
111,0,72,87
112,0,73,89
113,0,74,75
114,0,74,112
115,0,76,77
116,0,76,93
117,0,78,79
118,0,78,112
119,1,80,99
120,0,80,104
121,0,81,89
122,0,82,86
123,1,83,117
124,0,84,85
125,0,84,103
126,0,84,105
127,0,86,96
128,1,87,92
129,0,87,115
130,1,87,96
131,1,88,99
132,0,88,100
133,1,91,119
134,1,91,120
135,0,93,102
136,0,93,103
137,0,94,95
138,0,95,97
