source,bd_uid,name,address,province,city,area,tel,poi_type,tag
baidu,327570e7ee3df3525cd4fed6,吉祥餐馆(灯福街店),灯福街142号,福建省,泉州市,丰泽区,15859508771,unknown,
baidu,3b8aa8920ff005d0a0acc42c,皇叔家漳州四果汤(泉州市电业局大厦店),丰泽街道丰迎路13号(津淮街西街南侧),福建省,泉州市,丰泽区,18876338660,unknown,
baidu,308060b029682d993f9a5e77,老兵饭店(泉秀店),泉秀路615-1号,福建省,泉州市,丰泽区,(0595)22012219,unknown,
baidu,b703e96b3aea3fe38f1a8932,一心冰品(迎津街店),迎津街122号,福建省,泉州市,丰泽区,15392239265,unknown,
baidu,12a18e25974acce67369d31f,荟聚小酒馆,泉秀街与津坂路交叉口西140米,福建省,泉州市,丰泽区,,unknown,
baidu,e08684ddd5df8b8c82a12e68,圆宝台湾小吃(迎津街店),迎津街164-166号,福建省,泉州市,丰泽区,15159599788,unknown,
baidu,803708f1955600790189723d,龙梅饭店(六灌路店),津坂路128号（前坂商贸城2号楼17号店）,福建省,泉州市,丰泽区,13808549988,unknown,
baidu,5046578c537189ca1ef74ded,古茗(义全街店),义全街1-17号,福建省,泉州市,丰泽区,19905058780,unknown,
baidu,55fa2c0b5e6596341ce99918,香喷喷湘菜馆(六灌路店),津坂路126号,福建省,泉州市,丰泽区,(0595)22286298,unknown,
baidu,c08a4b16aae45acf4151c0ff,面头师(泉州温陵南路店),义全街1-19号,福建省,泉州市,丰泽区,15960834553,unknown,
baidu,8c413ff36f3c571c52e5c5aa,亮仔小龙虾(泉州前坂店),前坂路交通大队斜对面,福建省,泉州市,丰泽区,15059836680,unknown,
baidu,95561f952161ce9615c905e4,吴家小院(赣菜王第八分店),丰泽街道津坂路46号,福建省,泉州市,丰泽区,(0595)22889588,unknown,
baidu,e810edc385f7235251e5c593,景都大酒楼(景都店),泉秀路768景都大酒店2-4、8层,福建省,泉州市,丰泽区,"(0595)22570080,(0595)22570083",unknown,
baidu,8247f954ccacfe11d12dd6b5,陈小姐四果汤(泉州店),灯福街87号-8,福建省,泉州市,丰泽区,13506095443,unknown,
baidu,a098f09672798a8014948ea5,蜀美人(泉秀店),福建省泉州市丰泽区灯福街32号,福建省,泉州市,丰泽区,18259509429,unknown,
baidu,5210eb10096233845c17c31b,泮宫卤面(宝洲店),临江街道温陵南路3号,福建省,泉州市,丰泽区,18859956208,unknown,
baidu,ec94ce24b3a1dea5adee7a0c,k大叔滋补蒸鸡(泉州店),灯福街44号,福建省,泉州市,丰泽区,15160312625,unknown,
baidu,b3e2076aae48d5c5b726554c,肯德基(泉州大洋店),泉秀路与温陵路交叉口福华商厦大洋百货1层,福建省,泉州市,丰泽区,(0595)22990928,unknown,
baidu,686c237121c5c50f46e274c5,古蜀印象·集市火锅(丰泽店),泉秀街道华丰社区泉秀街615号3楼A区,福建省,泉州市,丰泽区,18016625303,unknown,
baidu,12b66f008e838aed97031907,奈雪的茶(泉州大洋百货店),温陵南路92号福华商业中心大厦一楼A2（奈雪的茶）,福建省,泉州市,丰泽区,18559577201,unknown,
baidu,1b67cd96338ea12aed74f8a6,辉哥烤鱼店,灯洲社区灯福街124号,福建省,泉州市,丰泽区,15959864188,unknown,
baidu,9f28390f3d1ba6212911d174,阿财烧烤店,灯福街127号,福建省,泉州市,丰泽区,13599992758,unknown,
baidu,59620d226ecbbd822b201a9d,华莱士·全鸡汉堡(127新城店),温陵南路新城大厦35-36号店,福建省,泉州市,丰泽区,(0595)22977762,unknown,
baidu,7fb0cf2145263cc6d4851f1c,贤记烧腊快餐(大洋店),义全街1-14号新城大厦1-14号,福建省,泉州市,丰泽区,18050861358,unknown,
baidu,24d05508743821b612882447,麦当劳(福华店),温陵南路福华商业中心一楼,福建省,泉州市,丰泽区,(0595)22569518,unknown,
baidu,2364df57ce32cfe5f90cad35,梁家快餐(沟后店),温陵南路2号巷43号,福建省,泉州市,丰泽区,15559517160,unknown,
baidu,d0bc4603e9dd87f888db73b6,明程大排档,福建省泉州市丰泽区泉秀街道灯福街146号,福建省,泉州市,丰泽区,13860715048,unknown,
baidu,7a67fc10694737b797ec8411,老渝记重庆小面(景都大酒店),泉秀街力达苑A幢05号,福建省,泉州市,丰泽区,,unknown,
baidu,6db7ca85a8a33cae86420e79,星巴克咖啡(泉州大洋百货分店),大洋百货地上一层1F-A01店铺,福建省,泉州市,丰泽区,(0595)65218596,unknown,
baidu,4671f20fc94a44971e5800bf,德化排骨饭(大洋百货店),泉秀街635号(路边小灶隔壁),福建省,泉州市,丰泽区,18659090600,unknown,
baidu,8023318d8ce38bf1843304c7,沙县小吃(旗舰店),泉秀街力达苑A幢06号,福建省,泉州市,丰泽区,"15959396097,18876263772",unknown,
