node_id_1,node_id_2,edge_id
0,537,0
0,781,1
1,699,2
1,11,3
2,169,4
2,954,5
2,165,6
3,483,7
3,252,8
3,104,9
4,673,10
4,889,11
4,825,12
5,191,13
5,50,14
5,686,15
6,234,16
6,489,17
8,592,18
9,752,19
9,531,20
10,115,21
10,589,22
10,626,23
11,612,24
11,133,25
11,1,26
12,198,27
12,118,28
13,381,29
13,14,30
14,904,31
14,368,32
15,585,33
15,577,34
15,939,35
16,197,36
16,167,37
16,49,38
17,19,39
17,18,40
17,109,41
17,622,42
18,17,43
18,217,44
18,619,45
19,17,46
19,88,47
19,842,48
20,829,49
20,22,50
20,21,51
21,866,52
21,20,53
22,827,54
22,551,55
22,828,56
23,821,57
23,24,58
24,639,59
24,23,60
24,819,61
25,586,62
25,212,63
25,26,64
26,588,65
26,593,66
27,28,67
28,223,68
28,138,69
28,29,70
29,570,71
29,207,72
29,28,73
29,31,74
30,48,75
30,547,76
30,46,77
31,158,78
31,315,79
31,29,80
32,345,81
32,33,82
32,590,83
33,311,84
33,766,85
33,32,86
34,139,87
34,270,88
34,37,89
34,35,90
35,224,91
35,34,92
35,282,93
36,138,94
36,207,95
36,926,96
37,946,97
37,34,98
38,343,99
38,348,100
38,367,101
39,43,102
40,41,103
41,43,104
41,343,105
41,40,106
42,43,107
43,39,108
43,41,109
43,44,110
43,42,111
44,43,112
44,336,113
45,44,114
45,938,115
45,46,116
46,375,117
46,552,118
46,30,119
47,190,120
47,724,121
47,48,122
48,726,123
48,53,124
48,30,125
48,47,126
49,168,127
49,222,128
50,5,129
50,6,130
50,193,131
51,517,132
51,713,133
52,53,134
52,544,135
52,190,136
52,732,137
53,52,138
53,245,139
53,48,140
54,218,141
54,756,142
54,750,143
54,248,144
55,552,145
55,30,146
56,205,147
56,240,148
56,58,149
57,78,150
57,805,151
57,809,152
57,791,153
58,809,154
58,79,155
58,56,156
59,673,157
59,823,158
59,907,159
60,948,160
60,869,161
61,339,162
61,130,163
62,157,164
62,351,165
62,315,166
63,157,167
63,948,168
63,918,169
63,917,170
64,882,171
64,884,172
64,202,173
65,616,174
65,541,175
65,71,176
65,72,177
66,145,178
66,580,179
66,120,180
67,297,181
67,66,182
68,201,183
68,870,184
69,774,185
69,595,186
69,550,187
70,352,188
70,61,189
71,882,190
71,70,191
71,74,192
71,65,193
72,540,194
72,74,195
72,65,196
72,257,197
73,144,198
73,911,199
74,72,200
74,215,201
74,71,202
75,614,203
75,77,204
77,76,205
77,123,206
77,125,207
78,183,208
78,57,209
78,79,210
79,247,211
80,727,212
80,546,213
80,82,214
81,224,215
81,379,216
82,217,217
82,80,218
83,860,219
84,209,220
84,86,221
85,667,222
86,84,223
