FID,label,node_start,node_end
0,0,0,1
1,0,0,2
2,0,1,18
3,0,2,82
4,1,2,114
5,0,2,24
6,0,3,4
7,0,4,5
8,0,4,6
9,0,5,39
10,0,6,39
11,0,6,82
12,1,7,8
13,1,7,9
14,1,8,18
15,1,8,65
16,1,9,12
17,1,9,13
18,1,9,14
19,0,10,11
20,0,10,63
21,1,10,64
22,1,12,26
23,1,12,143
24,0,13,25
25,0,15,16
26,0,15,25
27,1,15,55
28,0,15,31
29,1,16,16
30,1,16,17
31,1,17,31
32,1,17,32
33,1,18,24
34,1,19,20
35,0,19,78
36,0,19,107
37,0,19,91
38,1,20,21
39,0,21,91
40,0,21,83
41,0,22,23
42,0,23,27
43,0,23,28
44,0,24,119
45,1,24,120
46,0,25,26
47,0,26,55
48,0,27,104
49,0,27,46
50,0,28,46
51,1,28,47
52,0,29,30
53,0,29,48
54,0,29,49
55,1,31,79
56,1,31,40
57,1,31,41
58,1,32,40
59,1,32,41
60,1,32,42
61,1,33,34
62,0,33,35
63,0,34,66
64,0,34,35
65,0,35,83
66,1,36,37
67,1,36,38
68,0,37,45
69,1,37,100
70,1,37,101
71,1,38,69
72,0,38,101
73,0,38,38
74,1,40,41
75,0,41,84
76,1,41,85
77,1,41,86
78,0,42,58
79,0,42,59
80,1,43,44
81,1,43,96
82,1,43,144
83,0,43,145
84,1,43,89
85,1,44,45
86,0,45,88
87,0,45,89
88,1,46,109
89,1,47,50
90,1,47,51
91,0,47,52
92,0,50,109
93,1,50,173
94,1,50,182
95,1,51,173
96,1,51,182
97,1,51,189
98,0,51,190
99,1,52,72
100,0,52,73
101,1,53,54
102,0,54,56
103,0,54,57
104,1,55,105
105,0,57,68
106,1,57,69
107,0,58,84
108,1,58,99
109,1,58,80
110,1,59,67
111,0,60,61
112,1,60,754
113,1,60,755
114,1,61,62
115,0,62,88
116,1,62,313
117,0,64,74
118,1,64,121
119,0,65,120
120,1,65,143
121,1,67,75
122,1,67,76
123,1,70,71
124,1,72,141
125,1,72,142
126,1,73,92
127,1,73,93
128,0,76,80
129,0,76,81
130,0,77,78
131,0,78,81
132,0,78,90
133,0,79,105
134,1,79,106
135,0,80,87
136,1,81,87
137,1,82,95
138,1,82,93
