node_id_1,node_id_2,edge_id
0,83,0
0,6,1
1,32,2
2,229,3
2,89,4
2,21,5
3,20,6
3,178,7
4,87,8
4,236,9
5,49,10
5,45,11
6,101,12
6,199,13
6,4,14
7,123,15
7,70,16
8,118,17
8,20,18
9,155,19
9,101,20
9,251,21
10,119,22
10,8,23
11,147,24
11,197,25
11,203,26
11,235,27
12,17,28
12,207,29
12,135,30
13,10,31
13,106,32
13,16,33
14,18,34
14,16,35
14,183,36
15,16,37
15,135,38
15,239,39
16,14,40
16,13,41
16,15,42
17,31,43
17,128,44
17,206,45
18,14,46
18,185,47
18,184,48
19,234,49
19,231,50
19,100,51
20,3,52
20,194,53
21,196,54
21,86,55
22,23,56
23,86,57
23,22,58
23,25,59
24,147,60
24,98,61
25,98,62
25,23,63
26,172,64
26,148,65
26,173,66
26,84,67
27,148,68
27,153,69
28,95,70
28,61,71
28,163,72
29,149,73
29,151,74
29,150,75
30,190,76
31,131,77
31,205,78
31,142,79
32,138,80
32,112,81
33,34,82
33,108,83
34,35,84
34,80,85
35,34,86
35,118,87
35,111,88
36,110,89
36,187,90
37,127,91
38,72,92
39,46,93
39,5,94
40,126,95
41,126,96
41,42,97
42,46,98
43,38,99
43,45,100
44,88,101
44,56,102
45,41,103
46,195,104
47,40,105
47,69,106
48,43,107
48,5,108
49,44,109
50,51,110
50,52,111
50,73,112
51,246,113
51,50,114
51,242,115
52,246,116
52,50,117
53,55,118
53,55,119
53,57,120
54,55,121
55,54,122
55,53,123
55,53,124
56,58,125
56,79,126
57,60,127
57,60,128
57,53,129
58,59,130
58,56,131
58,60,132
59,58,133
60,58,134
60,57,135
60,57,136
61,92,137
61,116,138
61,64,139
62,66,140
63,65,141
63,160,142
63,64,143
64,63,144
64,61,145
64,161,146
65,63,147
66,62,148
66,160,149
66,69,150
67,68,151
68,170,152
68,67,153
69,68,154
69,66,155
70,77,156
70,121,157
71,75,158
72,130,159
72,94,160
73,50,161
73,195,162
74,117,163
74,243,164
75,71,165
75,121,166
75,78,167
76,120,168
76,78,169
76,78,170
77,120,171
77,146,172
78,76,173
78,76,174
78,75,175
79,97,176
80,141,177
80,34,178
81,107,179
81,141,180
82,146,181
82,107,182
83,99,183
83,249,184
84,26,185
85,151,186
86,21,187
86,23,188
86,89,189
87,192,190
87,103,191
88,91,192
89,2,193
89,212,194
90,40,195
90,42,196
91,116,197
91,92,198
92,61,199
92,149,200
92,95,201
93,148,202
93,174,203
94,72,204
94,245,205
94,90,206
95,28,207
95,149,208
95,93,209
96,98,210
96,0,211
97,79,212
97,88,213
98,24,214
98,25,215
98,86,216
99,96,217
99,84,218
100,205,219
100,228,220
100,144,221
100,19,222
101,9,223
101,6,224
101,252,225
102,187,226
102,110,227
103,115,228
103,241,229
104,36,230
104,111,231
105,117,232
105,122,233
106,13,234
106,189,235
107,81,236
107,82,237
107,102,238
108,7,239
109,1,240
110,105,241
111,139,242
112,114,243
112,118,244
113,7,245
113,104,246
114,1,247
114,193,248
115,4,249
115,152,250
116,44,251
116,47,252
117,10,253
117,106,254
118,35,255
118,8,256
118,119,257
119,105,258
119,81,259
120,76,260
120,77,261
120,121,262
121,70,263
121,75,264
121,123,265
122,37,266
122,124,267
123,124,268
123,37,269
124,113,270
125,74,271
125,122,272
126,125,273
127,49,274
127,39,275
128,17,276
128,135,277
128,185,278
129,134,279
129,130,280
129,167,281
130,115,282
130,129,283
131,186,284
131,31,285
131,128,286
132,169,287
132,155,288
132,163,289
133,170,290
133,137,291
133,165,292
134,129,293
134,169,294
134,152,295
134,168,296
135,238,297
135,12,298
135,15,299
136,222,300
136,165,301
136,159,302
137,165,303
137,133,304
137,167,305
138,139,306
138,33,307
139,112,308
139,138,309
139,140,310
140,139,311
141,81,312
141,80,313
142,213,314
142,143,315
143,131,316
143,142,317
143,145,318
144,100,319
144,209,320
144,213,321
145,143,322
145,182,323
146,77,324
146,82,325
147,0,326
147,11,327
148,26,328
148,27,329
148,99,330
149,29,331
149,95,332
149,92,333
150,171,334
150,29,335
151,91,336
151,29,337
152,156,338
152,134,339
153,28,340
153,154,341
154,153,342
154,155,343
154,250,344
155,9,345
155,154,346
155,156,347
155,132,348
156,101,349
156,155,350
157,223,351
157,222,352
157,164,353
158,159,354
158,221,355
158,160,356
159,158,357
159,136,358
159,164,359
160,66,360
160,63,361
160,158,362
161,221,363
161,162,364
161,64,365
162,163,366
162,220,367
162,161,368
163,28,369
163,132,370
163,162,371
164,220,372
164,157,373
164,159,374
165,137,375
165,136,376
165,133,377
166,168,378
166,223,379
166,224,380
167,224,381
167,137,382
167,129,383
168,166,384
168,134,385
168,219,386
169,132,387
169,134,388
169,219,389
170,133,390
170,38,391
171,174,392
171,150,393
171,172,394
172,26,395
172,171,396
173,26,397
174,171,398
174,175,399
174,93,400
175,174,401
176,186,402
176,179,403
177,176,404
177,179,405
178,3,406
178,181,407
179,182,408
180,178,409
180,181,410
181,183,411
182,180,412
182,145,413
183,184,414
183,14,415
184,177,416
184,18,417
185,186,418
185,18,419
185,128,420
186,176,421
186,131,422
186,185,423
187,108,424
188,189,425
188,190,426
188,240,427
189,103,428
189,192,429
189,188,430
190,30,431
190,188,432
190,191,433
191,243,434
191,245,435
191,190,436
192,13,437
192,189,438
192,239,439
193,194,440
194,114,441
194,193,442
195,51,443
195,73,444
196,24,445
196,226,446
197,231,447
197,11,448
197,226,449
197,233,450
198,199,451
199,203,452
199,6,453
199,198,454
200,207,455
200,232,456
200,202,457
201,232,458
201,235,459
201,202,460
202,201,461
202,203,462
202,200,463
203,11,464
203,199,465
203,202,466
204,237,467
205,31,468
205,100,469
205,206,470
205,213,471
206,17,472
206,205,473
206,230,474
206,234,475
207,12,476
207,200,477
207,230,478
207,237,479
208,228,480
208,210,481
208,209,482
209,144,483
209,208,484
210,208,485
210,229,486
210,211,487
211,2,488
211,212,489
211,210,490
212,211,491
213,142,492
213,144,493
213,205,494
