node_id_1,node_id_2,edge_id
0,25,0
0,356,1
0,114,2
1,378,3
1,420,4
2,3,5
2,109,6
3,370,7
3,108,8
4,49,9
4,150,10
4,143,11
4,338,12
5,149,13
5,47,14
5,150,15
6,436,16
6,438,17
6,89,18
7,394,19
7,398,20
7,444,21
7,75,22
8,90,23
8,110,24
9,353,25
9,369,26
9,318,27
10,64,28
10,32,29
10,418,30
11,328,31
11,102,32
11,53,33
12,362,34
12,23,35
13,368,36
13,14,37
14,347,38
15,308,39
15,35,40
16,69,41
16,23,42
17,386,43
17,397,44
18,46,45
18,360,46
18,326,47
19,141,48
19,389,49
20,173,50
20,377,51
21,381,52
21,114,53
21,319,54
22,12,55
22,15,56
23,65,57
23,67,58
24,126,59
24,125,60
24,26,61
25,419,62
25,0,63
26,393,64
26,11,65
27,325,66
27,64,67
28,381,68
28,318,69
28,358,70
29,30,71
29,92,72
29,70,73
30,402,74
30,31,75
30,29,76
31,440,77
31,441,78
31,30,79
32,35,80
32,424,81
33,140,82
33,61,83
34,388,84
34,209,85
35,27,86
36,58,87
36,69,88
36,48,89
37,58,90
37,429,91
37,423,92
38,48,93
38,47,94
38,57,95
39,307,96
39,434,97
39,490,98
40,435,99
40,143,100
40,148,101
41,45,102
41,435,103
41,42,104
42,66,105
42,41,106
42,155,107
43,66,108
43,413,109
43,312,110
44,50,111
45,154,112
45,41,113
45,457,114
46,18,115
46,387,116
46,482,117
47,38,118
47,5,119
47,337,120
48,36,121
48,38,122
48,336,123
49,4,124
49,146,125
49,77,126
49,339,127
50,155,128
50,44,129
50,147,130
51,154,131
51,149,132
51,158,133
52,53,134
52,374,135
52,102,136
53,52,137
53,333,138
53,350,139
53,11,140
54,365,141
54,2,142
55,56,143
55,349,144
55,333,145
56,55,146
56,365,147
56,332,148
56,344,149
57,430,150
57,38,151
57,58,152
58,36,153
58,37,154
58,57,155
59,311,156
59,60,157
60,59,158
60,330,159
60,71,160
61,388,161
61,34,162
61,173,163
62,136,164
63,411,165
63,136,166
64,327,167
64,10,168
65,159,169
65,22,170
66,43,171
66,42,172
66,470,173
67,426,174
68,418,175
68,323,176
68,492,177
69,16,178
69,36,179
69,335,180
70,404,181
70,29,182
70,103,183
71,334,184
71,60,185
72,73,186
72,91,187
72,74,188
73,75,189
73,72,190
73,74,191
74,75,192
74,73,193
74,321,194
74,72,195
75,73,196
75,7,197
75,74,198
76,377,199
76,409,200
76,382,201
77,49,202
78,79,203
79,80,204
80,79,205
80,335,206
81,458,207
81,447,208
82,76,209
82,84,210
83,84,211
83,359,212
83,85,213
84,83,214
84,346,215
84,82,216
85,98,217
85,345,218
85,83,219
86,345,220
86,99,221
86,87,222
87,93,223
87,89,224
87,86,225
88,171,226
89,87,227
89,6,228
89,346,229
90,447,230
90,8,231
90,374,232
91,458,233
91,391,234
91,379,235
91,72,236
92,29,237
92,416,238
92,346,239
93,100,240
93,87,241
93,94,242
94,101,243
94,436,244
94,95,245
94,93,246
95,94,247
96,408,248
97,408,249
97,329,250
97,393,251
98,85,252
98,324,253
98,359,254
99,86,255
99,100,256
99,324,257
100,408,258
100,93,259
100,101,260
100,99,261
101,94,262
101,100,263
101,328,264
101,437,265
102,52,266
102,437,267
102,11,268
103,70,269
104,461,270
104,444,271
104,105,272
105,134,273
105,104,274
105,459,275
106,214,276
106,285,277
106,310,278
107,286,279
108,395,280
108,109,281
108,3,282
109,449,283
109,112,284
109,2,285
109,108,286
110,334,287
110,8,288
111,113,289
111,371,290
112,109,291
113,354,292
113,111,293
114,21,294
114,351,295
114,0,296
115,392,297
115,349,298
115,350,299
116,117,300
116,369,301
116,392,302
117,122,303
117,119,304
117,116,305
118,120,306
119,392,307
119,117,308
119,122,309
120,125,310
120,118,311
121,348,312
122,123,313
122,117,314
123,122,315
124,348,316
124,308,317
125,124,318
125,390,319
125,24,320
126,24,321
127,134,322
127,300,323
128,293,324
128,389,325
128,130,326
129,135,327
129,130,328
129,462,329
130,129,330
130,135,331
130,128,332
131,133,333
131,462,334
131,459,335
132,296,336
132,300,337
132,301,338
133,135,339
133,131,340
133,134,341
134,127,342
134,105,343
134,133,344
135,133,345
135,129,346
135,130,347
136,62,348
136,161,349
136,63,350
137,161,351
138,139,352
138,422,353
139,138,354
139,406,355
140,33,356
140,461,357
140,389,358
141,294,359
141,421,360
142,294,361
142,293,362
142,293,363
143,146,364
143,4,365
