FID,label,node_start,node_end
0,0,0,1
1,0,0,2
2,0,0,8
3,0,0,9
4,1,3,4
5,1,4,5
6,0,5,9
7,1,5,14
8,0,6,7
9,0,6,15
10,0,6,19
11,0,8,44
12,1,8,23
13,0,9,23
14,1,9,24
15,1,10,11
16,0,10,12
17,0,11,51
18,0,12,13
19,0,13,75
20,0,13,82
21,0,13,83
22,0,14,25
23,0,16,17
24,0,16,18
25,1,17,17
26,0,17,81
27,1,18,48
28,1,18,49
29,1,20,21
30,1,20,39
31,1,20,50
32,1,20,51
33,0,21,22
34,0,22,27
35,1,23,52
36,1,24,45
37,0,24,46
38,0,25,26
39,1,25,39
40,1,25,40
41,1,27,38
42,0,28,29
43,1,28,49
44,0,28,67
45,0,28,31
46,0,29,30
47,0,30,31
48,0,30,32
49,0,31,68
50,1,32,33
51,0,32,42
52,0,32,43
53,0,33,34
54,0,34,37
55,0,35,36
56,0,37,41
57,0,40,47
58,1,41,74
59,0,41,80
60,0,42,116
61,0,42,136
62,0,42,138
63,0,43,62
64,0,43,63
65,1,44,89
66,0,45,52
67,1,45,109
68,1,45,53
69,0,46,53
70,0,46,47
71,0,47,56
72,1,48,81
73,1,48,57
74,1,49,57
75,0,50,56
76,1,50,61
77,1,51,64
78,0,52,107
79,0,53,111
80,0,53,103
81,1,54,55
82,0,56,58
83,1,57,84
84,0,58,102
85,0,58,71
86,0,58,104
87,0,59,59
88,1,59,60
89,0,60,63
90,1,60,70
91,1,61,71
92,1,61,64
93,0,62,69
94,0,62,66
95,0,63,65
96,0,63,66
97,1,64,75
98,0,65,66
99,0,65,69
100,0,67,84
101,0,67,92
102,0,68,92
103,0,68,116
104,0,69,77
105,0,70,76
106,1,71,112
107,1,72,73
108,0,72,100
109,1,73,74
110,1,74,76
111,0,75,78
112,0,75,79
113,0,76,101
114,0,79,110
115,0,79,113
116,0,79,129
117,0,79,137
118,1,81,94
119,0,82,110
120,0,82,118
121,1,82,87
122,1,83,86
123,1,83,87
124,1,83,88
125,0,84,85
126,1,85,121
127,1,85,115
128,1,86,119
129,1,86,120
130,1,87,119
131,1,87,96
132,1,88,93
133,0,89,114
134,1,90,91
135,1,92,115
136,1,93,94
137,0,93,95
138,0,93,96
