FID,label,node_start,node_end
0,1,0,1
1,1,1,2
2,1,1,3
3,1,3,48
4,1,3,49
5,1,4,5
6,1,4,6
7,0,7,8
8,0,7,9
9,0,7,10
10,0,8,11
11,1,8,52
12,1,8,14
13,0,9,11
14,1,10,14
15,1,10,15
16,1,10,16
17,1,11,24
18,0,11,49
19,1,12,13
20,0,12,50
21,0,12,53
22,1,14,52
23,0,14,55
24,0,14,58
25,1,15,19
26,1,15,20
27,1,16,58
28,1,16,69
29,0,17,18
30,0,19,30
31,0,19,22
32,0,20,21
33,0,20,22
34,0,21,33
35,0,21,34
36,1,22,45
37,1,23,24
38,1,25,26
39,1,25,27
40,0,26,42
41,1,26,100
42,1,26,101
43,1,27,46
44,0,27,47
45,0,28,29
46,0,31,32
47,0,33,37
48,1,33,38
49,0,34,93
50,1,34,71
51,0,34,121
52,0,35,36
53,0,37,39
54,0,38,39
55,0,38,93
56,0,38,94
57,1,39,65
58,1,40,41
59,0,40,42
60,1,41,65
61,0,41,63
62,1,42,63
63,0,43,44
64,0,45,69
65,0,45,71
66,0,46,101
67,1,46,105
68,0,47,80
69,0,47,81
70,0,48,50
71,1,48,49
72,1,49,51
73,0,49,52
74,0,50,51
75,0,51,53
76,1,51,57
77,1,51,54
78,1,52,54
79,0,52,55
80,1,53,56
81,1,53,57
82,0,54,61
83,1,54,62
84,1,55,62
85,0,55,64
86,0,56,78
87,1,57,66
88,1,57,61
89,0,58,72
90,0,59,60
91,0,61,70
92,0,61,67
93,0,62,67
94,1,62,68
95,1,63,104
96,0,64,72
97,1,64,84
98,1,64,85
99,1,65,103
100,1,65,104
101,0,66,89
102,1,66,86
103,0,67,75
104,0,68,75
105,1,68,90
106,1,69,76
107,1,69,77
108,0,70,75
109,1,70,86
110,1,71,137
111,1,71,135
112,1,71,130
113,1,72,79
114,0,72,82
115,0,73,74
116,1,75,83
117,1,76,79
118,1,76,77
119,1,77,102
120,0,78,89
121,1,79,82
122,0,80,120
123,1,80,119
124,0,80,129
125,0,81,108
126,0,81,109
127,1,82,96
128,0,83,87
129,1,83,88
130,1,84,139
131,0,84,90
132,1,85,136
133,1,85,141
134,0,86,95
135,1,88,90
136,1,88,149
137,1,88,150
138,0,89,89
