source,bd_uid,name,address,province,city,area,tel,poi_type,tag
baidu,2478f890a390482e0b1cc757,汉口水塔美食街,水塔街道前进五路与中山大道交叉口西侧,湖北省,武汉市,江汉区,"(027)82836638,15927413814",unknown,
baidu,2c2de1998fa0d78596ca073b,严记聚珍园·湖北菜·老武汉藕汤(江汉路一店),统一街295号附3,湖北省,武汉市,江汉区,(027)82859299,unknown,
baidu,6eb5dc423ad537a6a5da3951,吴长子卤菜馆(统一街店),民权街街道统一街洪益巷108号(近武汉关小学),湖北省,武汉市,江汉区,18986272087,unknown,
baidu,4104e672dcd91ea028b97c23,刘二菜馆(江汉路店),小江家院西门旁(江汉路地铁站G口步行380米),湖北省,武汉市,江汉区,13871420887,unknown,
baidu,165aa60e681341609d82eac6,冷记卤品(花楼街店),花楼街146号,湖北省,武汉市,江汉区,13517288390,unknown,
baidu,0123c7eca04c6f48990050ac,正宗北京片皮烤鸭(花楼街店),打铜街6-8号,湖北省,武汉市,江汉区,13986030961,unknown,
baidu,39f9340a00decc086ca3ccd6,憨老三·湖北菜·招牌武昌鱼(江汉路店),民生路153号,湖北省,武汉市,江汉区,13545224321,unknown,
baidu,6ce358a0e58a5a9928d7ab71,潮汕石磨肠粉(广益·天下北区店),民权路打铜街菜市场门口74号(楚风阁大楼对面),湖北省,武汉市,江汉区,15072371428,unknown,
baidu,30c7500367cab6beda2f281b,本本相传·王瞎子小炉烧烤·湖北菜(江汉路店),花楼街悦荟广场江汉印象城B座1楼B43号临街商铺（6号门旁）,湖北省,武汉市,江汉区,13308639918,unknown,
baidu,abf9e2dc11fa010ffea77820,老武汉·油焖虾·湖北菜(江汉路店),民生路189号,湖北省,武汉市,江汉区,17762456601,unknown,
baidu,c19bd97a6a81838b7bf79645,亮鑫农家菜(统一街店),统一街295号附2(江汉路地铁站G口步行370米),湖北省,武汉市,江汉区,(027)85650841,unknown,
baidu,c7f4961d952223b348cc4af7,刘记热干面(花楼街店),民权街街道花楼街182号(近民生路),湖北省,武汉市,江汉区,"13367259085,15071414198",unknown,
baidu,1f998f3d5516a91ed618b774,花楼馋嘴鸭(大江家院店),花楼街157号附近,湖北省,武汉市,江汉区,13971265700,unknown,
baidu,6d765ae06d72f82508ccdd60,萍姐火锅·公路夜市(武汉首店),花楼街198号宝丽金国际广场1楼,湖北省,武汉市,江汉区,18368517510,unknown,
baidu,55bcfc63691b6659b817e779,广东烧鹅饭·猪脚饭(江汉路统一街店),统一街307-2号铺,湖北省,武汉市,江汉区,17720557277,unknown,
baidu,0b87a92c14597f7a2cb96d0d,黄陂三鲜,湖北省武汉市江汉区民权街街道花楼街157号,湖北省,武汉市,江汉区,,unknown,
baidu,edc1133eb996058dab0dd8cc,新疆祖传烤羊肉餐厅(花楼街店),民生路花楼街198号,湖北省,武汉市,江汉区,17690651975,unknown,
baidu,6c28abd748dc53423904b1ee,天龙农家菜(统一街店),江汉路统一街293号（大洋百货附近）,湖北省,武汉市,江汉区,(027)85652826,unknown,
baidu,629567d8c68b4abc9900507c,北方老面馒头(打铜街店),湖北省武汉市江汉区打铜街49号,湖北省,武汉市,江汉区,15660660022,unknown,
baidu,d6602a713199b7bc283a9f44,Happy站台美食购物广场(HAPPY站台1号仓店),中山大道818号新佳丽时尚广场B1,湖北省,武汉市,江汉区,(027)82623606,unknown,
baidu,03b666b0f5b70789d13ce332,伍界烧烤(江汉路店),花楼街街道民生路花楼街198号宝丽金广场1楼萍姐火锅隔壁,湖北省,武汉市,江汉区,15826598370,unknown,
baidu,4f0b406e37c4b9d5ad31e55e,食之源,湖北省武汉市江汉区花楼街132号,湖北省,武汉市,江汉区,,unknown,
baidu,b453c3c76ac716a304026ff0,长江饭店(江汉路步行街店),武汉工艺大楼东北门旁(江汉路地铁站G口步行240米),湖北省,武汉市,江汉区,,unknown,
baidu,cf94984d704166078c55ecca,胖姐快餐烧烤(花楼街店),花楼街209号,湖北省,武汉市,江汉区,15391569779,unknown,
baidu,633da1e3a17299e2bbbd63a7,牛蛙鲜,武汉市江汉区花楼街大江家院,湖北省,武汉市,江汉区,,unknown,
baidu,3895866cd729cfa04054d743,鼎元升官渡圆子(广益·天下北区店),湖北省武汉市江汉区民权街街道花楼街165号,湖北省,武汉市,江汉区,17720512601,unknown,
baidu,436176fbd216ab8a8a36ee14,鹏记热干面(花楼街店),花楼街182号(江汉路地铁站G口步行480米),湖北省,武汉市,江汉区,18827016269,unknown,
baidu,6d487e056ab28fbe08ccdd0e,好客土鸡(花楼街店),湖北省武汉市江汉区民权街道花楼街154号,湖北省,武汉市,江汉区,13554298370,unknown,
baidu,92a47a8f6f1d1ad2246e981c,巴比坊大包(花楼街店),花楼街153号附近,湖北省,武汉市,江汉区,15926318608,unknown,
baidu,3a770d711c1955f59d9d6856,川卤先生(大江家院店),大江家院东南门西50米,湖北省,武汉市,江汉区,18120210123,unknown,
baidu,e3438a2f5d82ca2621f017a9,川味源卤品(大江家院店),文书巷与统一街交叉口东100米,湖北省,武汉市,江汉区,13128137607,unknown,
baidu,1a7f23c85762c816128824f9,明亮小吃(花楼街店),湖北省武汉市江汉区花楼街181号,湖北省,武汉市,江汉区,13797016959,unknown,
baidu,7c37653a8a49ea0fd0ff2368,李记油条(统一街店),统一街大江家院西侧198-199号1楼商铺,湖北省,武汉市,江汉区,13545886479,unknown,
baidu,6d3a1c9aff28c22836b06cc7,群琇美味小吃(统一街店),统一街196号,湖北省,武汉市,江汉区,,unknown,
baidu,a00aab585c358b92bfa82297,重庆炒饭盖饭(统一街店),统一街256号门面(江汉路地铁站G口步行320米),湖北省,武汉市,江汉区,15172353604,unknown,
baidu,71dc544f3c99c5f80ab93adf,百姓菜馆农家菜(统一街店),统一街248号,湖北省,武汉市,江汉区,15377581248,unknown,
baidu,d15fe06c8a1178cda2a93443,葡萄干发糕,武汉市江汉区花楼街大江家院,湖北省,武汉市,江汉区,15327421452,unknown,
baidu,480cb9a595d98ddb764ff1a0,台湾馄饨王(统一街店),江汉路步行街,湖北省,武汉市,江汉区,15623303862,unknown,
baidu,735d18e21d15544fb8bd63ce,正谈炸鸡(江汉路印象城店),花楼街街道民生路176号b48.49号商铺（江汉路地铁站G口步行360米）,湖北省,武汉市,江汉区,17302708311,unknown,
baidu,8b29206e1d414450fbdc8544,霏霏汉味小吃(统一街店),民权街办事处中山大道民生路统一街192号(菜场旁),湖北省,武汉市,江汉区,13971491497,unknown,
baidu,427231440e4cc88754bfff63,盛辛巴·东北炭火烤肉(宝利金店),花楼街198号附3号宝丽金底商（萍姐火锅旁）,湖北省,武汉市,江汉区,18120242124,unknown,
baidu,f3ab5d19ae94af6552e5c50a,520烧烤,民生路与花楼街交叉口东南160米,湖北省,武汉市,江汉区,,unknown,
baidu,27ba3747e1bd1bd9b2077d0e,钳多多江湖菜(江汉路店),江汉路花楼街保利金国际广场198-8号,湖北省,武汉市,江汉区,15387183062,unknown,
baidu,6c9950b0b5f4346fa9059da1,楚山牛炒饭铺(江汉统一街店),江汉路区统一街260号,湖北省,武汉市,江汉区,18971398808,unknown,
baidu,c4ae5691fa13e68ccac3dbe9,武汉德华楼餐饮管理有限公司,武汉市江汉区花楼街与民族路的交汇处广益天下二期D、F、H栋2层1号,湖北省,武汉市,江汉区,15337269395,unknown,
baidu,9eb9c69346db676ec72ba127,海底捞火锅(大洋百货中山店),花楼街道中山大道756号大洋百货(武汉中山店)F7,湖北省,武汉市,江汉区,(027)82636977,unknown,
baidu,5b94d8dca727419c0c0a701d,阿盛酒家,洪益巷77号,湖北省,武汉市,江汉区,18995658300,unknown,
baidu,1662a0003f61dc1cff0eb060,京者三文鱼(江汉印象城店),民生路176号印象城B座6号门外围一层044号,湖北省,武汉市,江汉区,17762573068,unknown,
baidu,74c933fb93c461479f82eab1,大汉口城美食城,中山大道539号,湖北省,武汉市,江汉区,13907108752,unknown,
baidu,871cc1a229b65b5b14948e3c,特色红油拉面刀削面(统一街店),武汉市江汉区统一街198号,湖北省,武汉市,江汉区,13657228144,unknown,
baidu,b00d29b80a05b4b931870aff,蜜雪冰城(万达广场店),民生路176号武汉万达商业广场B栋1层34室,湖北省,武汉市,江汉区,"15936200151,17793160003",unknown,
baidu,e0394615ecc99ab63617dc00,钰红麻辣烫(江汉路总店),民权街街道民生路79号,湖北省,武汉市,江汉区,18986247784,unknown,
baidu,8ba49a7a1a75a6d552e5c5fd,大米先生(中山大洋店),花楼街街道中山大道756号大洋百货B1,湖北省,武汉市,江汉区,17671700080,unknown,
baidu,29b158a323f2749bdf1e5234,木槿园和风料理(江汉路店),江汉路印象城B座一层117号（五号或者七号门进）,湖北省,武汉市,江汉区,18550823507,unknown,
baidu,9bc40e4913fbfb0cc26c148d,客串荆州沙市女人街串串(协兴里店),江汉区协兴里统一街295附4号1楼,湖北省,武汉市,江汉区,,unknown,
baidu,fea0761d3873f5f6e5e965f1,思念的美味,统一街214号小江家院统一街281,湖北省,武汉市,江汉区,,unknown,
baidu,63a3a274eeb2a2a213293505,百顺手工面馆(坤元里店),民生路195号(江汉路大洋百货奈雪的茶旁警务室对面),湖北省,武汉市,江汉区,18186217394,unknown,
baidu,01fe0b199f7e1bc1601809f7,江姐热干面,花楼街186号,湖北省,武汉市,江汉区,,unknown,
baidu,3e30dce9485061f1c03644f3,蟹锅小龙虾(民生路店),花楼街198号,湖北省,武汉市,江汉区,17762548878,unknown,
baidu,f565341b992414283c9a5edb,涂记粥铺·粉丝煲(江汉路店),民生路83号1楼,湖北省,武汉市,江汉区,18171390223,unknown,
baidu,2784c692dc5f49924c3a59bf,牛也烧肉(江汉路店),民生路195号（江汉路大洋百货奈雪的茶旁警务室对面）,湖北省,武汉市,江汉区,18571557500,unknown,
baidu,f30927b16d9beeb92efaa7d6,陈记炸酱面馆(黄陂街81号),黄陂街77号附2号,湖北省,武汉市,江汉区,18986269726,unknown,
baidu,c42359367c91ff21f4eafcab,荆汉大包(江汉路店),民生路西北门旁(江汉路地铁站G口步行440米),湖北省,武汉市,江汉区,13871405251,unknown,
baidu,8c28f1f84fbd5535afcb66a3,李记皖阜阳正宗老面馒头,武汉市江汉区花楼街民生社区,湖北省,武汉市,江汉区,,unknown,
baidu,31f26c3bc660d54cc9291529,美食美味·家常菜(江汉路店),花楼街街道江汉印象城B座93号1楼商铺,湖北省,武汉市,江汉区,15807122310,unknown,
baidu,477240d6f59698d3fbf0cba7,老刁大排档烧烤(江汉路店),花楼街198附47号(江汉路地铁站G口步行330米),湖北省,武汉市,江汉区,13628639013,unknown,
baidu,059cfbc921210046c0364467,周黑鸭(武汉江汉区印象城店),民生路江汉印象城B座1层41号,湖北省,武汉市,江汉区,"18120555449,18827439699",unknown,
baidu,c678a42849d91c2b40afe61c,谢记粉面馆,武汉市江汉区统一街积庆社区,湖北省,武汉市,江汉区,,unknown,
baidu,8075f8c9c86f90fe593ac82b,奈雪的茶(大洋百货店),中山大道756号大洋百货一楼,湖北省,武汉市,江汉区,13925240674,unknown,
baidu,b23f0eedd48f31115bf6bedd,口味佳菜馆,港边巷32号一楼,湖北省,武汉市,江汉区,13164655938,unknown,
baidu,9326f85a63fd043fdbeced48,襄阳幸福牛肉面馆(宝利金店),"花楼街198号宝利金国际广场1,2层127,128号",湖北省,武汉市,江汉区,,unknown,
baidu,3a34e47cbfc62dfffadc851d,江夏小炒,港边巷20号,湖北省,武汉市,江汉区,15071345003,unknown,
baidu,2f18c70227d950c59cf779a1,鲁二哥(民生路店),民生路91号,湖北省,武汉市,江汉区,"17786463930,18171293400",unknown,
baidu,75a0b3519495215680a00c9e,风雪副食小吃,武汉市江汉区花楼街大龙社区,湖北省,武汉市,江汉区,,unknown,
baidu,6ef94309b4947a3603897241,碧园黑鸭,武汉市江汉区统一街大江家院西侧,湖北省,武汉市,江汉区,,unknown,
baidu,efeeb23aaecd0d050aa8d44c,花卷店,武汉市江汉区统一街协兴里(统一街),湖北省,武汉市,江汉区,,unknown,
baidu,6c51faafee7fd65d4e554789,BARISTAR精品咖啡(民众乐园/南洋院子店),中山大道708-710号南洋院子院内1层,湖北省,武汉市,江汉区,15010809311,unknown,
baidu,3d2dfcca17c0b603bd4842fa,杭州小笼包(统一街店),民生路205号,湖北省,武汉市,江汉区,15258555702,unknown,
baidu,e5c0b2181ff6073329fc48be,川味情(民生路店),统一街278号（蔡林记旁）,湖北省,武汉市,江汉区,13349896340,unknown,
baidu,4c8e125f027ac65eb54f5476,经济食堂(汉来广场一街店),湖北省武汉市江汉区港边巷32号,湖北省,武汉市,江汉区,(027)85649793,unknown,
baidu,2131d16bf0bac176a11de9a6,鲍师傅糕点(汉口水塔店),湖北省武汉市江汉区水塔街中山大道539号(水塔)生产综合楼一楼,湖北省,武汉市,江汉区,"17771816460,18162607095",unknown,
baidu,1f2f4efe29a0c9eaf119373c,UH祐禾(江汉路店),中山大道543号（江汉路地铁F出口旁）,湖北省,武汉市,江汉区,(027)82299766,unknown,
baidu,bcbdebeacfa6e2bb25d2bb0d,茶颜悦色(武汉大汉口城店),水塔街中山大道539号(水塔)生产综合楼6第一层1-3商铺,湖北省,武汉市,江汉区,15377045828,unknown,
baidu,df410e65942a75d114948ebf,詹记桃酥(武汉江汉路店),交通路1号武汉万达商业广场C栋1层29室（路口西南角）,湖北省,武汉市,江汉区,17683879046,unknown,
baidu,cdcf1922e23c3a129c09f7c3,常青麦香园(宝利金国际广场店),湖北省武汉市江汉区中山大道756号大洋百货江汉印象城F1,湖北省,武汉市,江汉区,,unknown,
baidu,8781dd36942da259901fc940,苏记炸鸡糖水,武汉市江汉区大蔡家巷1-19号1单元103号,湖北省,武汉市,江汉区,,unknown,
baidu,4fe0001e79f607e76fc02c19,格林创意轻食(江汉印象城江汉路步行街店),武汉市江汉区民生路176号万达商业广场B栋一层151号,湖北省,武汉市,江汉区,,unknown,
baidu,421551abd871b28a774ff1e8,壹盏灯(江汉路店),中山大道539号大汉口城二层2-4号（大汉口美食城2楼江汉路地铁站F口）,湖北省,武汉市,江汉区,(027)88877799,unknown,
baidu,35443b7c3ca49e97931fc990,街电(零点相聚音乐餐厅),武汉市江汉区民生路205号长江饭店1幢3层,湖北省,武汉市,江汉区,4006868588,unknown,
baidu,9ad23a66fcdb3419bea240e9,新佳丽时尚广场,湖北省武汉市江汉区中山大道818号,湖北省,武汉市,江汉区,,unknown,
baidu,6ed3083ac83210ae2b3a9f30,沃尔玛购物广场(江汉印象城店),湖北省武汉市江汉区中山大道756号江汉印象城F1,湖北省,武汉市,江汉区,(027)82759896,unknown,
baidu,91f55c94e75f29fec056ace9,民众乐园,湖北省武汉市江汉区中山大道704号,湖北省,武汉市,江汉区,18171294779,unknown,
baidu,432e616e793632872cb96d82,大洋百货(武汉中山店),湖北省武汉市江汉区中山大道756号,湖北省,武汉市,江汉区,"(027)82450365,(027)82456916",unknown,
baidu,e50627c76b1d8492081cc7c2,江汉印象城-B座,湖北省武汉市江汉区民生路176号,湖北省,武汉市,江汉区,,unknown,
baidu,c622da7d4550d67bc51b751a,怡龙超市(花楼街店),花楼街170号,湖北省,武汉市,江汉区,15927537937,unknown,
