degree,closeness,betweenness,straightness,information,avg_neighbor_deg,clustering,local_efficiency,redundancy,node_id
3,0.00041206018293668594,0.032757419023513444,0.00532843961427122,0.0010710846790655507,2.3333333333333335,0.0,0.0,0.0,0
3,0.0004308259873385053,0.039286893364146584,0.005139301384864921,0.0012144031995642535,3.0,0.0,0.0,0.0,1
1,0.0003818497932980064,0.0,0.005408047513446091,0.000891557222198604,3.0,0.0,0.0,0.0,2
3,0.0004000735769545414,0.02395363339569348,0.005561315038482227,0.000986140045179204,2.0,0.0,0.0,0.0,3
1,0.0004163615452066333,0.0,0.005604987997074935,0.0009635997037522166,3.0,0.0,0.0,0.0,4
3,0.0004396374196331438,0.044055610579215726,0.005376890809733451,0.0011767816331769675,2.0,0.0,0.0,0.0,5
1,0.00038393405481069293,0.0,0.0058097957500454055,0.0008319088606002657,3.0,0.0,0.0,0.0,6
2,0.00039535507906784956,0.014086057004511938,0.005855717731943212,0.0009392184708863632,2.5,0.0,0.0,0.0,7
2,0.0003976037709367197,0.015039800447525769,0.006232832305402072,0.0009228380438524347,2.5,0.0,0.0,0.0,8
3,0.00041449780686206474,0.00957411687025421,0.0046023981729431075,0.0012565560865724437,2.6666666666666665,0.0,0.0,0.0,9
2,0.00044288786685644133,0.045779685264663805,0.005245470608512873,0.0012184339953136042,3.5,0.0,0.0,0.0,10
4,0.00047928485550117686,0.05953560030813249,0.0051993168905161685,0.0013618400560042746,2.5,0.0,0.0,0.0,11
4,0.0005448037316207042,0.18601665382781263,0.005488942207117339,0.0014303915970587068,3.0,0.0,0.0,0.0,12
1,0.00037718091546714975,0.0,0.004652563179501314,0.0010164399023395176,3.0,0.0,0.0,0.0,13
3,0.00040887895792687584,0.039360258244378415,0.006755104819647544,0.000933923941361788,2.3333333333333335,0.0,0.0,0.0,14
2,0.00038099683456493824,0.013719232603352774,0.006753694455190425,0.0007969708691181202,2.5,0.0,0.0,0.0,15
3,0.0004099320592729229,0.04291845493562232,0.006815469067095399,0.0009688732481473384,3.0,0.0,0.0,0.0,16
3,0.0003767700526260258,0.0031913722900847362,0.006276463174484146,0.0009689658279592496,3.0,0.0,0.0,0.0,17
3,0.0004218443980015485,0.05190565276402186,0.006643225561272054,0.0009524111542663196,3.0,0.0,0.0,0.0,18
2,0.0004540203948797935,0.018561314698653752,0.0054724957649406195,0.0011936584947531822,3.0,0.0,0.0,0.0,19
2,0.00044448495819404975,0.01386596236381644,0.005733172826854669,0.0011428061468100503,2.0,0.0,0.0,0.0,20
3,0.00047199150861549044,0.009647481750486043,0.005154209112222874,0.0013013001121752448,2.6666666666666665,0.0,0.0,0.0,21
1,0.000437568518819858,0.0,0.005317190643154887,0.0010455195798304631,3.0,0.0,0.0,0.0,22
2,0.0005132711650298353,0.014452881405671105,0.006230379992140943,0.0011818429664911293,3.0,0.0,0.0,0.0,23
3,0.00039697392834283973,0.005062176735996478,0.006665041228750354,0.0009403620885855018,3.0,0.0,0.0,0.0,24
3,0.00043302372989287465,0.07523568467774476,0.006396619119077662,0.0009547239632646938,3.0,0.0,0.0,0.0,25
3,0.0004477022085882885,0.08580022743112871,0.006167664742048485,0.0009735047952713922,2.3333333333333335,0.0,0.0,0.0,26
1,0.0004066806555542924,0.0,0.006103386225433858,0.0008228987668987992,3.0,0.0,0.0,0.0,27
3,0.0005791471332720183,0.12072191042148123,0.00584254250849373,0.0014015309663434573,3.6666666666666665,0.0,0.0,0.0,28
2,0.00034434136001645275,0.006896298741792303,0.0065234859013245435,0.0006940824581365806,1.5,0.0,0.0,0.0,29
1,0.0003044968092499675,0.0,0.0061436393259605435,0.0006139673873696328,2.0,0.0,0.0,0.0,30
3,0.0004004284666747684,0.020468801584681413,0.006358428743691258,0.0009034779000457547,3.0,0.0,0.0,0.0,31
2,0.00048753385179284666,0.013719232603352774,0.005343095864269399,0.0011045149897175805,2.5,0.0,0.0,0.0,32
2,0.00038005662604712043,0.006896298741792303,0.004628283437480856,0.0009162755374700087,1.5,0.0,0.0,0.0,33
1,0.0003133791531618478,0.0,0.004202233633051112,0.0007816317992425419,2.0,0.0,0.0,0.0,34
3,0.0005655922657345595,0.14214445544917648,0.005620582047140966,0.001416091092672756,3.3333333333333335,0.0,0.0,0.0,35
3,0.0003788494244191487,0.013462455522541359,0.005958693416172783,0.0009620301867299595,2.3333333333333335,0.0,0.0,0.0,36
3,0.00043298455145531525,0.039580352885073916,0.005618871833524179,0.0009996848515332788,2.3333333333333335,0.0,0.0,0.0,37
1,0.0003710977339042968,0.0,0.005272785488989396,0.0008415275339076913,3.0,0.0,0.0,0.0,38
1,0.00032025085722938156,0.0,0.0054314351734791105,0.0008146849093431944,3.0,0.0,0.0,0.0,39
3,0.00040883330802488196,0.020945673306188326,0.006031244104679489,0.0010139348758208295,3.3333333333333335,0.0,0.0,0.0,40
