node_id_1,node_id_2,edge_id
0,68,0
1,33,1
1,62,2
1,60,3
2,7,4
3,39,5
3,37,6
3,28,7
4,37,8
4,13,9
4,20,10
5,44,11
5,30,12
5,14,13
6,22,14
6,24,15
7,13,16
7,2,17
8,20,18
8,39,19
8,19,20
9,25,21
9,42,22
9,22,23
10,38,24
11,12,25
11,27,26
11,21,27
12,11,28
12,27,29
12,24,30
13,7,31
13,102,32
13,4,33
14,22,34
14,5,35
14,37,36
15,20,37
16,40,38
17,39,39
17,101,40
18,45,41
18,65,42
19,8,43
20,8,44
20,4,45
20,15,46
21,41,47
21,35,48
21,11,49
22,14,50
22,9,51
22,6,52
23,66,53
23,32,54
23,63,55
24,12,56
24,6,57
24,41,58
25,9,59
25,36,60
26,38,61
26,30,62
26,34,63
27,11,64
27,32,65
27,12,66
28,3,67
29,46,68
29,47,69
29,64,70
30,44,71
30,26,72
30,5,73
31,43,74
31,58,75
32,23,76
32,35,77
32,27,78
33,71,79
33,1,80
33,63,81
34,26,82
34,42,83
35,21,84
35,71,85
35,32,86
36,25,87
37,3,88
37,4,89
37,14,90
38,26,91
38,68,92
38,10,93
39,3,94
39,8,95
39,17,96
39,98,97
40,16,98
41,21,99
41,54,100
41,24,101
42,9,102
42,44,103
42,34,104
43,31,105
43,72,106
43,86,107
44,5,108
44,30,109
44,42,110
45,16,111
45,53,112
46,29,113
46,82,114
46,84,115
47,108,116
47,112,117
47,81,118
47,29,119
48,112,120
48,53,121
49,50,122
50,49,123
50,57,124
50,67,125
51,56,126
51,66,127
51,67,128
52,57,129
53,45,130
53,48,131
54,55,132
54,41,133
54,72,134
55,98,135
55,54,136
55,97,137
56,51,138
57,50,139
57,52,140
58,31,141
58,85,142
59,60,143
60,59,144
60,1,145
61,62,146
61,63,147
61,64,148
62,1,149
62,84,150
62,61,151
63,23,152
63,33,153
63,61,154
64,65,155
64,29,156
64,61,157
65,18,158
65,64,159
65,66,160
66,23,161
66,51,162
66,65,163
67,51,164
67,50,165
68,38,166
68,0,167
69,70,168
70,72,169
70,69,170
70,104,171
71,33,172
71,35,173
71,104,174
72,43,175
72,70,176
72,54,177
73,81,178
73,109,179
73,74,180
74,75,181
74,77,182
74,73,183
74,79,184
75,78,185
75,74,186
76,77,187
77,78,188
77,74,189
77,76,190
77,80,191
78,75,192
78,83,193
78,77,194
79,74,195
80,82,196
80,77,197
80,81,198
81,47,199
81,73,200
81,80,201
82,83,202
82,46,203
82,80,204
83,78,205
83,82,206
83,84,207
84,62,208
84,46,209
84,83,210
85,58,211
86,97,212
86,43,213
86,87,214
87,86,215
87,90,216
87,100,217
88,89,218
88,90,219
89,88,220
90,88,221
90,92,222
90,87,223
91,92,224
92,99,225
92,91,226
92,90,227
93,101,228
93,94,229
94,93,230
94,95,231
94,98,232
94,99,233
95,94,234
95,96,235
95,97,236
96,95,237
97,86,238
97,55,239
97,95,240
98,55,241
98,39,242
98,94,243
99,92,244
99,94,245
100,87,246
101,93,247
101,17,248
102,13,249
103,104,250
104,103,251
104,71,252
104,70,253
105,106,254
106,105,255
106,107,256
107,106,257
107,110,258
107,111,259
108,47,260
108,111,261
108,109,262
109,73,263
109,108,264
110,107,265
111,108,266
111,107,267
112,48,268
112,47,269
