FID,label,node_start,node_end
0,1,0,1
1,1,0,2
2,1,0,3
3,0,1,5
4,1,1,9
5,0,3,6
6,0,3,7
7,0,4,5
8,0,5,10
9,0,7,8
10,0,8,14
11,0,9,12
12,1,9,13
13,0,10,11
14,1,11,19
15,1,11,28
16,1,11,21
17,0,12,46
18,1,12,35
19,0,12,83
20,0,14,15
21,0,14,16
22,0,15,29
23,0,16,17
24,0,16,18
25,0,17,24
26,0,17,36
27,0,18,24
28,0,18,25
29,0,19,20
30,0,20,23
31,1,21,22
32,1,21,35
33,1,23,73
34,0,24,31
35,0,25,31
36,1,25,26
37,1,26,27
38,0,26,43
39,1,28,73
40,1,28,80
41,0,29,30
42,0,31,41
43,1,32,33
44,1,32,83
45,0,33,34
46,0,35,80
47,0,36,39
48,0,36,40
49,0,37,38
50,0,37,68
51,0,37,70
52,0,40,60
53,0,40,70
54,0,41,42
55,0,41,49
56,0,43,44
57,0,43,60
58,0,44,45
59,0,44,46
60,0,45,58
61,0,45,68
62,0,46,68
63,0,47,48
64,0,47,64
65,1,47,65
66,0,50,51
67,1,52,53
68,0,54,55
69,0,56,57
70,0,58,59
71,0,58,60
72,0,60,63
73,1,61,62
74,1,61,67
75,1,61,73
76,0,64,69
77,0,65,84
78,0,65,90
79,1,66,67
80,0,67,74
81,0,69,84
82,0,70,82
83,1,71,72
84,1,71,74
85,1,71,77
86,1,73,78
87,1,74,75
88,1,75,78
89,1,75,85
90,1,76,77
91,0,78,79
92,1,80,81
93,0,81,91
94,0,81,103
95,1,83,91
96,1,84,90
97,1,85,100
98,1,85,111
99,0,86,87
100,0,87,88
101,1,88,89
102,1,88,92
103,0,90,93
104,0,90,110
105,1,91,95
106,1,92,98
107,1,92,99
108,0,93,94
109,0,93,112
110,1,95,96
111,0,95,97
112,0,97,104
113,1,97,106
114,0,98,100
115,0,98,101
116,1,99,102
117,0,100,101
118,1,101,102
119,1,102,105
120,1,103,114
121,1,103,115
122,1,105,111
123,1,105,116
124,0,106,123
125,1,106,139
126,1,107,108
127,0,108,109
128,1,109,139
129,0,109,150
130,0,110,124
131,0,110,125
132,1,111,113
133,0,112,119
134,0,112,120
135,1,113,114
136,0,114,128
137,1,114,129
138,1,115,122
139,0,115,123
140,1,116,121
141,0,117,118
142,0,117,136
143,0,119,126
144,1,119,124
145,0,120,126
146,0,120,127
147,1,122,129
148,0,122,138
149,0,123,130
150,0,124,141
151,0,125,131
152,0,125,132
153,0,126,127
154,0,127,135
155,0,128,151
156,0,128,145
157,0,129,138
158,0,130,138
159,0,130,165
160,0,131,133
161,0,131,134
162,0,132,163
163,0,132,164
164,0,133,134
165,0,133,146
166,0,134,178
167,0,135,137
168,0,136,145
169,0,137,140
170,0,139,142
171,0,141,167
172,0,141,168
173,0,142,165
174,0,142,154
175,1,143,144
176,0,144,157
177,0,145,161
178,0,146,178
179,0,146,182
180,1,147,148
181,1,147,149
182,1,148,159
183,0,148,160
184,1,149,171
185,1,149,160
186,1,149,179
187,0,150,154
188,0,150,155
189,0,151,152
190,0,151,153
191,0,152,153
192,0,152,158
193,0,153,170
194,0,154,173
195,1,155,159
196,0,155,166
197,0,156,157
198,1,157,195
199,0,158,170
200,0,158,172
201,1,159,162
202,0,160,169
203,1,160,185
204,0,161,184
205,0,161,199
206,0,162,166
207,1,162,169
208,0,163,168
209,0,163,164
210,0,164,175
211,0,165,194
212,0,166,174
213,0,167,168
214,0,167,189
215,0,169,190
216,0,170,184
217,0,172,180
218,0,172,176
219,1,173,174
220,0,173,202
221,1,174,183
222,0,175,189
223,0,175,186
224,0,176,177
225,0,176,181
226,0,178,186
227,1,179,203
228,1,179,190
229,0,180,197
230,0,180,198
231,1,183,190
232,1,183,215
233,1,183,204
234,0,184,197
235,0,186,193
236,1,187,187
237,1,187,188
238,1,188,205
239,1,188,206
240,1,189,193
241,1,191,192
242,1,191,198
243,0,191,207
244,0,193,196
245,1,194,201
246,1,194,202
247,0,195,201
248,1,197,200
249,1,198,200
250,0,199,212
251,0,199,213
252,0,200,211
253,1,201,217
254,0,202,207
255,1,202,229
256,1,203,204
257,1,204,205
258,1,206,208
259,0,207,221
260,0,209,210
261,0,209,220
262,0,209,221
263,0,211,212
264,0,211,214
265,0,212,216
266,0,213,218
267,0,213,219
268,0,214,216
269,0,214,220
270,1,215,223
271,0,216,226
272,0,219,224
273,0,219,225
274,0,220,222
275,0,221,222
276,0,222,228
277,1,223,230
278,0,224,226
279,0,224,228
280,0,225,228
281,0,225,231
282,0,226,227
283,0,229,232
284,1,230,232
285,0,232,233
286,1,233,234
