source,bd_uid,name,address,province,city,area,tel,poi_type,tag
baidu,9144f1d0ffcc8d0b0aa8d41f,永州市零陵古城韵味形象店(古城路店),东风大桥河东桥头旁新走廊118-121号,湖南省,永州市,零陵区,(0746)6777979,unknown,
baidu,c83ef2e3a22479390c0e6be5,老渔翁(零陵古城店),古城A区,湖南省,永州市,零陵区,"(0746)6663179,15575254913",unknown,
baidu,3482941db50da86f38221c11,翟记汤圆,前进街副食广场105号,湖南省,永州市,零陵区,17674675137,unknown,
baidu,bf3f3473d6425497f119370a,佬佬卤粉(古城店),零陵古城A区A3-12号,湖南省,永州市,零陵区,18174618528,unknown,
baidu,f28d60e59ff4e186e9f85353,芋小然·现熬糖水铺(古城店),零陵古城B6-8号,湖南省,永州市,零陵区,17307477763,unknown,
baidu,f4105f1dec0c8d03b54f54a3,书亦烧仙草(古城店),萍阳南路零陵古城B6-6商铺,湖南省,永州市,零陵区,"15367501913,15399850630",unknown,
baidu,cf436f3e5a9d032c15c90552,食美味早餐店,人民路8号5号门面,湖南省,永州市,零陵区,18974636222,unknown,
baidu,1e89604cb5d308a7ab175a80,大西门凉拌卤粉店(大西门店),新街与解放路交叉口北20米路西,湖南省,永州市,零陵区,15907462516,unknown,
baidu,2c94f08430e7b7824afc8dbe,河沿之家土菜馆,湖南省永州市零陵区解放路90号(祁剧园内后北栋),湖南省,永州市,零陵区,"13762965492,18374150677",unknown,
baidu,5057844a2f3d3f18d8131891,寒野柴火鸡(262分店),湘江东路古城新走廊106-108号,湖南省,永州市,零陵区,19958283199,unknown,
baidu,faf25a3bbe801a35b13c8148,永州庭旺湘血鸭店,愚溪南路柳宗元文化旅游区,湖南省,永州市,零陵区,(0746)6558777,unknown,
baidu,41f3d9abb79236eb1f3894b5,醉永州(零陵古城店),西山路河西零陵古城c区a8栋,湖南省,永州市,零陵区,"(0746)6666677,18674640222",unknown,
baidu,c021f9d8ea3803359b68b4a4,夜宵烧烤,湖南省永州市零陵区南津渡街道外河街26号,湖南省,永州市,零陵区,,unknown,
baidu,cdf44daabb901e308e55eca5,唐记土菜馆,湖南省永州市零陵区萍阳南路158号,湖南省,永州市,零陵区,18975782990,unknown,
baidu,814e3c365933fe909d9d68c6,广芳园·香港潮饮店(古城店),萍阳南路古城食货后街B7-2号,湖南省,永州市,零陵区,19918203478,unknown,
baidu,e1436cda217fdadaf4e73b07,CUPID丘比特甜品(零陵古城分店),愚溪南路零陵古城二期B3-4,湖南省,永州市,零陵区,15774111030,unknown,
baidu,8b9f1aecc15df7a194031904,椿山小院,萍阳南路86号,湖南省,永州市,零陵区,18074695981,unknown,
baidu,c542991635ca9d00bc484252,半岛茶食,萍阳南路零陵古城国宴鸡对面,湖南省,永州市,零陵区,16674608056,unknown,
baidu,2577d3845b1521288bb988db,美然阁私房菜,零陵古城愚溪悦来客栈对面C5-6号,湖南省,永州市,零陵区,19967651868,unknown,
baidu,ffe1d04f5bf0f0d33c9a5e9f,肯德基(永州芝山路店),永州市零陵区芝山路永州垠地广场一层肯德基餐厅,湖南省,永州市,零陵区,(0746)6313101,unknown,
baidu,f882aef6b047dec5eedfca46,毛老粉店,湖南省永州市零陵区朝阳街道柳子街7号,湖南省,永州市,零陵区,18974657511,unknown,
baidu,e7137251eb63c0a33913fdd9,陕西粉面馆(零陵古城店),萍阳南路158号零陵古城(东北角),湖南省,永州市,零陵区,15016816429,unknown,
baidu,c01a8758e6d669c3f423102b,珠山餐馆,湖南省永州市零陵区南津渡街道前进街385号,湖南省,永州市,零陵区,18074655668,unknown,
baidu,9672e773718439889e82eaeb,满秀早餐店,三多坊正大街293号,湖南省,永州市,零陵区,,unknown,
baidu,acb86744c39eb8b1d5b74e9a,柳州螺蛳粉,永州市零陵区萍阳南路零陵古城,湖南省,永州市,零陵区,,unknown,
baidu,37616987f54a91fc5fbe86d8,姐妹餐馆(潇水中路店),潇水中路296号,湖南省,永州市,零陵区,15116639009,unknown,
baidu,d0a1ec20bb6a8c90cafa5ff5,豆花小姐姐(古城店),零陵古城(食货后街)B8-1号,湖南省,永州市,零陵区,17307462929,unknown,
baidu,1a4707bd683d7a987dc876c5,桥头砂锅饭,湖南省永州市零陵区前进街41号,湖南省,永州市,零陵区,13187128145,unknown,
baidu,556885ca7a5f8506e8e58231,美食流粉面馆,湖南省永州市零陵区南津渡街道正大街237号,湖南省,永州市,零陵区,15674641628,unknown,
baidu,90f3d49b30c70f4330169b74,派乐汉堡·炸鸡(零陵古城店),朝阳街道零陵古城A5-4一层商铺,湖南省,永州市,零陵区,18797700666,unknown,
baidu,4372e41a4ca521a5e9f853aa,书亦烧仙草(零陵古城二店),柳子街84号,湖南省,永州市,零陵区,"15367501913,4000857085",unknown,
baidu,e83a8f929e541bf6b13c8179,达记猪肚鸡,萍阳南路零陵古城C区C4-5号,湖南省,永州市,零陵区,(0746)6627058,unknown,
baidu,715b889ac9815579a1d23004,冰糖葫芦(萍阳南路店),湖南省永州市零陵区萍阳南路158号零陵古城A区食货后街B8-1号,湖南省,永州市,零陵区,13874370213,unknown,
baidu,30e058212dd8db71363a7195,正宗珠山血鸭,湖南省永州市零陵区萍阳北路3号,湖南省,永州市,零陵区,18797707558,unknown,
baidu,724b5ad343ad1c1a6140a97b,忘忧草量贩式小酒馆,永州市零陵区萍阳南路158号零陵古城A区食货北街A4-16号,湖南省,永州市,零陵区,13574619548,unknown,
baidu,7103580b43769c804c3a595b,武林烧烤(府正街店),"中山路与人民路交叉口西南方向32米,地上1层店门口",湖南省,永州市,零陵区,13085429208,unknown,
baidu,a15dc4c3f00f056015948e8e,海南纯椰奶清补凉(柳子街店),零陵古城B5-2号,湖南省,永州市,零陵区,,unknown,
baidu,8efe7956d23ab3e3770269bd,新家味酒楼,永州市零陵区人民路永州市第四人民医院西侧约170米,湖南省,永州市,零陵区,13789229539,unknown,
baidu,64e32304d8d1839af50e77aa,何记重庆小面,永州市零陵区萍阳南路永州云溪上民宿南侧,湖南省,永州市,零陵区,13518885185,unknown,
baidu,e12716fa86cbc6b00f0e6be1,回到零陵音乐酒吧,萍阳南路零陵古城溪街C2-1栋,湖南省,永州市,零陵区,18374173612,unknown,
baidu,6c25076e651636f4c1f1cf50,家庭厨房,清水塘1号,湖南省,永州市,零陵区,18075827977,unknown,
baidu,2286bd2fa1200bc9c4f50df6,厦门特香面包屋,湖南省永州市零陵区正大街第四人民医院西南侧约80米,湖南省,永州市,零陵区,13974632708,unknown,
baidu,3c47c8b2164e184488db73e1,老九饺子馆(零陵古城店),朝阳街道零陵古城A区B8-8号,湖南省,永州市,零陵区,18797748208,unknown,
baidu,3aa309e890cdd84101897237,糖油粑粑冰凉粉,永州市零陵区人民路永州市第四人民医院西南侧约50米,湖南省,永州市,零陵区,17700735935,unknown,
baidu,d4c154b165042b78d618b715,川妹火锅(永州直营店),芝山路公交大厦63号,湖南省,永州市,零陵区,(0746)6225561,unknown,
baidu,4935f11103054f4435b06c34,革命小串(零陵古城C区店),湖南省永州市零陵区朝阳街道萍阳南路158号,湖南省,永州市,零陵区,,unknown,
baidu,0b215399799b65899868b47d,西西里手工披萨,零陵古城食货北街A6,湖南省,永州市,零陵区,18579598538,unknown,
baidu,d553155c0009b0d0b6147f35,千喜宴,永州市零陵区愚溪南路零陵公安分局水上派出所南侧约130米,湖南省,永州市,零陵区,,unknown,
baidu,96424de1aa1ddc8751e5c516,老巷子长沙臭豆腐,零陵古城B8-3商铺,湖南省,永州市,零陵区,13037466668,unknown,
baidu,06b631de9d13adcbd42ce27f,佛跳墙早鲜店,永州市零陵区前进街永州市第四人民医院西南侧约40米,湖南省,永州市,零陵区,18974628663,unknown,
baidu,e178de6d0eb193545a3ac877,阿良烤鸭(零陵店),七层坡巷1号,湖南省,永州市,零陵区,"13100226388,18569361192",unknown,
baidu,31cea4c345cc5d945fd4fe6a,小丸子披萨,食货后街B7-2号,湖南省,永州市,零陵区,,unknown,
baidu,3d2fbcf782b810d008f5eb0d,老巷子老长沙臭豆腐(古城店),永州市零陵区萍阳南路158号零陵古城A区食货后街B8-3号,湖南省,永州市,零陵区,13037466668,unknown,
baidu,853760a6a1147fca95031987,东山徐记糕点(东山景区店),南津渡街道人民路2号(近东山景区),湖南省,永州市,零陵区,17579563999,unknown,
baidu,5bc324994d4988b917948e09,古城驴当家私房菜,永州市零陵区珍珠岭路永州沐兰风尚酒店东南侧约120米,湖南省,永州市,零陵区,,unknown,
baidu,4198d8758000e24f0c0e6b3a,广芳园·香港潮饮店(东山景区店),东山景区游客中心对面,湖南省,永州市,零陵区,15507462730,unknown,
baidu,275225ebe00982a02902e1ea,豫福香酥鸡烧饼,南津渡街道中山南路9号(东山景区瞎子炒饭隔壁),湖南省,永州市,零陵区,19146786155,unknown,
baidu,aa7807c55e875c1707026f14,原味血鸭馆,人民路20-2号,湖南省,永州市,零陵区,15274602155,unknown,
baidu,223d81d53593eae56d20b917,二师兄铁板鱿鱼(古城分店),永州市零陵区萍阳南路158号零陵古城A区斗酒巷,湖南省,永州市,零陵区,,unknown,
baidu,8b999ddc664190642fb17e1f,新街快餐店,湖南省永州市零陵区新街20号,湖南省,永州市,零陵区,18274935297,unknown,
baidu,64ef5f2db7910c1bf4231039,谁是喝酒大神,湖南省永州市零陵区朝阳街道萍阳南路55号,湖南省,永州市,零陵区,,unknown,
baidu,64c8dc8ef9e26071400245c4,乌龙山风味小吃,永州市零陵区零陵古城C区B6-4,湖南省,永州市,零陵区,14789908158,unknown,
baidu,7fd65b10b0bd59aa29fc489e,雪媚娘(愚溪南路店),永州市零陵区愚溪南路柳宗元文化旅游区,湖南省,永州市,零陵区,18166270886,unknown,
baidu,50ecfd9f66534a0228201ab2,湘零早餐,湖南省永州市零陵区中山南路127号,湖南省,永州市,零陵区,16675555995,unknown,
baidu,077d4e10068160f8220262fc,益禾堂(零陵古城C区店),萍阳南路158号零陵古城C区B1-8,湖南省,永州市,零陵区,4008555288,unknown,
baidu,86de77669a7ae141f4eafc45,乐宝鲜肉粉,七层坡路与新街交叉口,湖南省,永州市,零陵区,,unknown,
baidu,c9cf2159e7a6b6b65d17c310,花花油茶火锅,永州市零陵区愚溪南路柳宗元文化旅游区,湖南省,永州市,零陵区,,unknown,
baidu,a71f41ca274dcdd7f403b8b4,三毛凉拌粉,前进街永州市第四人民医院西北侧约120米,湖南省,永州市,零陵区,13187128145,unknown,
baidu,89d2f19dd21120f6f7231082,8023小炉小串,永州市零陵区朝阳街道零陵古城c区溪街,湖南省,永州市,零陵区,18074607155,unknown,
baidu,1404dd3854068a1202294f1e,李师傅牛杂馆,永州市零陵区新街零陵七层坡小学东北侧,湖南省,永州市,零陵区,,unknown,
baidu,5a951ff954cd21135fbe8665,李品记,永州市零陵区萍阳南路158号零陵古城A区食货北街A3-5号,湖南省,永州市,零陵区,15111699829,unknown,
baidu,7b951f50903b7399744ff164,骚鸡公酒店,七层坡路中山佳园东南侧约30米,湖南省,永州市,零陵区,,unknown,
baidu,f2177431b2b5b9a540e19200,全州牛排牛蛙店,永州市零陵区新街零陵七层坡小学东侧约70米,湖南省,永州市,零陵区,,unknown,
baidu,2e147e90b55b4e3214c8f6ce,高小刀烤猪蹄,湖南省永州市零陵区朝阳街道零陵古城C区C2-14号铺,湖南省,永州市,零陵区,15989343401,unknown,
baidu,ae81e003e54944d46849f32a,鲜味饺子汤圆馆,前进街50号,湖南省,永州市,零陵区,,unknown,
baidu,0e359d21dc2ca29d40e19277,成都小酒馆(柳宗元文化旅游区店),湖南省永州市零陵区萍阳南路零陵古城c8567号,湖南省,永州市,零陵区,13037466668,unknown,
baidu,cf3793f16b4da67a58f6bef3,健宏密卤,永州市零陵区潇水西路永州市第四人民医院西北侧约120米,湖南省,永州市,零陵区,,unknown,
baidu,31c29e294188b1de7dc87689,古德摩里早餐店,湖南省永州市零陵区新街25号,湖南省,永州市,零陵区,15907492518,unknown,
baidu,305cf6f88267c348e70738a2,老长沙臭豆腐(前进街店),前进街人民金行往河边方向50米垠地广场对面,湖南省,永州市,零陵区,,unknown,
baidu,84a6da1c306814b40d3dda0b,艾叶粑粑,柳子街85号(柳宗元文化旅游区),湖南省,永州市,零陵区,18907462576,unknown,
baidu,dd77ff7c92d33f97922ca3ac,街角,永州市零陵区前进街永州市第四人民医院西北侧,湖南省,永州市,零陵区,,unknown,
baidu,b9adccd09e8175cff6eafc85,街角遇见,正大街397号(四医院旁),湖南省,永州市,零陵区,18107467633,unknown,
baidu,4fc5274fc5005fd097ec849b,再来一碗辣椒粉,湖南省永州市零陵区中山南路98号,湖南省,永州市,零陵区,15575399289,unknown,
baidu,bc90aeffd3b051b14457260d,安徽胜子豆腐,永州市零陵区七层坡路零陵七层坡小学东南侧约30米,湖南省,永州市,零陵区,,unknown,
baidu,42c485b0468aec2aa2d2306d,夏埠村糕点(零陵商业城店),芝山路30号,湖南省,永州市,零陵区,(0746)6231170,unknown,
baidu,86e60e1d64c36bfae856fade,宴南湘(南津中路店),南津中路4号,湖南省,永州市,零陵区,(0746)6777879,unknown,
baidu,fea31e0b215b19d04f6d46cf,田丰豆业,永州市零陵区七层坡路中山佳园,湖南省,永州市,零陵区,13212669629,unknown,
baidu,b3e060005b7c31a149fc8d75,桂琴嫂,永州市零陵区中山南路七层坡安置小区东北侧约30米,湖南省,永州市,零陵区,13874737175,unknown,
baidu,3f5b9d7b6ca352d5cac3db3f,卷卷烧饼(愚溪南路店),永州市零陵区愚溪南路柳宗元文化旅游区,湖南省,永州市,零陵区,,unknown,
baidu,b9c3ef3a5d22ec72ad080f21,烧烤口味虾,永州市零陵区人民路零陵东山景区-广场西北侧约40米,湖南省,永州市,零陵区,15111647211,unknown,
baidu,15416506fc00874ab6265575,客来旺早餐店,湖南省永州市零陵区新街32号,湖南省,永州市,零陵区,13574607213,unknown,
