FID,label,node_start,node_end
0,1,0,0
1,1,0,1
2,1,1,2
3,0,2,7
4,0,2,24
5,0,3,3
6,0,3,4
7,0,4,21
8,1,5,6
9,1,5,7
10,0,6,25
11,1,6,26
12,1,7,27
13,0,8,9
14,0,9,18
15,0,10,11
16,1,11,29
17,0,11,16
18,1,12,13
19,1,12,19
20,1,12,18
21,1,12,20
22,1,13,14
23,0,13,15
24,1,14,20
25,1,15,31
26,0,15,44
27,0,16,17
28,0,16,40
29,0,18,19
30,0,18,20
31,1,20,22
32,1,20,23
33,0,21,22
34,1,21,76
35,1,21,87
36,0,21,77
37,0,21,86
38,1,23,44
39,0,23,55
40,1,23,65
41,0,24,45
42,0,24,46
43,1,25,31
44,0,25,32
45,0,26,27
46,0,26,32
47,1,27,28
48,0,28,45
49,1,28,60
50,1,29,30
51,0,30,33
52,1,31,43
53,0,32,52
54,1,33,48
55,0,33,40
56,0,34,35
57,0,34,36
58,0,36,42
59,0,37,38
60,1,37,39
61,0,38,89
62,0,38,90
63,0,39,89
64,1,39,117
65,1,40,49
66,0,40,50
67,0,41,42
68,0,41,64
69,1,41,126
70,0,41,135
71,0,41,136
72,0,42,42
73,0,43,54
74,1,43,63
75,0,44,47
76,0,45,58
77,0,46,51
78,0,47,63
79,1,47,68
80,1,47,69
81,0,47,70
82,1,48,49
83,1,48,64
84,1,49,61
85,0,49,62
86,0,51,58
87,0,51,73
88,0,52,54
89,0,52,59
90,1,53,53
91,0,53,54
92,0,56,57
93,0,56,59
94,1,56,60
95,0,58,60
96,0,59,66
97,1,60,67
98,0,61,92
99,1,61,64
100,0,62,90
101,0,62,92
102,1,63,66
103,0,64,126
104,0,65,78
105,1,65,81
106,0,65,82
107,1,66,93
108,0,66,116
109,0,67,118
110,0,67,130
111,0,67,135
112,0,68,71
113,0,68,72
114,1,70,72
115,1,70,93
116,1,71,74
117,0,71,75
118,0,72,75
119,0,73,73
120,1,74,78
121,1,74,79
122,0,75,98
123,0,76,77
124,0,77,102
125,0,78,80
126,1,79,120
127,1,79,101
128,1,80,97
129,1,80,101
130,0,81,83
131,0,81,84
132,0,82,96
133,1,82,97
134,0,83,85
135,0,83,86
136,0,84,106
137,1,84,105
138,0,85,104
139,0,85,105
140,0,86,88
141,1,87,103
142,0,87,108
143,0,88,103
144,1,88,104
145,1,89,121
146,1,89,91
147,0,90,91
148,0,91,92
149,1,93,124
150,1,94,95
151,1,94,99
152,1,94,112
153,1,94,113
154,0,97,109
155,0,98,120
156,0,98,129
157,0,99,100
158,1,99,123
159,1,101,109
160,0,101,137
161,1,102,133
162,0,103,107
163,0,104,110
164,0,104,111
165,1,105,106
166,0,107,111
167,0,108,128
168,1,108,153
169,0,109,146
170,0,110,165
171,1,110,166
172,0,111,128
173,1,111,149
174,1,113,138
175,1,113,141
176,1,114,115
177,0,114,116
178,0,115,127
